Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3
Fideos Tirabuzón Lucchetti 500g,https://www.mercadolibre.com.ar/fideos-tirabuzon-lucchetti-500g/p/MLA20719337?pdp_filters=category:MLA1423#searchVariation=MLA20719337&position=2&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.256,TAP GROCERY,Nuevo  |  +50mil vendidos,(2057 disponibles),Nuevo  |  +50mil vendidos,OFERTA DEL DÍA,#1286443752,2024-04-03 17:17:20,Alimentos y Bebidas,Almacén,Pastas
Fideos Tallarín Don Vicente 500g,https://www.mercadolibre.com.ar/fideos-tallarin-don-vicente-500g/p/MLA19964512?pdp_filters=category:MLA1423#searchVariation=MLA19964512&position=3&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.877,TAP GROCERY,Nuevo  |  +10mil vendidos,(1198 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280840736,2024-04-03 17:17:20,Alimentos y Bebidas,Almacén,Pastas
Fideos Tirabuzon Matarazzo X500 Gr,https://www.mercadolibre.com.ar/fideos-tirabuzon-matarazzo-x500-gr/p/MLA19943667?pdp_filters=category:MLA1423#searchVariation=MLA19943667&position=1&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.273,TAP GROCERY,Nuevo  |  +10mil vendidos,(2383 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280821337,2024-04-03 17:17:20,Alimentos y Bebidas,Almacén,Pastas
Fideos  Most.rayad. 500 Gr Sta.isabel,https://www.mercadolibre.com.ar/fideos-mostrayad-500-gr-staisabel/p/MLA21164899?pdp_filters=category:MLA1423#searchVariation=MLA21164899&position=5&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,963,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(24 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1395499445,2024-04-03 17:17:20,Alimentos y Bebidas,Almacén,Pastas
Fideos Spaghetti Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-matarazzo-500g/p/MLA19943735?pdp_filters=category:MLA1423#searchVariation=MLA19943735&position=4&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.293,TAP GROCERY,Nuevo  |  +10mil vendidos,(767 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280853799,2024-04-03 17:17:20,Alimentos y Bebidas,Almacén,Pastas
Fideos Terrabusi Spaghetti N°3 500g,https://www.mercadolibre.com.ar/fideos-terrabusi-spaghetti-n3-500g/p/MLA28544406?pdp_filters=category:MLA1423#searchVariation=MLA28544406&position=7&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.017,Ecomodico,Nuevo  |  +1000 vendidos,(622 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1584459888,2024-04-03 17:17:20,Alimentos y Bebidas,Almacén,Pastas
Fideos Spaghetti libre de gluten sin tacc Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-libre-de-gluten-sin-tacc-matarazzo-500g/p/MLA20949980?pdp_filters=category:MLA1423#searchVariation=MLA20949980&position=8&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,2.849,KIGUSTOREARG,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1604279244,2024-04-03 17:17:20,Alimentos y Bebidas,Almacén,Pastas
Fideos penne rigate Matarazzo sin tacc libre de gluten 500g,https://www.mercadolibre.com.ar/fideos-penne-rigate-matarazzo-sin-tacc-libre-de-gluten-500g/p/MLA20882391?pdp_filters=category:MLA1423#searchVariation=MLA20882391&position=6&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,2.849,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Tallarín Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-tallarin-matarazzo-500g/p/MLA19937131?pdp_filters=category:MLA1423#searchVariation=MLA19937131&position=13&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.314,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
Fideos Terrabusi Tallarín N°7 500g,https://www.mercadolibre.com.ar/fideos-terrabusi-tallarin-n7-500g/p/MLA28611379?pdp_filters=category:MLA1423#searchVariation=MLA28611379&position=10&search_layout=stack&type=product&tracking_id=7d51c25b-f06d-4e20-bf41-ed7e6492397d,1.082,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-04-03 17:17:20,nan,nan,nan
