Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Fideos Tallarín Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-tallarin-matarazzo-500g/p/MLA19937131?pdp_filters=category:MLA1423#searchVariation=MLA19937131&position=3&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.699,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1272606932,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Favorita fideos tallarín hierro 500g,https://www.mercadolibre.com.ar/favorita-fideos-tallarin-hierro-500g/p/MLA28766309?pdp_filters=category:MLA1423#searchVariation=MLA28766309&position=13&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,949,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1422581715,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Favorita Tirabuzon Con Hierro X 500 Gr,https://www.mercadolibre.com.ar/fideos-favorita-tirabuzon-con-hierro-x-500-gr/p/MLA21014228?pdp_filters=category:MLA1423#searchVariation=MLA21014228&position=8&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,959,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1407337835,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Spaghetti integral Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-integral-matarazzo-500g/p/MLA21089520?pdp_filters=category:MLA1423#searchVariation=MLA21089520&position=6&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,2.099,No disponible,Nuevo  |  +10mil vendidos,(2 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1309783597,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Giacomo Capelettini Tridicci Pasta Semola Fortificada 500 Gr,https://www.mercadolibre.com.ar/giacomo-capelettini-tridicci-pasta-semola-fortificada-500-gr/p/MLA19957818?pdp_filters=category:MLA1423#searchVariation=MLA19957818&position=12&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,3.332,No disponible,Nuevo  |  +5mil vendidos,(5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1408584208,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos tirabuzón Matarazzo sin tacc 500g,https://www.mercadolibre.com.ar/fideos-tirabuzon-matarazzo-sin-tacc-500g/p/MLA20882393?pdp_filters=category:MLA1423#searchVariation=MLA20882393&position=1&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,3.099,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1292439628,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Tallarin Verizzia 500 G,https://articulo.mercadolibre.com.ar/MLA-1284800195-fideos-tallarin-verizzia-500-g-_JM#position=50&search_layout=stack&type=item&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,964,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1284800195,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Tallarín Don Vicente 500g,https://www.mercadolibre.com.ar/fideos-tallarin-don-vicente-500g/p/MLA19964512?pdp_filters=category:MLA1423#searchVariation=MLA19964512&position=4&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,2.260,No disponible,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1688078382,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Soba De Trigo Sarraceno 1kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=rj326B8%2Bp3E4WhoP%2B9MyAMfxoOHhblnG1DCgZrt6vQ7oTlqTDmICo69M2cljH93GxgkTcV8ssFLuekQy9I1v1mCgOMHvfTIStxzw0SpAciPHG9m3GaprYrSWyuLx0CcMrCHu8KotJNGL4vyFU4iNuKHsz%2F47jcv7iPGkUnM1RAEjlsCzWLsdx2KTk1GnNnrgaDQAoBQEipGm8JqYhL31VBKNcBSG%2Bh15RDB6yVQC9wa4QzWJWnNlNt50wInX7XP8kN727JUsgnhqTrN88ljICa4kZe%2FEiWhVzoW9Y2WjlCmzmnJRoACPQmLFS%2Fb7YGYRz%2FpJRhrN14zJrE1tdloZUSPtG%2BkPHMNVNF8ABOTqLWzX9txSMQls85C9fMzQ6V%2FMPP%2FGrwaxxByEaHixPYodec3MzYTZ1X27HMwj%2BmE2sicPAolPITTilkTxQay2YLvLwudrMENQRQs%2B%2FxF436xEfC7u%2FxIglrVQwhyG0L3TAzTJXjBNoWE5YM1aXg8E8rHlcvujDyT2qpy37XJP1L1GMfDaaBWC%2FJ56iZkcG9irRo6j5UlSyBAMciHJm5%2Bb7n2zrpgad2sOrB%2FrhF7Br%2FLWU0T8f2E4h%2BBOdaYeHRDKwWU%2BGL3PO1OAyOH1xLNzSGm6xNb2gGISIm18F3Gabs5mzRUbNEhA3b9tK3e%2F0f%2FIJ7tKUYA8Ab6c7UWeHg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,10.440,No disponible,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#616977350,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Tallarin Verizzia 500 G,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=c88qH8ZO33vUZuNM59pMm1DyKY9nRCtD2R6tLF3ONQYUvBji%2Fqj38JS%2BomkZABtfh4Drgku3YLwrcbpCq0%2FeOo6Re3nE2vXOwQvHdLTZqfxdQDi9mIz1p5tyoEWDcQn%2BUy%2FVefTqtBChzYpz0TUIGNSoeT4YUmNh9CkNZK3EsJE7K833qNN0WLQKfCzVNg9VGUByJ%2BJ%2FKr3c3xiFg9AfgnpS0JkhZ9ZxbqPlRVdFhhFDn2kfvLbnXyMA942BYr8XATwEAaUcZjsaK4cR1C3cayOfGHhSSz87zi7Bnbo1%2FMoSXvGkQfVJbaSDEbCQE0ybRzr%2FBSkQfdV5pI%2FaagMYtBw2Yp0F%2BiikFQc5SysDMq0KZk8pJ2O%2Bacg%2FWvNystT5SKKD86tRFRarQcC3vc0ljlrpZfPfL25K9l%2BwbjPtLSp8aZAoG9MFMspSz1ne1jMRViCDW2%2FC3lgzDOYG6Ln2O7L67oEvm6Axkn9wm%2FwJtIPPH5DMJUOFLODQGMne1gYsu87Uwv8u3ZBgaiD%2FkH8%2F0Q1p0QRh7rfoN%2BzE5CPiU21AO5E%2BYzlH7MTcEFR6cKh2LxD%2BtTf2nRRyunGWv7V%2BE1LvgonNbZHdf0Inxo3gNTRZryTAMxIEf2ca%2Bfp3BzzFuvC%2BWpDF9M%2FcL05V9kr1yRnk4vWHMZO5DCXIRrStAsiB5PfAl8Danw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,964,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1284800195,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Tirabuzón Lucchetti 500g,https://www.mercadolibre.com.ar/fideos-tirabuzon-lucchetti-500g/p/MLA20719337?pdp_filters=category:MLA1423#searchVariation=MLA20719337&position=7&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.459,No disponible,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1286443752,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Fusilli Con Kale Wakas X 250 Gr,https://www.mercadolibre.com.ar/fideos-fusilli-con-kale-wakas-x-250-gr/p/MLA20021519?pdp_filters=category:MLA1423#searchVariation=MLA20021519&position=14&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,2.235,No disponible,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1288654233,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Ramen Nissin Carne 85 Gr. Fideos En 3 Minutos,https://www.mercadolibre.com.ar/ramen-nissin-carne-85-gr-fideos-en-3-minutos/p/MLA20030968?pdp_filters=category:MLA1423#searchVariation=MLA20030968&position=2&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,2.100,No disponible,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1297724007,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Fideos Instantáneos,nan
Fideos Terrabusi 3 Vegetales Fusilli 500gr,https://www.mercadolibre.com.ar/fideos-terrabusi-3-vegetales-fusilli-500gr/p/MLA28569927?pdp_filters=category:MLA1423#searchVariation=MLA28569927&position=11&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.310,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1584459990,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Tirabuzón integral Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-tirabuzon-integral-matarazzo-500g/p/MLA20021495?pdp_filters=category:MLA1423#searchVariation=MLA20021495&position=17&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,2.099,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1397460699,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Tirabuzon Verizzia 500gr,https://articulo.mercadolibre.com.ar/MLA-1284845345-fideos-tirabuzon-verizzia-500gr-_JM#position=51&search_layout=stack&type=item&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,964,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1284845345,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,Fideos,nan
Fideos Rigatoni Verizzia 500 G,https://articulo.mercadolibre.com.ar/MLA-1371103776-fideos-rigatoni-verizzia-500-g-_JM#position=52&search_layout=stack&type=item&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,964,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1371103776,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,Fideos,nan
Fideos Favorita Mostachol X 500 Gr,https://www.mercadolibre.com.ar/fideos-favorita-mostachol-x-500-gr/p/MLA29075589?pdp_filters=category:MLA1423#searchVariation=MLA29075589&position=5&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,959,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1408597231,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
