Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Galletita Don Satur Bizcochos  dulce 200 g,https://www.mercadolibre.com.ar/galletita-don-satur-bizcochos-dulce-200g/p/MLA16176019?pdp_filters=category:MLA1423#searchVariation=MLA16176019&position=5&search_layout=stack&type=product&tracking_id=bbd0bb6a-7d80-447f-9a9d-d03f22ef9927,792,MEJORPRECIO.COM.AR,Nuevo  |  +50mil vendidos,(2308 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1141296773,2024-03-25 10:46:36,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Pepas Trio Membrillo Mermelada Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-pepas-trio-membrillo-mermelada-galletas-dulces/p/MLA19734071?pdp_filters=category:MLA1423#searchVariation=MLA19734071&position=8&search_layout=stack&type=product&tracking_id=bbd0bb6a-7d80-447f-9a9d-d03f22ef9927,1.374,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(633 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1218949523,2024-03-25 10:46:36,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Bizcochos 9 De Oro Agridulces Galletitas,https://www.mercadolibre.com.ar/bizcochos-9-de-oro-agridulces-galletitas/p/MLA19531322?pdp_filters=category:MLA1423#searchVariation=MLA19531322&position=13&search_layout=stack&type=product&tracking_id=bbd0bb6a-7d80-447f-9a9d-d03f22ef9927,779,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(93 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1156522788,2024-03-25 10:46:36,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Frutigran Avena Y Pasas Galletas Granix,https://www.mercadolibre.com.ar/galletitas-frutigran-avena-y-pasas-galletas-granix/p/MLA19531303?pdp_filters=category:MLA1423#searchVariation=MLA19531303&position=2&search_layout=stack&type=product&tracking_id=bbd0bb6a-7d80-447f-9a9d-d03f22ef9927,1.422,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(318 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1156529409,2024-03-25 10:46:36,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Pretzels Autenta Foods Horneados X 150 Grs.,https://www.mercadolibre.com.ar/pretzels-autenta-foods-horneados-x-150-grs/p/MLA19943874?pdp_filters=category:MLA1423#searchVariation=MLA19943874&position=3&search_layout=stack&type=product&tracking_id=bbd0bb6a-7d80-447f-9a9d-d03f22ef9927,3.952,POSITANO DISTRIBUIDORA,Nuevo  |  +1000 vendidos,(47 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1368842965,2024-03-25 10:46:36,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados,nan
Madalena Don Satur de vainilla 200 g,https://www.mercadolibre.com.ar/madalena-don-satur-de-vainilla-200g/p/MLA16176119?pdp_filters=category:MLA1423#searchVariation=MLA16176119&position=6&search_layout=stack&type=product&tracking_id=bbd0bb6a-7d80-447f-9a9d-d03f22ef9927,1.393,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(80 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1131389165,2024-03-25 10:46:36,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas De La Fortuna A Granel X 250 U,https://www.mercadolibre.com.ar/galletas-de-la-fortuna-a-granel-x-250-u/p/MLA22939864?pdp_filters=category:MLA1423#searchVariation=MLA22939864&position=9&search_layout=stack&type=product&tracking_id=bbd0bb6a-7d80-447f-9a9d-d03f22ef9927,21.050,LEPOTMARKET,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1378254855,2024-03-25 10:46:36,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas Redondas C/sal De Arroz Integral Sin Tacc X1u 100g,https://www.mercadolibre.com.ar/galletas-redondas-csal-de-arroz-integral-sin-tacc-x1u-100g/p/MLA28863428?pdp_filters=category:MLA1423#searchVariation=MLA28863428&position=1&search_layout=stack&type=product&tracking_id=bbd0bb6a-7d80-447f-9a9d-d03f22ef9927,975,PURAVIDA STORE,Nuevo  |  +1000 vendidos,(142 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1600427732,2024-03-25 10:46:36,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas De Arroz Integral Grano Entero Arrocitas 3 Cereales,https://www.mercadolibre.com.ar/galletas-de-arroz-integral-grano-entero-arrocitas-3-cereales/p/MLA21237442?pdp_filters=category:MLA1423#searchVariation=MLA21237442&position=7&search_layout=stack&type=product&tracking_id=bbd0bb6a-7d80-447f-9a9d-d03f22ef9927,1.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(146 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1318175903,2024-03-25 10:46:36,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Macrobioticas Galletas De Arroz Integral Con Sal Sesamo 102g,https://www.mercadolibre.com.ar/macrobioticas-galletas-de-arroz-integral-con-sal-sesamo-102g/p/MLA20941264?pdp_filters=category:MLA1423#searchVariation=MLA20941264&position=10&search_layout=stack&type=product&tracking_id=bbd0bb6a-7d80-447f-9a9d-d03f22ef9927,2.010,MIALMACENAMIGO,Nuevo  |  +1000 vendidos,(314 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1697236408,2024-03-25 10:46:36,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Melitas Clasicas Con Miel Mediana,https://www.mercadolibre.com.ar/galletitas-melitas-clasicas-con-miel-mediana/p/MLA22835242?pdp_filters=category:MLA1423#searchVariation=MLA22835242&position=15&search_layout=stack&type=product&tracking_id=bbd0bb6a-7d80-447f-9a9d-d03f22ef9927,729,TAP GROCERY,Nuevo  |  +5mil vendidos,(160 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1387547973,2024-03-25 10:46:36,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Cariló Molinos Del Bosque Tostadas de Arroz - Dulces - 150 g - Unidad - 1,https://www.mercadolibre.com.ar/carilo-molinos-del-bosque-tostadas-de-arroz-dulces-150-g-unidad-1/p/MLA16176261?pdp_filters=category:MLA1423#searchVariation=MLA16176261&position=28&search_layout=stack&type=product&tracking_id=bbd0bb6a-7d80-447f-9a9d-d03f22ef9927,1.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(139 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1138320752,2024-03-25 10:46:36,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
