Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Galletita Don Satur Bizcochos  dulce 200 g,https://www.mercadolibre.com.ar/galletita-don-satur-bizcochos-dulce-200g/p/MLA16176019?pdp_filters=category:MLA1423#searchVariation=MLA16176019&position=2&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,745,MEJORPRECIO.COM.AR,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1141296773,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Bizcochos 9 De Oro Agridulces Galletitas,https://www.mercadolibre.com.ar/bizcochos-9-de-oro-agridulces-galletitas/p/MLA19531322?pdp_filters=category:MLA1423#searchVariation=MLA19531322&position=8&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,720,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1156522788,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Galletitas Frutigran Avena Y Pasas Galletas Granix,https://www.mercadolibre.com.ar/galletitas-frutigran-avena-y-pasas-galletas-granix/p/MLA19531303?pdp_filters=category:MLA1423#searchVariation=MLA19531303&position=15&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,1.422,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1156529409,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Galletas Schär Crackers sin TACC 210 g,https://www.mercadolibre.com.ar/galletas-schr-crackers-sin-tacc-210g/p/MLA16175966?pdp_filters=category:MLA1423#searchVariation=MLA16175966&position=12&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,9.000,POSITANO DISTRIBUIDORA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#902111919,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Oreo Clásicas De Vainilla Sin Sal 118 g,https://www.mercadolibre.com.ar/oreo-clasicas-de-vainilla-sin-sal-118g/p/MLA19542080?pdp_filters=category:MLA1423#searchVariation=MLA19542080&position=13&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,1.023,TAP GROCERY,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1157943643,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Galletitas Pitusas Chocolate Mini Galletas Dulces Rellenas,https://www.mercadolibre.com.ar/galletitas-pitusas-chocolate-mini-galletas-dulces-rellenas/p/MLA25871962?pdp_filters=category:MLA1423#searchVariation=MLA25871962&position=1&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,764,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1469931860,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Galletitas Pepas Trio Membrillo Mermelada Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-pepas-trio-membrillo-mermelada-galletas-dulces/p/MLA19734071?pdp_filters=category:MLA1423#searchVariation=MLA19734071&position=5&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,1.237,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1218949523,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Galletitas Celosas Tradicionales Semibañadas Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-celosas-tradicionales-semibanadas-galletas-dulces/p/MLA21237455?pdp_filters=category:MLA1423#searchVariation=MLA21237455&position=11&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,1.678,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1328791861,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Rodez - Galletas De Arroz Yamani X12 Con Semillas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=bQhkBawCVfczErYCJXt%2FTWBgDuz4UTj%2BAFdVPopFcIJcnA1wlGxfa5GRU%2FspTm1863cgBQEXHEirbDT%2BOccBveeOHDwXhIrAo9Sm6uNAamdv0iALP0XElOaAiEWIBqdLO85uYzrT6d3IvPSsOLqKUVlGOHuSjGqyNnpGvsvHhHLQ99PfE%2B7FcKAeo%2FxzpOr%2Bw4eA%2Fx%2BIUQttQxK6FLA5T58d%2FyvHzhDDRVVtBxfcPYS3lXgriHw93%2BofYfOToBN644GpuG%2FY%2ByhYE%2FPy6rXEdQOXlERbkFs7MLnSSGraEg8U1TmFXBygFP%2Bb6ZbEClcWFmByd1eS0ZjcKwSncFgZcjcMyBumk7Z4Dn5latVUJjpdFO8IhErw8lPxqkS5pHEzlndyyC5%2BR5zhEfntI6QObE1ZVOkfWLhjDDvhlN%2BHFkee5po1jnb03TzLtJAmZjN6%2FY62rqHKpOlnA9x5PecfvGxd1q2IVi%2B6NVAotrUXPVWLcANE0fJ0QYzhROrDfbRQt5A2r0EbcaE0f%2FLAepjimiecCsX5q3w%2F4hLJvKKrUVLWS4lIwjsEg4ZD1pEU2N3YEUicajmLxFTAtcPcXNi9Tp4M5DWRD26ZYLJhU%2BhM6FscwpRfuHatSdbgXXTA3MFkVHwZEASr5ODTilpwwxRat3rrw5kEM6jWq%2FUDdeWfUU7B45ox79TkfYEdpQO0epufXAqQG0Aw%2B3m5Yg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,10.608,EDIETETICS,Nuevo  |  +25 vendidos,(+10 disponibles),Nuevo  |  +25 vendidos,No disponible,#1148486946,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Galletas Integral De Avena Y Pasas S/azucar Veganas 180g,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=uyaZ0h4RQQzO%2BVlCr2%2BTd%2BNRscRxO03tVYGXwqRpUO6hWe7Uea8tSLE%2FRNn94eW3FhmH29cTt%2BxbuQpWM%2FDGfqNjD5dzWwBM4G3QS4xgWOcUcIxPsG4WIot8si%2FJ7Rb42TTm%2F8PzqeK7X9MYwUPV1frtKIas0d9kGVzE2KpUehhv5xLsOihiuEV6JjedMmFOtX%2FSSSRElxddvanwWXZrS60g16A0nn05W1sAhKDlwIHUefYPE081ar2PCLfFL52yIn9NeucOXVTDmE80mfRK9o4FlwLc%2FaSGnc7%2BgYsvVUHaGatCJYXXyKqB7jI%2BkAKX9vqgSn%2BwTVfnhYuBrq5iw2ackCtzOlc1%2FKHFSqHnOS4Bn8PEJ39AA3DTtvp1geW%2FRMgYOYWyoZ1FLuRRitM9tffTIKlhii1zVxTtMg984P6wpCZRDWvxICtaaihS2LcRQRH%2Bi%2Fod1g9YU5EkhTsPKkJhguxBOsSnZ0r4tCfGmIwuDdTJgh1eTLB4Enpv6TX5P2FYAJ9fwTeiN5VMctp2Dqeig8DrOY3fdehnxUCfvIB63LyCuby5NCWwXhjET7X7UHfi5QRE8MudjkW%2Fa2q4LeLj9zUpiiz8ktWClthQLChtGyHrzWnnXVJirq%2FrsN63qVgNOXp2S%2FrS6gOZviqc6I9bNeXV8TC2T3%2B9fAMpxc7jABpjyTWpNH74eraxCg1b5Euti6ZbYgPDa951EOPqJruyXw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,2.727,GODEXDISTRIBUCION5,Nuevo  |  +5 vendidos,(+5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1454371592,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Galletita Club Social Display x 6 Uni,https://www.mercadolibre.com.ar/galletita-club-social-display-x-6-uni/p/MLA16176152?pdp_filters=category:MLA1423#searchVariation=MLA16176152&position=14&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,1.869,TAP GROCERY,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1141227285,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Galleta Trakinas Frutilla,https://www.mercadolibre.com.ar/galleta-trakinas-frutilla/p/MLA24826046?pdp_filters=category:MLA1423#searchVariation=MLA24826046&position=3&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,3.599,CAPSULANDIA,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1690138034,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Galletitas Mauri Surtido Fauna Galletas Dulces- Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1137041029-galletitas-mauri-surtido-fauna-galletas-dulces-mejor-precio-_JM#position=47&search_layout=stack&type=item&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,1.314,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1137041029,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Galletitas Melitas Clasicas Con Miel Mediana,https://www.mercadolibre.com.ar/galletitas-melitas-clasicas-con-miel-mediana/p/MLA22835242?pdp_filters=category:MLA1423#searchVariation=MLA22835242&position=6&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,699,FRIDASCANDIES,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1688411646,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Cariló Molinos Del Bosque Tostadas de Arroz - Dulces - 150 g - Unidad - 1,https://www.mercadolibre.com.ar/carilo-molinos-del-bosque-tostadas-de-arroz-dulces-150-g-unidad-1/p/MLA16176261?pdp_filters=category:MLA1423#searchVariation=MLA16176261&position=7&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,1.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1138320752,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Pretzels Autenta Foods Horneados X 150 Grs.,https://www.mercadolibre.com.ar/pretzels-autenta-foods-horneados-x-150-grs/p/MLA19943874?pdp_filters=category:MLA1423#searchVariation=MLA19943874&position=4&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,4.479,NEWGARDEN,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1449901250,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados
Galletas de arroz Molinos Del Bosque Clasica sin sal - sin TACC x 150g,https://www.mercadolibre.com.ar/galletas-de-arroz-molinos-del-bosque-clasica-sin-sal-sin-tacc-x-150g/p/MLA16176105?pdp_filters=category:MLA1423#searchVariation=MLA16176105&position=22&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,1.510,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1141368455,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Panadería,Tostadas y Grisines
Pimienta Limon Badia X 184.3 Gr,https://www.mercadolibre.com.ar/pimienta-limon-badia-x-1843-gr/p/MLA21362422?pdp_filters=category:MLA1423#searchVariation=MLA21362422&position=29&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,10.734,SR.GOLOSO,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1423408767,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Salsas y Condimentos,Especias
Galletas De Arroz Yamani X12 Con Mix De Legumbres S/tacc,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=oM5RcKVR1eHq0kC3zR%2B5G8H%2BBsN4UT47RXj1%2FuZ%2BhKEoZdWQu2G%2BBHyxbhcWAhf4BxNANjUrgh%2BJbH7JLwtfJkC%2Fe1gLdW9QC9fNxkeP%2Bz2j3W40DR0VMhrApLJEE%2B2XWglaakd7zDDD3PpB4L5hT%2F3CpoO9slA9DciWau7Xexmu37xMuAlgS3pp%2F9B%2Bb6Y0V7sDy2RpxhusUTpL7JbDtSK%2B7bKgjwQAtBVSVMokERxuBZSHazFh%2BFhHNvMDzxxrKx1ptf8TKHi101CbBIcPvLUwVCe6efivvAnLOG7uEwl5OT7pgAYVwKYCl0HlKlx2oJfWrWOUuGd5vcz0rLFfU5qcxXB1FNIfE4aM%2FZREaagFoaTMRzU8ZqvcirCHNbgS60mu6or%2FCQHDD4lY%2Fl%2FsxmyCq4xFEfQ9eV18ycEbHW81fp4iKemQ9eA6qT%2FpkJujEi4rLAWweSakqx51eLsD1APjlCn%2BfFFfaOMA8caHuxxr3xVVqQ%2FPZY1hcIRM2Lj%2BRCfgVc44V%2BAURTh%2FBe2Qtz4hjhwokQfC412hMI8Fd%2BMIVidm02mScTd1lUNW9d6kY8oMuyLML4qCZO3pyDbLCgVfm1c6uhcRnWMqNi4lEzykXnDNfWLm4%2BOF%2Fbwg4lgf6XwBWiKzd6qOkexSEoIPCgq546xBfxiJ5eCR2xIBcWxS6ASEJ%2BblWxwtbfKo3%2BryOYNHc8SegONES0LIH56dC303kDw%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,10.608,EDIETETICS,Nuevo  |  +5 vendidos,(5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1148480398,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Galletas De Arroz Yamani Integral X12 Sin Sal Sin Tacc,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ZtLFPq1P%2FsdZMqbzwM2SLtLqkQqgK%2BOWY%2BSqGtwso9Z6XSVNSdJZxb8BQ7v4aSYsBxj82wJW%2BrBrY87MyHzQGLiF5zcuHRdX7DbK2sO2UZJ0vkWXGHotFqSGpMCX7CglFJEDCUM%2BKwL0x%2BCPQu%2Fzy4kYeV%2FhICyfGy8JcPu2j0uON8NWJPwJWKNMou%2BDSnaDf82R4hfqMN26bFgO1yE5ogbkTMFmaKbiYyNi%2FTXTOkrmU4%2B8JfvPauSKo10sHdIrW0pNxprxNCPQR7eACKuAtsJLLLX4VWDJ%2BJclow%2Fdkb8sLOFh1zH3UInurrjVZN3N4lt6%2FA3zdE%2BkRGaXNr%2BVzoR%2BciDABJwbbQY3EajzNOU9OinfovdNT3U3v9UXsMedm3XXFeg19XRn7k9PV%2B2LSEoCD3PH61ZnOXeV3lDm2%2B%2FNpq3BPAQT5CX7A6hAfc5t76rJztQrPGw9wk70l%2BkzoeDN8diciR74zrwWWvJrTYSZPOKrTfW5FozHRmv0Ja9Zrc%2BAjrXin76gMgSB%2BYBSZXu6ORJyc%2FL%2FWUaL1r2Os9vAT%2BkZdisSc%2FwkdeQMK4OSEpR92Ln1g7m0TZf4v8mGzIylfAsWu%2BVyhrnnsaPm%2BLVa7ap%2FH%2BRJ3kwHO%2FApzfAtn10YP004Ya3wYYLxGq0nNZ8Swtt0o%2FhE85KfTaDOspTZ4yqmAAesd5ImPXixedQpgVhKxsixo8LLmfsqy03ycfU%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,10.608,EDIETETICS,Nuevo  |  +5 vendidos,(+5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1377616242,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
Galletitas Mini Pitusas Rello De Limon X160 Grs Parnor,https://www.mercadolibre.com.ar/galletitas-mini-pitusas-rello-de-limon-x160-grs-parnor/p/MLA20003451?pdp_filters=category:MLA1423#searchVariation=MLA20003451&position=16&search_layout=stack&type=product&tracking_id=b6280eb8-cb81-4222-bde6-7794f1d8f9f4,764,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1281066912,2024-04-29 10:40:24,Alimentos y Bebidas,Almacén,Galletitas,nan
