Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Mini Oreo Chica,https://www.mercadolibre.com.ar/mini-oreo-chica/p/MLA16175918?pdp_filters=category:MLA1423#searchVariation=MLA16175918&position=2&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,458,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1131395643,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletitas Frutigran Avena Y Pasas Galletas Granix,https://www.mercadolibre.com.ar/galletitas-frutigran-avena-y-pasas-galletas-granix/p/MLA19531303?pdp_filters=category:MLA1423#searchVariation=MLA19531303&position=3&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.305,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1156529409,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Tostadas de Arroz Molinos Del Bosque Clasicas sabor original sin TACC 150 g,https://www.mercadolibre.com.ar/tostadas-de-arroz-molinos-del-bosque-clasicas-sabor-original-sin-tacc-150g/p/MLA16176351?pdp_filters=category:MLA1423#searchVariation=MLA16176351&position=4&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.799,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1151534762,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Mondelez Oreo sin gluten 95g,https://www.mercadolibre.com.ar/mondelez-oreo-sin-gluten-95g/p/MLA36582489?pdp_filters=category:MLA1423#searchVariation=MLA36582489&position=5&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,3.900,OPEN25HS ,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1425094113,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletita Club Social Display x 6 Uni,https://www.mercadolibre.com.ar/galletita-club-social-display-x-6-uni/p/MLA16176152?pdp_filters=category:MLA1423#searchVariation=MLA16176152&position=6&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.620,TAP GROCERY,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1141227285,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas Schär Crackers sin TACC 210 g,https://www.mercadolibre.com.ar/galletas-schr-crackers-sin-tacc-210g/p/MLA16175966?pdp_filters=category:MLA1423#searchVariation=MLA16175966&position=7&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,8.999,POSITANO DISTRIBUIDORA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#902111919,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletitas Pepas Trio Membrillo Mermelada Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-pepas-trio-membrillo-mermelada-galletas-dulces/p/MLA19734071?pdp_filters=category:MLA1423#searchVariation=MLA19734071&position=8&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.261,OPEN25HS ,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1407792347,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletitas Celosas Tradicionales Semibañadas Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-celosas-tradicionales-semibanadas-galletas-dulces/p/MLA21237455?pdp_filters=category:MLA1423#searchVariation=MLA21237455&position=11&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.539,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1328791861,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Pack X 18 Tostadas De Arroz Molinos Del Bosque Clásica 150 G,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=rWO5oNx93xxHKssVr2ymWMy2Q8Dwem%2BUeSKPvlF%2Bh2U8nVglEomFZ%2B1SuvZqM50HQH5d6HxjeV9bXjdZ4OB2actn%2FyytVwbCMjB2AHj%2B77%2FwKt18VJfVtYkB4uFcjyqPYA4rzS7c7H%2Bm50qKQhpFoIHBWf6hi2Khi1UyDEBHDHMStQgD%2FLba9o9AXNjkdmKHCMGuGCwkfXLnwNJB0jN4YF%2FtQysMGn0HlwmzV71PcNYoakA%2BCSThMcgQELuAaxBs2ldmqVNk9jDA3SUQ74lg8JP7sYU41NHm%2BOJPG5%2BoXs6HppqKjJtOgc0yxSz0QQgQ0nVd96MQ8kiCOPmcs%2BAlUNGZPGVIR6FJZ1ItxRKSrHRtGo66HJi3lJoYqsjzwBsfFKq5Y1Lrdxs8EzydqV4hHIbvRcaGDq2KZ0fi%2F%2BKmyq9Mx3s9SzL5UV8AXxc5YT055W0yFRQX7h30QvOVOWVeR1kpk4Dcm3VoFv0CZAm8YWn0r%2BtA4707wMrwwzKpfNjRLc2XrgifbQ8GlqitFg9%2BpnzSoDX1ZlUlATy2OGnfYx69EpxDB6yzOVLi19xzB9FqYhMh4ig9bDPHSay9RVR69ZdlnnFztbQ4kyqazN4OjtS%2BFlHCiIA067OIGVMRe%2BbbBwu2aLS3SOsp%2BCl4kknvVwFK33mfDPmGm9LAeHlahr5QgJlwoJNbT7g%2FFGtSc%2FWK%2BwwChu24JeFSh1wXYYoMpfrJpVeO31A%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,31.612,ALPUNTODEVENTA,Nuevo  |  1 vendido,(+50 disponibles),Nuevo  |  1 vendido,No disponible,#1424665085,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Panadería,Tostadas y Grisines,
10 Cajas Galletas De La Fortuna X12 Uni. Marca Family,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=CNDdfcpJZNLbeMDn8bOqKwZKE3ckOUCCAvVaaiFvj7%2BXLcHkyQawcu90QXlmBoolISmSFW%2B07BJUlTmcDTTG30boy9rrfYvXN01jkyLi35%2FM1bq2aVWNXYg4l2qoWB9wfLbPmegdeXeP1rqha1ADc03DcWNuEmfJ8tkj9Pvke%2FqEOFtYIPwzu7tb%2FvUZ0KeLKcAN%2FrjUdlv0wepnPtodSRwIDxde7yuCTzvLb3SoGgFk74L6PxjG3iPFPK%2F5XfaTA9x4yO9%2ForNh8t1U%2Bkclwf0RYUgMQSu%2FIXAuk%2F1kKeitjjlmBP7qvrfN7wn%2B3FUzUQNo2bJqFP%2FrY5pRM79M6k3ekMRo%2B%2B3jS2%2Bs0uefEwagqRGZgHhSaXk1y%2BqjxurV5awumnxj5GKj%2FTuQsldnEtZL%2BzvdJakMim0H5L0GxmxvqkNe6BgoaShTviwY5tAaaYMOe6MoL1dnjlNj3vBs3CBMhGfuSTnpEMZBKqQoeL%2BNxQ%2FT4cdBdknO%2BVilq942sV217X%2F93pZrdhC%2B16AoolJF7EW1k%2FPHRCFWPEt2GU2OhLpqVHmhwkC37Qn2d9ty81sHkZPGHqWY3r2EgioEno9sMXsyKEZ3Iaj19Oio%2BpmrAd7QXu8KadDWHA8grYr8nvviFoStTQRmMaVmpV%2F7DRpJAtRqjSbzMQQMnMnbIU%2B620%2Bzl5I38wDtdpmtRrB40XWOHJODEfWBw4ZSR6XY%2FA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,17.775,ASIA ORIENTAL,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#832092395,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Caja Milka Oreo Bombon pack x 13 unidades - 247g,https://www.mercadolibre.com.ar/caja-milka-oreo-bombon-pack-x-13-unidades-247g/p/MLA20028578?pdp_filters=category:MLA1423#searchVariation=MLA20028578&position=12&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,4.509,GOLOWEBSITESHOP,Nuevo  |  +5mil vendidos,(2 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1420453083,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Chocolates,
