Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Capelettini Lucchetti Lucchettinis Jamon Y Queso X 500g,https://www.mercadolibre.com.ar/capelettini-lucchetti-lucchettinis-jamon-y-queso-x-500g/p/MLA21459203?pdp_filters=category:MLA1403#searchVariation=MLA21459203&position=11&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,2.650,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1330473026,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,Pastas,nan
Cintitas Crocantes Tostex Grisines Talitas Sabor Queso,https://www.mercadolibre.com.ar/cintitas-crocantes-tostex-grisines-talitas-sabor-queso/p/MLA26455375?pdp_filters=category:MLA1403#searchVariation=MLA26455375&position=4&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,999,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1385965901,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,Galletitas,nan
Capelettini Lucchetti Lucchettinis Espinaca Y Queso X 500g,https://www.mercadolibre.com.ar/capelettini-lucchetti-lucchettinis-espinaca-y-queso-x-500g/p/MLA21815941?pdp_filters=category:MLA1403#searchVariation=MLA21815941&position=2&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,2.860,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1356405334,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,Pastas,nan
Queso Rallado X 1 Kg La Quesera,https://www.mercadolibre.com.ar/queso-rallado-x-1-kg-la-quesera/p/MLA24833708?pdp_filters=category:MLA1403#searchVariation=MLA24833708&position=7&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,13.895,Provifood,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1379232893,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Serenisima Reggianito Rallado Sobre 35grs Pack 10 Unid,https://www.mercadolibre.com.ar/queso-serenisima-reggianito-rallado-sobre-35grs-pack-10-unid/p/MLA26287234?pdp_filters=category:MLA1403#searchVariation=MLA26287234&position=5&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,13.031,Mayorista Masivos,Nuevo  |  +100 vendidos,(5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1479309264,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Aceite De Oliva Zuelo Clasico 500ml Extra Virgen Sin Taac,https://www.mercadolibre.com.ar/aceite-de-oliva-zuelo-clasico-500ml-extra-virgen-sin-taac/p/MLA19686645?pdp_filters=category:MLA1403#searchVariation=MLA19686645&position=3&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,10.443,METELE MERELE,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1360811421,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Queso Rallado X 100 Gr La Quesera ( X 6 Unidades),https://www.mercadolibre.com.ar/queso-rallado-x-100-gr-la-quesera-x-6-unidades/p/MLA24833709?pdp_filters=category:MLA1403#searchVariation=MLA24833709&position=1&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,9.467,Provifood,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1458238748,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Rallado La Quesera Bolsa x 3 Kg,https://www.mercadolibre.com.ar/queso-rallado-la-quesera-bolsa-x-3-kg/p/MLA24748688?pdp_filters=category:MLA1403#searchVariation=MLA24748688&position=26&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,38.800,RODMIRO2008,Nuevo  |  +50 vendidos,(2 disponibles),Nuevo  |  +50 vendidos,No disponible,#1456524818,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Sabor Queso Parmesano X 1 Kg (1%),https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=mTH%2Bvr%2F8QVDOXPptKhmGAVFT7VvZaFFiphaQWQ4iBT1ZAWmobcmhPHxJMNguSqpEM03B9KAa3mb64UtRwERjvioNxYc37nqn0pcBxO3hdQBGmgkL7K%2BBlbd%2BzgXEyOgS3Xa%2Fh1gERZM8EHeM2NYMe4gR97JB%2B7x%2BWo8GSXrVVULZdx9smlfWnZd9xe6HUhevTCkWNpXfVqQIyGcWygh7jn4fYdgkEylKhMVzsfDO%2Bohzzc4aSb87%2F%2BNOoT49Xox9Cb8Mrjgz8JNmggc4bEQDsh2GL%2FKfTxMrZa8Divg5UwvvqFTshye2AG8Z8%2B%2ByTOK2tfXBpewALgHBFtt1uBNAbMotnbiSLUujcfytpgeIX4i3qyP0LCf3fMn%2FZ04LqwEyCBR6oWBvlvHOsixhE%2Bu%2BkcfknDof6OWruHGrirTaZq3FSFMEgbgbWzFbi4WTS4vaqHtu9KczrkYNnIZ49Al137iWwP0pA3y4ECHWOKhPbo6Z1l7%2Blz2o9V0V02Dhlbuou2eNC0I9nCAYEDQqxJkm1rE47yLPaEdhnSNaRBP%2BItzl7KzyjE0Y%2BZoOYLUEtkk2wMR7arbhSua0Zyk4NgLysxKTc4tcr7IDdugv7RWIAP2Ar0x%2Bwj0x4q9b2NRatIciWnpFZc%2F02FrdNnIicco%2F0zITAnJsI55RMiGP0htadodxHn%2B6FRix&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,8.280,SABORIGALSA,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#788282736,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,Salsas y Condimentos,Saborizantes Salados
Pasta De Aceitunas Con Queso Azul X190g  La Clarita,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=1m4%2FW5L%2Fm8ZD6MGwezqS3P2KCDaZRQiZaN44s%2F%2FUako1E1v1mOmxXrxDpkrt2TSWmyhc4jx%2Fd2ETxNnROpDPeECzoBVhy8tgeLN5PnPP%2F3la7arMas2aj0YMZS9Dl4YDE%2F16aoCrutF%2B%2Be9tJKUlzciLsbxrNTkTO3nR0IZ6fmgcrFu6qv%2Bf%2FyBkkjjjG2gXoUOzqi1x9CVAhZSUFxljNwJkO%2FvyL0sHmHph9zORwX92L3QULqr58q%2BuRnyVtmC8c1Dvg6x3Mo0ETibRYxyCjIU%2FsMD1rpntvqRD99ULvP%2FS%2FvqOzl0GZ8D8V%2Bsp86jKRPbhebMWQVGpY9MARlCGLhJXhuAmVhpOkfgzkjTnJ1NTYCicB2jO5v7Tt0FMLqPttEnIlRCDNt5JlOaPC9XqfEt5iZ4PqfVvMVN7AYxxP8TeUa8n31MpNHk7rGa50U068tW%2BTvEhupoMBBwS6GDAmZyKAeJV9Tt4G%2FMzA%2FGgT9soExv13XjpbVqtxRjN89Oz8sC2O%2FEenUagwmV3er1uz3kPLALD7hJ1GChmpJ%2FEQHgCo1zwZn5nzXZuGe9eRGSAf7W%2BOUT2wAQDO3XJe9GrgjyyD2wZWOwAexqNIJaJU9O4p8yNiMiG62p0j1ig3c7S9gPaUvKpqYfHuzz96uQlZN9mZOEi6oePwUbI1eUaOyCs8d5pI%2BSlEIDH9Pp%2BhdneRdJkFfP39YbjmmEkgQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,4.214,FRANCESCODISTRIBUIDORA,Nuevo  |  +25 vendidos,(+5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1111707661,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,Encurtidos y Conservas,nan
Queso Rallado Individual (100 Unid. X 8 Gr C/una) La Quesera,https://articulo.mercadolibre.com.ar/MLA-932572679-queso-rallado-individual-100-unid-x-8-gr-cuna-la-quesera-_JM#position=35&search_layout=stack&type=item&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,16.843,Provifood,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#932572679,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
