Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Capelettini Lucchetti Lucchettinis Jamon Y Queso X 500g,https://www.mercadolibre.com.ar/capelettini-lucchetti-lucchettinis-jamon-y-queso-x-500g/p/MLA21459203?pdp_filters=category:MLA1403#searchVariation=MLA21459203&position=3&search_layout=stack&type=product&tracking_id=654749e4-cd40-4295-a23f-bf79ce570760,2.650,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1330473026,2024-04-10 12:34:04,Alimentos y Bebidas,Almacén,Pastas,nan
Pringles Queso X124g,https://www.mercadolibre.com.ar/pringles-queso-x124g/p/MLA19977628?pdp_filters=category:MLA1403#searchVariation=MLA19977628&position=6&search_layout=stack&type=product&tracking_id=654749e4-cd40-4295-a23f-bf79ce570760,3.779,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1311767015,2024-04-10 12:34:04,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados
Vino Trumpeter malbec 750ml por 6 unidades,https://www.mercadolibre.com.ar/vino-trumpeter-malbec-750ml-por-6-unidades/p/MLA21826656?pdp_filters=category:MLA1403#searchVariation=MLA21826656&position=11&search_layout=stack&type=product&tracking_id=654749e4-cd40-4295-a23f-bf79ce570760,40.756,MERCADOGOURMET ONLINE,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1684595622,2024-04-10 12:34:04,Alimentos y Bebidas,Bebidas,Vinos y Espumantes,Vinos
Queso Rallado X 1 Kg La Quesera,https://www.mercadolibre.com.ar/queso-rallado-x-1-kg-la-quesera/p/MLA24833708?pdp_filters=category:MLA1403#searchVariation=MLA24833708&position=9&search_layout=stack&type=product&tracking_id=654749e4-cd40-4295-a23f-bf79ce570760,13.895,Provifood,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1379232893,2024-04-10 12:34:04,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Rallado La Quesera Bolsa x 3 Kg,https://www.mercadolibre.com.ar/queso-rallado-la-quesera-bolsa-x-3-kg/p/MLA24748688?pdp_filters=category:MLA1403#searchVariation=MLA24748688&position=8&search_layout=stack&type=product&tracking_id=654749e4-cd40-4295-a23f-bf79ce570760,38.800,Provifood,Nuevo  |  +50 vendidos,No disponible,Nuevo  |  +50 vendidos,No disponible,#1404377091,2024-04-10 12:34:04,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Serenisima Reggianito Rallado Sobre 35grs Pack 10 Unid,https://www.mercadolibre.com.ar/queso-serenisima-reggianito-rallado-sobre-35grs-pack-10-unid/p/MLA26287234?pdp_filters=category:MLA1403#searchVariation=MLA26287234&position=1&search_layout=stack&type=product&tracking_id=654749e4-cd40-4295-a23f-bf79ce570760,13.031,Mayorista Masivos,Nuevo  |  +100 vendidos,(3 disponibles),Nuevo  |  +100 vendidos,No disponible,#1479309264,2024-04-10 12:34:04,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Fideos Giacomo Capelettini Queso Y Jamon 500 Grs,https://www.mercadolibre.com.ar/fideos-giacomo-capelettini-queso-y-jamon-500-grs/p/MLA19994611?pdp_filters=category:MLA1403#searchVariation=MLA19994611&position=7&search_layout=stack&type=product&tracking_id=654749e4-cd40-4295-a23f-bf79ce570760,3.757,Ecomodico,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1287498996,2024-04-10 12:34:04,Alimentos y Bebidas,Almacén,Pastas,nan
Queso Rallado X 100 Gr La Quesera ( X 6 Unidades),https://www.mercadolibre.com.ar/queso-rallado-x-100-gr-la-quesera-x-6-unidades/p/MLA24833709?pdp_filters=category:MLA1403#searchVariation=MLA24833709&position=4&search_layout=stack&type=product&tracking_id=654749e4-cd40-4295-a23f-bf79ce570760,9.467,Provifood,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1458238748,2024-04-10 12:34:04,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Rallado Individual (100 Unid. X 8 Gr C/una) La Quesera,https://articulo.mercadolibre.com.ar/MLA-932572679-queso-rallado-individual-100-unid-x-8-gr-cuna-la-quesera-_JM#position=32&search_layout=stack&type=item&tracking_id=654749e4-cd40-4295-a23f-bf79ce570760,16.843,Provifood,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#932572679,2024-04-10 12:34:04,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Rutini malbec 750 mL,https://www.mercadolibre.com.ar/rutini-malbec-750-ml/p/MLA19737807?pdp_filters=category:MLA1403#searchVariation=MLA19737807&position=5&search_layout=stack&type=product&tracking_id=654749e4-cd40-4295-a23f-bf79ce570760,16.121,NEPTUNO BEBIDAS,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1479735374,2024-04-10 12:34:04,Alimentos y Bebidas,Bebidas,Vinos y Espumantes,Vinos
