Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Capelettini Lucchetti Lucchettinis Jamon Y Queso X 500g,https://www.mercadolibre.com.ar/capelettini-lucchetti-lucchettinis-jamon-y-queso-x-500g/p/MLA21459203?pdp_filters=category:MLA1403#searchVariation=MLA21459203&position=2&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,2.752,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1330473026,2024-04-29 14:54:10,Alimentos y Bebidas,Almacén,Pastas,nan,
Fideos Giacomo Capelettini Queso Y Jamon 500 Grs,https://www.mercadolibre.com.ar/fideos-giacomo-capelettini-queso-y-jamon-500-grs/p/MLA19994611?pdp_filters=category:MLA1403#searchVariation=MLA19994611&position=3&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,3.839,Ecomodico,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1287498996,2024-04-29 14:54:10,Alimentos y Bebidas,Almacén,Pastas,nan,
Krachitos Bastonsitos Extra Queso Snacks X300 Grs,https://www.mercadolibre.com.ar/krachitos-bastonsitos-extra-queso-snacks-x300-grs/p/MLA20024515?pdp_filters=category:MLA1403#searchVariation=MLA20024515&position=1&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,3.189,CAPSULANDIA,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1292491528,2024-04-29 14:54:10,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados,
Queso Rallado X 1 Kg La Quesera,https://www.mercadolibre.com.ar/queso-rallado-x-1-kg-la-quesera/p/MLA24833708?pdp_filters=category:MLA1403#searchVariation=MLA24833708&position=5&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,13.895,Provifood,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1379232893,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Queso Rallado La Quesera Bolsa x 3 Kg,https://www.mercadolibre.com.ar/queso-rallado-la-quesera-bolsa-x-3-kg/p/MLA24748688?pdp_filters=category:MLA1403#searchVariation=MLA24748688&position=7&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,38.300,Provifood,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1404377091,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Queso Rallado X 100 Gr La Quesera ( X 6 Unidades),https://www.mercadolibre.com.ar/queso-rallado-x-100-gr-la-quesera-x-6-unidades/p/MLA24833709?pdp_filters=category:MLA1403#searchVariation=MLA24833709&position=8&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,9.467,Provifood,Nuevo  |  +100 vendidos,(5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1458238748,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Queso untable Ilolay en mini porc individuales 20 Gr X 108 unid,https://www.mercadolibre.com.ar/queso-untable-ilolay-en-mini-porc-individuales-20-gr-x-108-unid/p/MLA22939193?pdp_filters=category:MLA1403#searchVariation=MLA22939193&position=33&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,21.672,Provifood,Nuevo  |  +50 vendidos,(5 disponibles),Nuevo  |  +50 vendidos,No disponible,#1674630230,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Queso Rallado Individual (100 Unid. X 8 Gr C/una) La Quesera,https://articulo.mercadolibre.com.ar/MLA-932572679-queso-rallado-individual-100-unid-x-8-gr-cuna-la-quesera-_JM#position=34&search_layout=stack&type=item&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,16.843,Provifood,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#932572679,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Vino Santa Julia Chenin Dulce Zuccardi Caja X6 - Gobar®,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=vRQzAtC5iTST5sCyGeLyaAT3ymGpBHxKaYJfOMa%2FosYMLQ2Zigvy9WSiq%2B5sPOJPHfNfx4uGls6d8qmiH%2FWulzfMtCyHQ3NtgZdHzLbe8Dwwwyi8aSpTZRqMAffgeGZhQvlUVQ%2B6mZmrh5feVuR23hXQhqBAKN2vCaWTtmeOkwrPnuaW3qmf3kGxLGA4oaK27eTkBafX%2FCcB87umBihXW4TOOZv17MibfdfdL41bPDdzaLS355kHb02gP5zh5ENDfxBJSRslg4SFoubFfWRs%2FFTbLwpsClxjAgNatrGWjHyQuXT%2Fhkgh4SeWpBPFXWDwpx5sXg4EL50Bvwmy9X1i85WvZIjfrL7B0BvuZG0SqwDM7lnK52horb3WZKe1LqMNRN0a4AsjsFrefpwlNsHSOKKYKupUO%2FE562rTs43ASsSCFCiUonlOJ6Oa%2BOEpdD7Y6i1v9gj14WklJWr%2F7eCcHhTWkaJE4sDJLBNcVfyPryUfbwVEh3Mn7smcP%2BjgUowDkvOp2Ava0wFv%2FLHJaZqH1G43tNWFsIkTpM7LaI%2F6iR85qVX8L9ZW83keKbRElhzIrcBrhBltkIeuR5opMm7KIdlk2Wyz8rlQpf5Zk3794KJKyRDTpNF3bfOKEuNFVsjnKECXeoNt73X8xAhVOhMp%2Bl%2BQU3%2BUE1nnrHoE2K0yw3VjN%2FTPe%2FLTt7B%2BUcXrubL1LoYf%2FcFa5aEfk9k0gh40&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,21.999,GOBAR E-COMM,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1299904506,2024-04-29 14:54:10,Alimentos y Bebidas,Bebidas,Vinos y Espumantes,Vinos,
"Combo Queso Gouda Pepato Sardo Fonte 3 Horma Completa 8,8 Kg",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=tymXaJ7MK1qct%2FQOAkf80jKB%2B9e%2FSG68hbEYu6%2BySvzPLtsb2eF7Hw1h2H0feOHDP7Fhecjhlvs%2Bzp9FDNfyXOIGCb%2FQpaPlpFqtLb2vHMfQwa9XerW3dfK%2BINRFMdFg%2B0yjFMlrqP5lFlq%2BohdYoxurtGs%2BVl62pczpj940zRh8sNaL6Xm2zELUCEIqQeZCdebDIlHfaVwV1OGyvniOs9JINRmPgTwhu3oWRlqkAe%2B3XBMMhB6ObT2em09H1mNv8nlSdL8YaLde%2FqVTCvJXN5gBiXA4lZsIwG5uCyD5AdhadfLkR1nWEJ5H5RrznNwg191WCfaYPBWle94sUaFQ9rcPrcu47qMYeSyAOSvOFGbtKcIt%2BQi7qUOyunUl05Wpcl5I1fUPfk0HBZfp47xQEQGyhKFI1d%2F8egGB1GydXBGSzlFk6j0vWuREASMA9gtW%2FQhByO2ohMvkQIL8rcvgrseAk7enlGU9d8BcDx%2FrPTfWoJV60QEHbQgJWoUOwdOWbH3bwbOxIQxMlFCSvx1bZe66ijlcYZzL04adxEVbufm0SSBPP0ZPZAeXb5u43m1QzRuzkSyDUks0qMVBbGI1NDoY0%2BUC24173HqFLIhE5N6E%2F6Vr4CthKHLx6NfeFz9jfO8O9QMfi4K5TUGuYYAKGQS8R65mKR55EFVnXLnfwVVDcAyNYpfmPed4VVmw%2FHXrIHs8Lsvz7dmPbYFlWCX5Iv5rnCrGAmst4Q%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,139.368,FONTEQUESOS,Nuevo  |  3 vendidos,(+5 disponibles),Nuevo  |  3 vendidos,No disponible,#1640230032,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Quesos Untables Verónica X 20 Gr X 108 Unid,https://www.mercadolibre.com.ar/quesos-untables-veronica-x-20-gr-x-108-unid/p/MLA22716545?pdp_filters=category:MLA1403#searchVariation=MLA22716545&position=28&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,25.490,Artistica Palermo,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1412513757,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
