Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3
Fideos Tallarín Don Vicente 500g,https://www.mercadolibre.com.ar/fideos-tallarin-don-vicente-500g/p/MLA19964512?pdp_filters=category:MLA412073#searchVariation=MLA19964512&position=2&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,1.877,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280840736,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Tallarín Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-tallarin-matarazzo-500g/p/MLA19937131?pdp_filters=category:MLA412073#searchVariation=MLA19937131&position=3&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,1.273,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1272606932,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Spaghetti Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-matarazzo-500g/p/MLA19943735?pdp_filters=category:MLA412073#searchVariation=MLA19943735&position=4&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,1.231,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280853799,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos tallarín Don Felipe pastas al huevo 500g,https://www.mercadolibre.com.ar/fideos-tallarin-don-felipe-pastas-al-huevo-500g/p/MLA20081097?pdp_filters=category:MLA412073#searchVariation=MLA20081097&position=5&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,1.543,TAP GROCERY,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280814696,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Terrabusi Tallarín N°7 500g,https://www.mercadolibre.com.ar/fideos-terrabusi-tallarin-n7-500g/p/MLA28611379?pdp_filters=category:MLA412073#searchVariation=MLA28611379&position=6&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,1.082,ECOMODICO,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1397915679,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Marolio Tallarines Paquete De 500 Grs,https://www.mercadolibre.com.ar/fideos-marolio-tallarines-paquete-de-500-grs/p/MLA19957823?pdp_filters=category:MLA412073#searchVariation=MLA19957823&position=7&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,967,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1402189361,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Tallarin Verizzia 500 G,https://articulo.mercadolibre.com.ar/MLA-1284800195-fideos-tallarin-verizzia-500-g-_JM#position=21&search_layout=stack&type=item&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,854,GRUPO ELNENE,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1284800195,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Tallarin 500 Gr Favorita,https://www.mercadolibre.com.ar/fideos-tallarin-500-gr-favorita/p/MLA28766309?pdp_filters=category:MLA412073#searchVariation=MLA28766309&position=8&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,976,ECOMODICO,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1400508857,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Tallarín Lucchetti X 500g,https://www.mercadolibre.com.ar/tallarin-lucchetti-x-500g/p/MLA29565915?pdp_filters=category:MLA412073#searchVariation=MLA29565915&position=9&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,1.363,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1410435585,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
Fideos Sin Tacc De Arroz Tradicional Soyarroz X 300 Gr.,https://www.mercadolibre.com.ar/fideos-sin-tacc-de-arroz-tradicional-soyarroz-x-300-gr/p/MLA21807572?pdp_filters=category:MLA412073#searchVariation=MLA21807572&position=10&search_layout=stack&type=product&tracking_id=9a92a58d-c007-4f6e-a94a-5367a762fc6c,2.242,DIETETICA VARELA,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1446882186,2024-04-08 15:14:38,Alimentos y Bebidas,Almacén,Pastas
