Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
"Termo Mate System Classic 0,8l Stanley Color Maple",https://www.mercadolibre.com.ar/termo-mate-system-classic-08l-stanley-color-maple/p/MLA19775757?pdp_filters=category:MLA47769#searchVariation=MLA19775757&position=1&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,113.000,Stanley Argentina,Nuevo  |  +1000 vendidos,(95 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381145321,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Original Mate System Classic 1.2 Litros,https://www.mercadolibre.com.ar/termo-stanley-original-mate-system-classic-12-litros/p/MLA19761025?pdp_filters=category:MLA47769#searchVariation=MLA19761025&position=2&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,109.990,CAPITAL BAZAAR,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1405539617,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Classic Rosado| 950 Ml,https://www.mercadolibre.com.ar/termo-stanley-classic-rosado-950-ml/p/MLA24254433?pdp_filters=category:MLA47769#searchVariation=MLA24254433&position=3&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,106.000,Stanley Argentina,Nuevo  |  +1000 vendidos,(11 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1565666500,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Mate System Classic 1.2 Lts,https://www.mercadolibre.com.ar/mate-system-classic-12-lts/p/MLA23611290?pdp_filters=category:MLA47769#searchVariation=MLA23611290&position=4&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,109.990,CAPITAL BAZAAR,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1405590107,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley 950ml Manija Tapón Cebador,https://www.mercadolibre.com.ar/termo-stanley-950ml-manija-tapon-cebador/p/MLA19731793?pdp_filters=category:MLA47769#searchVariation=MLA19731793&position=5&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,106.000,ELECTROANDPOWER,Nuevo  |  +1000 vendidos,(17 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1401820089,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Clásico 1.4 LTS Asa Plegable de acero inoxidable,https://www.mercadolibre.com.ar/termo-stanley-clasico-14-lts-asa-plegable-de-acero-inoxidable/p/MLA15542577?pdp_filters=category:MLA47769#searchVariation=MLA15542577&position=6&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,57.999,TECNOCENTER.,Nuevo  |  +50mil vendidos,(5 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1405547203,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Clásico 1 litro de acero inoxidable hammertone green,https://www.mercadolibre.com.ar/termo-stanley-clasico-1-litro-de-acero-inoxidable-hammertone-green/p/MLA15543619?pdp_filters=category:MLA47769#searchVariation=MLA15543619&position=7&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,86.259,INFANCENTER,Nuevo  |  +50mil vendidos,(5 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1110424841,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Stanley Mate System 800Ml negro,https://www.mercadolibre.com.ar/stanley-mate-system-800ml-negro/p/MLA21427939?pdp_filters=category:MLA47769#searchVariation=MLA21427939&position=8&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,113.000,FARMACIA GENERALPAZ,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1379201465,2024-01-30 19:00:28,"Hogar, Muebles y Jardín",Bazar y Cocina,Almacenamiento y Organización,Recipientes Térmicos,Termos
Stanley Termo Clásico 950ML negro de acero inoxidable,https://www.mercadolibre.com.ar/stanley-termo-clasico-950ml-negro-de-acero-inoxidable/p/MLA15558230?pdp_filters=category:MLA47769#searchVariation=MLA15558230&position=9&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,92.709,YERBAMATE,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1645530576,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
Termo Stanley Adventure Polar 1 Litro I,https://www.mercadolibre.com.ar/termo-stanley-adventure-polar-1-litro-i/p/MLA23499419?pdp_filters=category:MLA47769#searchVariation=MLA23499419&position=10&search_layout=stack&type=product&tracking_id=c88afa5b-aacc-4c59-a4d7-1005f9860b8b,65.999,TECNOCENTER.,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1405650809,2024-01-30 19:00:28,Deportes y Fitness,"Camping, Caza y Pesca",Accesorios de Camping,Recipientes Térmicos,Termos
