Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
Te Verde Matcha En Polvo Organikal Hgl X50gr,https://www.mercadolibre.com.ar/te-verde-matcha-en-polvo-organikal-hgl-x50gr/p/MLA22086446#searchVariation=MLA22086446&position=4&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,6.773,MORASHOP,Nuevo  |  +10mil vendidos,(275 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1511639362,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Te En Saquitos La Virginia Clasico X 100 Sobres,https://www.mercadolibre.com.ar/te-en-saquitos-la-virginia-clasico-x-100-sobres/p/MLA19835209#searchVariation=MLA19835209&position=7&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,2.831,Ecomodico,Nuevo  |  +5mil vendidos,(41 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1635338952,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Te Negro Green Hills Classic Clasico Caja 50 Saquitos 2g C/u,https://www.mercadolibre.com.ar/te-negro-green-hills-classic-clasico-caja-50-saquitos-2g-cu/p/MLA19566710#searchVariation=MLA19566710&position=17&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,2.849,A.JUGAR,Nuevo  |  +1000 vendidos,(9 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1411653345,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Remera Lisa Algodón Jersey Peinado Premium,https://articulo.mercadolibre.com.ar/MLA-619208970-remera-lisa-algodon-jersey-peinado-premium-_JM#position=37&search_layout=stack&type=item&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,8.850,TEES FACTORY,Nuevo  |  +100mil vendidos,(949 disponibles),Nuevo  |  +100mil vendidos,No disponible,#619208970,2024-03-17 21:59:41,Ropa y Accesorios,"Remeras, Musculosas y Chombas",,,,
Suplemento En Polvo Star Nutrition Pre Entreno Pump V8 X 285 Gr Sabor Grape attack,https://www.mercadolibre.com.ar/suplemento-en-polvo-star-nutrition-pre-entreno-pump-v8-x-285-gr-sabor-grape-attack/p/MLA24200541#searchVariation=MLA24200541&position=12&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,21.497,STIDIGITAL.,Nuevo  |  +500 vendidos,(8 disponibles),Nuevo  |  +500 vendidos,No disponible,#1514812022,2024-03-17 21:59:41,Deportes y Fitness,Suplementos y Shakers,Suplementos Deportivos,,,
Te Jengibre Heredia X 25 Saquitos,https://www.mercadolibre.com.ar/te-jengibre-heredia-x-25-saquitos/p/MLA19775507#searchVariation=MLA19775507&position=13&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,3.089,GREENANDML,Nuevo  |  +1000 vendidos,(33 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1360962220,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Bolso Matero Matera Un Buen Mate Porta Mate Termo Original  ,https://articulo.mercadolibre.com.ar/MLA-1198279849-bolso-matero-matera-un-buen-mate-porta-mate-termo-original-_JM#position=38&search_layout=stack&type=item&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,9.891,TIENDA MADU,Nuevo  |  +1000 vendidos,(225 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1198279849,2024-03-17 21:59:41,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos,
Hibiscus Para Infusiones. Flor De Jamaica. 100grs ,https://articulo.mercadolibre.com.ar/MLA-871863001-hibiscus-para-infusiones-flor-de-jamaica-100grs-_JM#position=39&search_layout=stack&type=item&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,6.990,TIENDA-SANA,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#871863001,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Hibiscus En Flor Premium Deshidratado 1kg | Sir Neko,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=RddO%2FTfeF38coS5NTaUuHUhpTMyqAV0m7ZyESdaD9IXUPglRvJcwPAucpO4HO0x8ofeApe7%2F5M8DPbG0dkf6W1M%2BLSbkG6uftADFCsh3Oby7xzafmE%2FpfzlfyIZq%2BHNRShN07T7yRE%2Bqs%2FeNLogkFIeensfv7sy0l4vlTmte4bNHuKfL3dfceG1n5K7tYRNYyrKxTn8Nxt4bx78f9QvsFiAhBtvljYiSFZzafaIOhsGEjLy6KAyv6cvfS7lhk4Fz8mwzOfIH3GCBkABOq5syDHEp%2FTwldBF0jMokBDbjgl6H7HVc8Gnmw2uve8%2F7yImmXuDZXutSyXTnnZo1ifZT4Cr1JsqgFR2y7t%2F%2B1pGrjQBAQgpYrBH3sny9zyLk%2FQx6JMucyoTGb6PPttH2EyIwyQG%2FNlVjvr6oNwVQtDkjWW675rzKmWp2G40NdCMXwmVe3%2FOT0ONmzgtSc3ziJ1UJzHuLxg5f4YKvgcss3%2BzAe8cvNozDpQvDksDeFeGBC%2FQhn9RQHZXmxFZDPQXnW6RtBzNyToxb87aZEkJEr52yu6kwKkzdL35CUihEuhfkf1K7L91EUxSDQLBbe5Kd%2FKRQqLPqN3jI8pnK7uVIUlKXuUX9sqTFsvkc3RVpYf%2BxaFNak4xtbgnzwVmFvdLAcD3S2IZHgqZB8tYgodGYkg%2F2JIqjcgrANGyEZVRsj2yk0MfzNPu3UgQuZsJLjQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,32.688,SIR NEKO,Nuevo  |  +100 vendidos,(17 disponibles),Nuevo  |  +100 vendidos,No disponible,#918534304,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Centella Asiatica 100g | Sir Neko,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=2dmStvHYraJ5tyPKzkFLHzfluO%2F%2BIfiKsQF681Z0n52Gr8eFiI8susYMOr6gdtGACWb9EneB6dIPPSZKAev4BfVzVCikoQAh7ykeOmi%2BXMLfJqtxRxjLy90ba3r4Hz9IXpwoMH%2BzjTXNAJ9NfvAyWY%2Fz0KlOEzLHY7ANiJobJxthJId0LK63dVpLxqXHXVG9dVGRbGWhv1TZ6Vs1N6pH1nJnVaOQH901csCaSHrMIduWxHB9tXIsrez4hhv%2B7I1kschxUIhqZBvvV%2B3viG%2BbO%2B0a9CmaqrrL7hO%2Fbnlth%2FA8PmQsJwiGVuJH9awL1Y%2FdafGvr%2BYQ97bz9wcebQN8A%2BZ7P8zftJT4G%2F9v8%2B4bhu0hvGyMz3iCG%2FldidGphosOdj8Njj9y6lSOarjl4XODpL%2BhLv4I9bwaAr8TFBblxyD1rqmXUhWQYKjAFjT%2FllEoq48h1OtEatNlRIlBwknEuQWCpX%2FBPPVJBe079FUWNvETlT14JjcgKL6FhIp%2Bl6mGvUQxFL%2FgVyM8cKTWmaa49uGlAMxKtU0MGGut63jOxnyB9PXKpknqsuw8AAn6Z9qhTgd4eLfApbWLvTKJuQFkDB4AFV5Oi9n8gZ03BIHLoltvsuSz12BGjKlmUJSlGVxqm6BnOLDsqSygUJu%2FkuEPpAbzpHNVEFBtZrz1BI%2B7Z6xIMsUrXCsBzg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,9.710,SIR NEKO,Nuevo  |  +50 vendidos,(6 disponibles),Nuevo  |  +50 vendidos,No disponible,#921332021,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
