Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Te Verde Matcha En Polvo Organikal Hgl X50gr,https://www.mercadolibre.com.ar/te-verde-matcha-en-polvo-organikal-hgl-x50gr/p/MLA22086446#searchVariation=MLA22086446&position=3&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,7.500,MORASHOP,Nuevo  |  +10mil vendidos,(148 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1511639362,2024-03-26 15:26:54,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Te Negro Green Hills Classic Clasico Caja 50 Saquitos 2g C/u,https://www.mercadolibre.com.ar/te-negro-green-hills-classic-clasico-caja-50-saquitos-2g-cu/p/MLA19566710#searchVariation=MLA19566710&position=5&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,2.801,CAPSULANDIA,Nuevo  |  +1000 vendidos,(144 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1167986225,2024-03-26 15:26:54,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Te English Breakfast Dilmah - 10 Saquitos Origen Sri. Lanka,https://www.mercadolibre.com.ar/te-english-breakfast-dilmah-10-saquitos-origen-sri-lanka/p/MLA19543798#searchVariation=MLA19543798&position=8&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,3.137,POSITANO DISTRIBUIDORA,Nuevo  |  +1000 vendidos,(11 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1160932254,2024-03-26 15:26:54,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Mochila Matera Austral Bolso Porta Termo Hasta 1.9lts Madu Color Negro,https://www.mercadolibre.com.ar/mochila-matera-austral-bolso-porta-termo-hasta-19lts-madu-color-negro/p/MLA29472219#searchVariation=MLA29472219&position=14&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,19.507,TIENDA MADU,Nuevo  |  +500 vendidos,(125 disponibles),Nuevo  |  +500 vendidos,No disponible,#1620307424,2024-03-26 15:26:54,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos
Té Twinings Earl Grey 50 Saquitos ,https://www.mercadolibre.com.ar/te-twinings-earl-grey-50-saquitos/p/MLA19735219#searchVariation=MLA19735219&position=15&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,18.390,AVFX1,Nuevo  |  +5mil vendidos,(30 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1689302384,2024-03-26 15:26:54,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Infusión Saint Gottard Frutos Del Bosque X 20 Saquitos,https://www.mercadolibre.com.ar/infusion-saint-gottard-frutos-del-bosque-x-20-saquitos/p/MLA20722766#searchVariation=MLA20722766&position=1&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,3.950,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293270373,2024-03-26 15:26:54,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Cafetera Embolo Prensa Francesa De 800 Ml De Gran Calidad,https://www.mercadolibre.com.ar/cafetera-embolo-prensa-francesa-de-800-ml-de-gran-calidad/p/MLA24394459#searchVariation=MLA24394459&position=4&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,13.999,FOR HOME,Nuevo  |  +1000 vendidos,(42 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1446392826,2024-03-26 15:26:54,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
"Infusión Saint Gottard Limón, Lima, Jengibr Y Menta X 20saq",https://www.mercadolibre.com.ar/infusion-saint-gottard-limon-lima-jengibr-y-menta-x-20saq/p/MLA20722757#searchVariation=MLA20722757&position=7&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,3.950,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(13 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1347165799,2024-03-26 15:26:54,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Canasta Uruguaya Matera Portatermo Cuero Premium Legítimo,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=inRnk0LEVPxVptpOGBdacbPFcI0IUoPq9QGO9hCLdtwAQULN4KAy%2BGUKFdiNcmY5hefqWqd5e1adMjM%2FKsNU%2BD%2BcHIHwSnFGG1mma8bRleO9BL%2BukfVKjMrBUszAmo7abyQwsOKKwfIxABje%2Boesy6WrKMsoW3CXfu6m8h87dqFCeGITG2fjZjvSSNck855FoRBYNirts%2FK7AnZIkKX6D9z7RyriDSKoMnZImbziDakmVnrg9HIkiNZn9CHfJQPY1FJ0IDmWA2Swq0rY3Mj3ihv6OKvmlvgGGEpneTw9riDkq4Z9Iym8i7iHZ0OtlGzcgAkrn0wp6Mpw1vFGOmXzU6%2Fpr5sqH%2FlLi1r5LQb9UgnP897LsS9AdDI%2BRqyFodoPu8QDMyY0Tm0HK3P66eLDB01jdKEzJqB9ows4cOs6rAmmRZjFqq4wnUeisncOt719%2Ff%2FicVZ%2B3uuFKFchVLJo70VYtZ5Hgmk8i0cfx%2B8szNFgwp596EutECZ4uGHJUefWoMzDGicVf8TocF%2FbZXeSui1qDVALgyyJ703lzkzHcc8woocH%2FMLK2E%2FL%2FBD3UIhO9XWbiG4%2BtkTiEbKrj232OC%2Bjj9j%2F55xmjtbqY230bFplmXSGBkInrsKqJztkng4TS26RbWPrcsTf6IOFLvJ%2FzN4qzKLvv%2Fz8hV2GHQ9Vh7kK3lsNjebOoUJ7AjVp%2BFjRD%2Bb%2BYNhCnp9ioqjbBpRPR%2BNWxg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,37.999,MATESUR,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1161508299,2024-03-26 15:26:54,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos
Remera Lisa Algodón Jersey Peinado Premium,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Cwq7vmokChtbsmhqzdutQBPzEeGOPcFCU%2Fzf1aDS8veazMh5wYQrafPttbb4tGy9waExoEkjUtC9qbNxOAULVudLb9f11PhadNwitwX4g1ZtkiSPbkB9ZE8l7aagfqByoUdC8J%2Ff5DsXjfGdFnyYrS%2BGChWb%2FYTdPfWZ2hU7%2B%2Bu0zHDFbnQjIU9YNHlBRePrKmiKFq2GDaw640Vkjx3UY%2BO1QrW6UuGtMuVMqhJYEwlsCL6VUPeL13idxj7%2BwCaUSbir9ZYr8x1MCcRk9M%2BhGxQ%2F%2FfJZyAtzURCYYqlf6%2BWz9jnd%2BSAh7V3kbhgSTN6%2FAD8A7oH5ZscTCEfL7Suucus7sq62%2FDNH9H283xcVt0JqEt6o%2BObdK2Xjy4x1wRW3y61Rs2i4dvCuxQJHQkkkdQBRhJmKxFLszuPp67LZLph%2B3UYWlyBHR%2B4Cu4%2FaRJiIDRFNQOG5q1Wj3AFxkjr5HATbJcLf0p0aD3gQGtwTnfiEDPfFtOYUUMmYGrdsi2frAwuDoGhnDgVaVxhBryLVyaXGmGnqDqD9lTalkAORP403BxQOAh3fmkr%2BLk1WZNR7vtsLy4bWhJXzpVdyVHieTdRiiogGO8RR3s9AvZ6onL9nbJhqVkKbZdOcJLd6%2Ff0FwO00fIBOQEdJSURuAG%2BaTFit76to%2BGhovCZvub5vqolCvfzDio7OJERZ%2BtQOy%2B4FoB0DqQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.850,TEES FACTORY,Nuevo  |  +100mil vendidos,(481 disponibles),Nuevo  |  +100mil vendidos,No disponible,#619208970,2024-03-26 15:26:54,Ropa y Accesorios,"Remeras, Musculosas y Chombas",nan,na,nan
Té Negro Dilmah Earl Grey Importado 10 saquitos,https://www.mercadolibre.com.ar/te-negro-dilmah-earl-grey-importado-10-saquitos/p/MLA19543792#searchVariation=MLA19543792&position=13&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,3.137,POSITANO DISTRIBUIDORA,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1175823986,2024-03-26 15:26:54,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Capsulas Dolce Gusto Recargables Ecologicas X4 Caffettino,https://www.mercadolibre.com.ar/capsulas-dolce-gusto-recargables-ecologicas-x4-caffettino/p/MLA22226652#searchVariation=MLA22226652&position=16&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,11.000,CAPSULANDIA,Nuevo  |  +10mil vendidos,(33 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1469763116,2024-03-26 15:26:54,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Infusion Saint Gottard 5 Variedades Frutales X 20 Saquitos,https://www.mercadolibre.com.ar/infusion-saint-gottard-5-variedades-frutales-x-20-saquitos/p/MLA19791701#searchVariation=MLA19791701&position=2&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,5.375,TAP GROCERY,Nuevo  |  +1000 vendidos,(12 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1255393447,2024-03-26 15:26:54,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Organikal Superfoods Matcha Jengibre Y Limon X 50g,https://www.mercadolibre.com.ar/organikal-superfoods-matcha-jengibre-y-limon-x-50g/p/MLA19972700#searchVariation=MLA19972700&position=12&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,7.224,POSITANO DISTRIBUIDORA,Nuevo  |  +1000 vendidos,(35 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1391211235,2024-03-26 15:26:54,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Cafetera Hudson Émbolo F-228-1000 manual plateada y negra prensa francesa,https://www.mercadolibre.com.ar/cafetera-hudson-embolo-f-228-1000-manual-plateada-y-negra-prensa-francesa/p/MLA18263270#searchVariation=MLA18263270&position=11&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,25.080,BAZAR AL CUBO,Nuevo  |  +5mil vendidos,(11 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1141957652,2024-03-26 15:26:54,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
Matcha En Saquitos Con Menta Y Limon,https://www.mercadolibre.com.ar/matcha-en-saquitos-con-menta-y-limon/p/MLA20007121#searchVariation=MLA20007121&position=17&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,3.555,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293250792,2024-03-26 15:26:54,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Hibiscus Te Infusiones Flor Jamaica Premium Kaia Botanicos,https://www.mercadolibre.com.ar/hibiscus-te-infusiones-flor-jamaica-premium-kaia-botanicos/p/MLA27830865#searchVariation=MLA27830865&position=6&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,2.821,SAWER.DISTRIBUIDORA,Nuevo  |  +500 vendidos,(58 disponibles),Nuevo  |  +500 vendidos,No disponible,#1683802188,2024-03-26 15:26:54,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Bomba Presurizadora Vasser 9mts 1-2 Baños Calefon 120 Watts,https://www.mercadolibre.com.ar/bomba-presurizadora-vasser-9mts-1-2-banos-calefon-120-watts/p/MLA19686540#searchVariation=MLA19686540&position=21&search_layout=stack&type=product&tracking_id=703dbba3-cbc4-45fa-98ea-facf24671584,47.659,CER AMERICA LATINA,Nuevo  |  +10mil vendidos,(160 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1418559276,2024-03-26 15:26:54,Construcción,Plomería,Bombas,Bombas Presurizadoras,nan
Difusor Saphirus Con Varillas Aromatizador De Ambiente,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=VTrVcYCSM1ME%2FNHAGfLGDfUAaN6%2B0zfun40zC9czQ5x1tJujCrYB%2BNy4IshdeXlt%2BuHYw9XhVIRxzKjFrR1gukUXRT48EydUi3VV0o6n%2BqEWk8LyOr3Yo%2FrRDSbPIRRh1FuDwg9ax0pp4tLkV%2FEpJqYQuP92eFvNDst2me3lnNj6gMYmnRfP8J%2B8%2B%2FV%2BPhcpgAFot8GNB9HN8mp6247EC9GgIgh6KTCtqotof9uMhONEtw5oje9pDvzQk6i6gBQg3oHQ47OX5vAA%2FY1ygGpFCb7B91bxtiHwlIxp8MD2e2VRVMlG8h1SPBUUyjB%2Bdd%2BZ57Gxv1MsDKzG0b4lqbYfH4XSrxbmiPNh4hndtRkOoj7LwPS7IE99A0ojv3J8xsDFh7NHIWtQ7vqFZ%2BHLe8zMKbklYsm3zUJCr9sKTKDKmYP8JdB4bJ2OJQVaKxVD%2Fw3Ct4vmzF5sbcNFXMrh74g%2Brq11eQNS9462YDYWup%2Bm2z1h55M0CQlVHWunV7v0ZlK2M3kB9HIxWQzrn2L924Mv6P9YTqRtvclwqPYruHyAfAERgej%2B2LQL20zmsAN9OET9cPRz0Ccxv7XDVXfkGPSmMf0QcXwgE708wRjg%2FRqyJ5gT11LRuRfLJlQxWiMMa5mwYiCBr5NCPHfF8nmJp6OrUb0wokBhsn4YjrE91jbv8NWQtBnDd1NfTeZoSbXbruwpE9cYeRAv%2BXIfHTjgCkk%2FDH%2FMqq53AHf4wpCjPZXStRsORYYDHNXvBhqM%2B2j3jv5VZU8GeppRz8UvQqWTSNcHlO4UDqDKVVvi5dQNp6JU6UU1oGCa&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,3.204,FRAGANCIAS LALINDA,Nuevo  |  +5mil vendidos,(102 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1395841479,2024-03-26 15:26:54,Industrias y Oficinas,Seguridad Laboral,Limpieza y Sanitización,Aromatizadores y Purificadores,nan
