Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Te Negro Green Hills Classic Clasico Caja 50 Saquitos 2g C/u,https://www.mercadolibre.com.ar/te-negro-green-hills-classic-clasico-caja-50-saquitos-2g-cu/p/MLA19566710#searchVariation=MLA19566710&position=2&search_layout=stack&type=product&tracking_id=3251af04-1b7c-4453-b465-a18cb15b2449,2.754,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1167986225,2024-04-16 13:39:36,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Te En Saquitos La Virginia Clasico X 100 Sobres,https://www.mercadolibre.com.ar/te-en-saquitos-la-virginia-clasico-x-100-sobres/p/MLA19835209#searchVariation=MLA19835209&position=3&search_layout=stack&type=product&tracking_id=3251af04-1b7c-4453-b465-a18cb15b2449,3.045,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1635338952,2024-04-16 13:39:36,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Capsulas Nespresso Recargables Ecologicas X 12 - Caffettino ,https://www.mercadolibre.com.ar/capsulas-nespresso-recargables-ecologicas-x-12-caffettino/p/MLA19815010#searchVariation=MLA19815010&position=4&search_layout=stack&type=product&tracking_id=3251af04-1b7c-4453-b465-a18cb15b2449,24.800,BLIP,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1262820502,2024-04-16 13:39:36,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Metabolic Max Reduce Grasa Corporal X 60 Caps. Blandas,https://www.mercadolibre.com.ar/metabolic-max-reduce-grasa-corporal-x-60-caps-blandas/p/MLA19700947#searchVariation=MLA19700947&position=5&search_layout=stack&type=product&tracking_id=3251af04-1b7c-4453-b465-a18cb15b2449,11.920,La Franco,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1233240454,2024-04-16 13:39:36,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,na,nan
Remera Lisa Algodón Jersey Peinado Premium,https://articulo.mercadolibre.com.ar/MLA-619208970-remera-lisa-algodon-jersey-peinado-premium-_JM#position=50&search_layout=stack&type=item&tracking_id=3251af04-1b7c-4453-b465-a18cb15b2449,9.690,TEES FACTORY,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#619208970,2024-04-16 13:39:36,Ropa y Accesorios,"Remeras, Musculosas y Chombas",nan,na,nan
Suplemento Keto Plus Diet - Dieta Avanzada !!! 60 Cápsulas Sabor Neutro,https://www.mercadolibre.com.ar/suplemento-keto-plus-diet-dieta-avanzada-60-capsulas-sabor-neutro/p/MLA25908710#searchVariation=MLA25908710&position=6&search_layout=stack&type=product&tracking_id=3251af04-1b7c-4453-b465-a18cb15b2449,7.197,TIENDASUPRALIFE_SUPLEMENTSTORE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384152713,2024-04-16 13:39:36,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,na,nan
Cafetera Esmaltada Hudson Gris Estilo Italiana 6 Tazas,https://www.mercadolibre.com.ar/cafetera-esmaltada-hudson-gris-estilo-italiana-6-tazas/p/MLA24434698#searchVariation=MLA24434698&position=7&search_layout=stack&type=product&tracking_id=3251af04-1b7c-4453-b465-a18cb15b2449,38.990,MACOM VILLA-DEL-PARQUE,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1421152255,2024-04-16 13:39:36,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
Te Verde Matcha En Polvo Organikal Hgl X50gr,https://www.mercadolibre.com.ar/te-verde-matcha-en-polvo-organikal-hgl-x50gr/p/MLA22086446#searchVariation=MLA22086446&position=8&search_layout=stack&type=product&tracking_id=3251af04-1b7c-4453-b465-a18cb15b2449,7.950,MORASHOP,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1511639362,2024-04-16 13:39:36,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Hibiscus En Flor Premium Deshidratado 1kg | Sir Neko,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=L5T0QSOPRBh14wEidNfDslxReUiVRLsWc1L7MHvKwZGPJIUSaWUl36B7Jf5UC4VQUsC4wBM6luiqneScXwn0%2BcsM0bcO2LW%2FBmrQRHAakgkqfihofyWAbN%2B%2BaJ3JleyOJsEVD%2FC46xI8H6Ba7YFotpmoAo0DQGi6Hba8OlUX3BIK42VM0ZlRjxglpE8ZLKaLHkyZDcZ7RbJymIn%2BUSggBCzF4x3HEkLrQoWfMlI5k1tEuJT9HEhCZ3JSAko364WkpbCJy0K6l9hKzf2z1UkVnU04St0a2ixOR%2BSKeZq3xohBVyjFQDtCtGMAJ9K8m8yPBtWOsO0CQJIX4YqFRkh3fyHzFZ%2FMM1UzpuqvECzmHDb1oCkWTu2txjs29yx5VzEBYCETh5fZInQ3FgKT1pXhpmJk%2Fa3hmLK1aoOOJlXfNviEtJ3ILxOBVudIxZ%2BixJxlpPfJKcEFI69WrV4BCYCbQ1fXILaFcDcWitIKnaNIyQLrHqGt0pjh2MfQlKOxP4z1%2FcUn9p5zfi1%2B%2FuSHpHX4arNKUfWYTj8SRWK6xJ89yTSTYKWItaAGv8OZDToJ%2FeXpmotOMT%2FjFFYVSc%2BTY0F2tHE0UA3mlgRxIKsuPsNzXi1XjLreNrlb1WEMRSCpOexoL1aGD54utZuNnq13W5yYWpFbSUGnT4aGKCa1B1LKTBFXAPoGNo%2B9G%2BYoLbTg0sGnZKYqsPLG%2BPWRJQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,33.460,SIR NEKO,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#918534304,2024-04-16 13:39:36,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Remera Lisa Algodón Jersey Peinado Premium,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=zwQ2ZT4dgcC54Vlq6fNsCDVXnMThpiampLxiGG1deemTjqSqLEkTGRSQXSlf7y53%2FKWtJ0e6Dr6Qt7KxmGmNc7hAzQ9A7jBFvSA%2BgHGI8q%2FelTIBoNf7JUy7FZqHm9BUDSETNmIfMJlT5TGoCD6XIUN32Hl6cjoP%2BPgIa4eeYQFrrBWFFj%2FxyM40cwO10td7CKXdw9nb2Rz64f8pApnsKpQNTlQ6aS2a9ogq9f8hlkGfc0wFkWA8tGDDptNhfteol42AnMMFn9gdzmeo%2B6NZMlF%2FmVS82zVtdbU9DbV%2F1fhiBPQvzQRQ%2BmUnJcqn6z2wYkPFaMim5cZPXCSlLTiN5tsDtYihgusv01B%2BV6uIj7hvBLOiyu11tPj9zhC0g6CWCrduRfTRQjOUEEgmHT30TXfYXUwDqyQ47AXQ6%2FbYr3AeogEyV%2FoYjuMkcb32tY9ry27IwuUEbYBazr2t%2B%2FN75L6ZDi8IiRWQlW8h%2FmJS1NX48bq6ShG5xRRaz8uDYYcGia8%2BgUeUEZGYP1Jau4X3GTIQ%2FuZejfWE9sOV1A0%2FQrp92A79D7Rk4iq8lalz%2FYT%2BSFwv4W3wT5e4tg4D%2FKQyVpQiyCwgGn4jKMuTeXiZzghI3H8BZboGsEWOzrQ8QlSToSpTTlY1A%2BIJoBN5a96hGorikvf%2FWdrj7Q1iMjRoeS2voEWT%2BFcJq3DeqaN%2BSaQ2gYWmazE%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,9.690,TEES FACTORY,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#619208970,2024-04-16 13:39:36,Ropa y Accesorios,"Remeras, Musculosas y Chombas",nan,na,nan
