Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba mate Playadito suave 1000g,https://www.mercadolibre.com.ar/yerba-mate-playadito-suave-1000g/p/MLA21017193?pdp_filters=category:MLA409408#searchVariation=MLA21017193&position=1&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,3.699,TGWSTORE,Nuevo  |  +50mil vendidos,(2302 disponibles),Nuevo  |  +50mil vendidos,OFERTA DEL DÍA,#1301673208,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Nobleza Gaucha Suave Sin Tacc X 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-nobleza-gaucha-suave-sin-tacc-x-1-kg/p/MLA21239193?pdp_filters=category:MLA409408#searchVariation=MLA21239193&position=2&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,2.377,TAP GROCERY,Nuevo  |  +10mil vendidos,(470 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1318632308,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Kurupí paraguaya menta y boldo 500g,https://www.mercadolibre.com.ar/yerba-mate-kurupi-paraguaya-menta-y-boldo-500g/p/MLA20008348?pdp_filters=category:MLA409408#searchVariation=MLA20008348&position=3&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,3.599,TGWSTORE,Nuevo  |  +10mil vendidos,(646 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1283532174,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias sabor tradicional 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-sabor-tradicional-1kg/p/MLA19839481?pdp_filters=category:MLA409408#searchVariation=MLA19839481&position=4&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,6.750,PAPUS SERGIO,Nuevo  |  +50mil vendidos,(1000 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1396821339,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate De Campo La Merced 500g C/ Palo Original Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-de-campo-la-merced-500g-c-palo-original-sin-tacc/p/MLA19956928?pdp_filters=category:MLA409408#searchVariation=MLA19956928&position=5&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,2.810,TAP GROCERY,Nuevo  |  +50mil vendidos,(317 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1280860216,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Grapia Milenaria 1 Kg. Estacionamiento Natural,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-1-kg-estacionamiento-natural/p/MLA21361701?pdp_filters=category:MLA409408#searchVariation=MLA21361701&position=16&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,4.370,Alma Nativa,Nuevo  |  +5mil vendidos,(431 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1324550609,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias Serena 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-serena-1kg/p/MLA20008630?pdp_filters=category:MLA409408#searchVariation=MLA20008630&position=11&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,7.695,OPEN25HS ML,Nuevo  |  +5mil vendidos,(292 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1355571413,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Canarias 500g Sab. Tradicional Original Importada,https://www.mercadolibre.com.ar/yerba-mate-canarias-500g-sab-tradicional-original-importada/p/MLA19957013?pdp_filters=category:MLA409408#searchVariation=MLA19957013&position=12&search_layout=stack&type=product&tracking_id=69abe4a1-615a-4a89-a1ea-00e0710ad24c,3.780,PAPUS SERGIO,Nuevo  |  +10mil vendidos,(160 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1396885399,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Arapeguá Canchada Orgánica 20 Unid,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=qM0rApZZNxdwuIr5K8Hy%2BaINpTSXQXRZ1YdSSyySavOpJstr51tYwYZbbdV807%2Fv5mXz7LFO3%2BXxvLR9sUucrqBEBTbcl%2FsbVjwJWTLPUaP4n%2BqJM26PHicsKyz9pyFRARnUtSBee5txRvknIFuyMssg1YnRkPsE23Bo4LpzFSoPZiXEOwBAQEwyQwV9PINj4tmqkzIbcDE4Okuy%2BM02D2oDH7XnHvQsHObMXEweylc3HtrkaThMEmxgVUiIuY0LBUkoDeaiU8xKclyx1icbErrs2SZ3sjBBHAXXnV1zxnYHf6DXUzYQqMj71m4%2F8LoamCKWSeJqxM2G4AmfKXdOGqUZaLLyRxETmXyXmpAhPsAwPJ5ONCZhs7pvdUQXoBwPB3SXEkhC4TxoAzcUk9XC%2Fns5bZkP5yhI1%2Fmf3BrQ9KVTDsIZsPzBfHs9qfFMTL6XfzSR8qxFuBpHv%2FFEVRWpzCYAIgl%2FX6zFgLbn1WGGeqLFI%2B5EHlZzphZaz7%2FDEJj9%2B7ZdeKRlulgKQXCZ7YRWy4Um4PiuRhLJEXuQHM9XhzCohv%2BV2aL%2BKz7HcTgsmtlcAxfxvxTJTCzcVfrLtUtKLF8Ztn%2FeQ%2BvCuSBU1ZD5MZlikrv3sHYu%2FVdMFAqC6m9VqOC%2FqjMR8%2BhHY77B5H2DrVzhYXWhtrJb2rN52eK7QUOXgh6j%2FJCz%2Fh4duxk2g%2F0nsSBDliuz%2BQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,104.206,MANGIACHETIFABENE M,Nuevo  |  +50 vendidos,(2 disponibles),Nuevo  |  +50 vendidos,No disponible,#904636327,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Verdeflor Menta Y Jengibre  500g Pack X12 Unid,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=dfpfn3M9r1jO3QjFwixYpZj%2F3VsQxxl1N0azp%2F1kxLrAYcdOgwE8SlaGPcjaYdTI5QCx3MomIPN5ddM5U04b3LJNcr1U%2BVJ0hgMMV5hhq74VWUytpfDiDJ3woecdJNmFB9bUZEkva7JsSVr8VO72ryTtT3gc607d5Qa%2Fsl%2Fn0Z8iPuKB1XCyWm9bu6pywHrBFG2bpWeKYkyk9ivb%2FhT1DSlh4iFptanFcYVLkqRpSdmNVna5lRgzcSK6Evog%2BV2pwigB1PKdMGkKcvYswwmn3Hg4jZ90nyfBXyMN%2F0WyGBLFKP4KjNnaflT8fG1J3qBsXOO%2BU7XWZ3y46swty2fBc8yBvwsxX92y00Q8fm0a94d5iujKDv7%2BYSNfWeCnShfUfdq01zfKjXcfOBQTzgcirn7bSrUuZuVJr0lCkK91u4w1bIQUPUXUv%2FOv%2FxuDdpc6rnmaZvuwOBg02ZeUl%2B8wPsZLvVd4CCzNSqp3ytpywQNUlOsbRTtMmU%2F2Ppt4wRpDj%2FFwsMt7NWmLKSxfq2ryJ04jF9hIreXROFZ0VU8OrG8%2FdAGS%2FiXbTsYTO6Eb5%2BjVszYx0lhLSg3M0b%2FzW65sQNbvgBDrHyR0gaJzFpXbMPJYNvRP0MW%2Bq%2BHctTT%2FTPExgPWif2pbukQYoNrQPdDjYrnnqKrduMsOjBJM40HK4LAZL8i77XewXzMIFMjgGR%2FoX8kTTxjNt2OIRXwrVOK89OzL3%2F%2F9&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,23.613,YERBA VERDEFLOR,Nuevo  |  1 vendido,(9 disponibles),Nuevo  |  1 vendido,No disponible,#1402921297,2024-01-26 13:42:23,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
