Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba Mate Playadito Suave 500grs.,https://www.mercadolibre.com.ar/yerba-mate-playadito-suave-500grs/p/MLA19991741?pdp_filters=category:MLA409408#searchVariation=MLA19991741&position=2&search_layout=stack&type=product&tracking_id=29a73f51-52c1-4ddd-b317-48037c1c3345,2.399,CAPSULANDIA,Nuevo  |  +10mil vendidos,(77 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1278633767,2024-03-22 15:36:31,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cosmico 500g,https://www.mercadolibre.com.ar/yerba-mate-cosmico-500g/p/MLA34077331?pdp_filters=category:MLA409408#searchVariation=MLA34077331&position=3&search_layout=stack&type=product&tracking_id=29a73f51-52c1-4ddd-b317-48037c1c3345,3.400,ASIQUEBUENOSRL,Nuevo  |  +100 vendidos,(896 disponibles),Nuevo  |  +100 vendidos,No disponible,#1413006783,2024-03-22 15:36:31,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Nobleza Gaucha Suave Sin Tacc X 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-nobleza-gaucha-suave-sin-tacc-x-1-kg/p/MLA21239193?pdp_filters=category:MLA409408#searchVariation=MLA21239193&position=4&search_layout=stack&type=product&tracking_id=29a73f51-52c1-4ddd-b317-48037c1c3345,3.538,ECOMODICO,Nuevo  |  +10mil vendidos,(598 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1370357935,2024-03-22 15:36:31,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Canarias sabor tradicional 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-sabor-tradicional-1kg/p/MLA19839481?pdp_filters=category:MLA409408#searchVariation=MLA19839481&position=5&search_layout=stack&type=product&tracking_id=29a73f51-52c1-4ddd-b317-48037c1c3345,6.525,VENTAS MERCADONLINE,Nuevo  |  +50mil vendidos,(55 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1455090456,2024-03-22 15:36:31,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Kurupí paraguaya menta y boldo 500g,https://www.mercadolibre.com.ar/yerba-mate-kurupi-paraguaya-menta-y-boldo-500g/p/MLA20008348?pdp_filters=category:MLA409408#searchVariation=MLA20008348&position=6&search_layout=stack&type=product&tracking_id=29a73f51-52c1-4ddd-b317-48037c1c3345,3.879,CLETHA_MASE,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1709546758,2024-03-22 15:36:31,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Sol y Lluvia Barbacuá - Barbacuá - 2000 g - Unidad - 1 - Bolsa,https://www.mercadolibre.com.ar/sol-y-lluvia-barbacua-barbacua-2000-g-unidad-1-bolsa/p/MLA23127803?pdp_filters=category:MLA409408#searchVariation=MLA23127803&position=7&search_layout=stack&type=product&tracking_id=29a73f51-52c1-4ddd-b317-48037c1c3345,9.165,MORAGREEN AGROALIMENTOS,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1378306629,2024-03-22 15:36:31,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Canarias 500g Sab. Tradicional Original Importada,https://www.mercadolibre.com.ar/yerba-mate-canarias-500g-sab-tradicional-original-importada/p/MLA19957013?pdp_filters=category:MLA409408#searchVariation=MLA19957013&position=8&search_layout=stack&type=product&tracking_id=29a73f51-52c1-4ddd-b317-48037c1c3345,3.430,01MERCADO,Nuevo  |  +10mil vendidos,(386 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1316627982,2024-03-22 15:36:31,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate De Campo La Merced 500g C/ Palo Original Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-de-campo-la-merced-500g-c-palo-original-sin-tacc/p/MLA19956928?pdp_filters=category:MLA409408#searchVariation=MLA19956928&position=9&search_layout=stack&type=product&tracking_id=29a73f51-52c1-4ddd-b317-48037c1c3345,4.300,OPEN25HS ,Nuevo  |  +50mil vendidos,(39 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1395567061,2024-03-22 15:36:31,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Mañanita 4 Flex Con Palo Sin Tacc 1kg,https://www.mercadolibre.com.ar/yerba-mate-mananita-4-flex-con-palo-sin-tacc-1kg/p/MLA19973281?pdp_filters=category:MLA409408#searchVariation=MLA19973281&position=10&search_layout=stack&type=product&tracking_id=29a73f51-52c1-4ddd-b317-48037c1c3345,4.199,CAPSULANDIA,Nuevo  |  +10mil vendidos,(109 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1451223498,2024-03-22 15:36:31,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias Serena 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-serena-1kg/p/MLA20008630?pdp_filters=category:MLA409408#searchVariation=MLA20008630&position=11&search_layout=stack&type=product&tracking_id=29a73f51-52c1-4ddd-b317-48037c1c3345,7.956,PRIMOR MAYORISTA,Nuevo  |  +5mil vendidos,(28 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1412731354,2024-03-22 15:36:31,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
