Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba Mate Playadito Suave 500grs.,https://www.mercadolibre.com.ar/yerba-mate-playadito-suave-500grs/p/MLA19991741?pdp_filters=category:MLA409408#searchVariation=MLA19991741&position=1&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,2.499,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1278633767,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cosmico 500g,https://www.mercadolibre.com.ar/yerba-mate-cosmico-500g/p/MLA34077331?pdp_filters=category:MLA409408#searchVariation=MLA34077331&position=3&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,3.400,ASIQUEBUENOSRL,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1413006783,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Nobleza Gaucha Suave Sin Tacc X 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-nobleza-gaucha-suave-sin-tacc-x-1-kg/p/MLA21239193?pdp_filters=category:MLA409408#searchVariation=MLA21239193&position=4&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,3.444,ECOMODICO,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1370357935,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Canarias sabor tradicional 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-sabor-tradicional-1kg/p/MLA19839481?pdp_filters=category:MLA409408#searchVariation=MLA19839481&position=2&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,6.507,PAPUS SERGIO,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1396821339,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Sol y Lluvia Barbacuá - Barbacuá - 2000 g - Unidad - 1 - Bolsa,https://www.mercadolibre.com.ar/sol-y-lluvia-barbacua-barbacua-2000-g-unidad-1-bolsa/p/MLA23127803?pdp_filters=category:MLA409408#searchVariation=MLA23127803&position=6&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,9.025,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1443645600,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Mañanita 4flex 500g,https://www.mercadolibre.com.ar/yerba-mate-mananita-4flex-500g/p/MLA20719063?pdp_filters=category:MLA409408#searchVariation=MLA20719063&position=7&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,2.299,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1284764068,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Organica Porongo,https://www.mercadolibre.com.ar/yerba-mate-organica-porongo/p/MLA19991738?pdp_filters=category:MLA409408#searchVariation=MLA19991738&position=5&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,3.949,TAP GROCERY,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1283552817,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias Serena compuesta con hierbas 500g,https://www.mercadolibre.com.ar/yerba-mate-canarias-serena-compuesta-con-hierbas-500g/p/MLA20729891?pdp_filters=category:MLA409408#searchVariation=MLA20729891&position=11&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,4.399,OPEN25HS ,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1362363472,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Pack X 6 Yerba Mate Sol De Acuario Orgánica X 500 Grs ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=jEZrx8QmVT2FUXa%2BnBiGX9%2BM6hMDRDjKm3Yf6M3pC%2BBJxmSafah1YMlCoOfnqDeajmxVwZHCOQnZXXNo%2B7z4A%2F61msflhW86HA4IH8ggxb6QJcQfWwMBt9czgl%2F7ya9a%2Bo9EbzNlHWEsuE4fKbc4CYpGWb45HvL0FzMFX8qbU9plzCd%2F14hvWp9Dml%2FM9zMxxfs7Jex7x9D83HlauRLAgwj4JV5fTPInJJgMTjXnBY9A3JeSAylXY6BvGwOtp0y%2BMV1%2BCbEfIblN3nEo5OUv8yHkPbZvS4vNKm4ks9tKHWaZwZgSS6IqaqKBzlHByRiAscyEgRDp%2FoE7I8yeqtJShi2KWS0aKU%2FH3L6GUHAlycXa82fnK3xh%2BhBpzzRAx1nnKjPnDlQoRQ0XyepmvDmKKDFv7%2B3WZdsORlS2NCxZ8WIDW6KS1KYhWVc466%2FBoD7yrLxqZlXdvux2oliiX7Osn9H9KC4%2Btn3mnK3mabY0xJrUcaXLW%2FJSSuV3%2B3lQ3YTCuTEHYLCt%2BCswhArImK%2FgDaDj66RIjTmWleQJDoTJ34d4gv2NcqXthWMLHO0PYFT3UzjQX1myPuAKIvwar9EKwFtHJV9GMrNEaDcPh%2BlJ4qQBTW%2BPDzjh3iVSA%2BytyGsPaq1DOSZRs4EzAmLDIm%2FwAuGldjzhATAbC4PkuQc5aLzNsg%2FEWgw5vhK%2FNgAri6CypMKzn896gLjo8T8cNnlR&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,22.999,LEONVEGANO,Nuevo  |  +50 vendidos,(+20 disponibles),Nuevo  |  +50 vendidos,No disponible,#1110951462,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sol Y Lluvia 10 Kg (en Paquetes De 2 Kg) Floresta,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=kzHHtm6Ps8HxGLjObJMJ5lCq9Sb%2BjPLzDLALMEIQtoNNTiDGdwrr1gut78zxVQq9XkhAQ4zt5yr%2BUTkXkdHddtWhkTV77wczw%2Bs1aIQRpddf%2FBcv6ak6J5c0s%2FaTtBhqbEJXfB6H09sqXjWp4HEIZ8Qc1Yit9CpABefgA%2Fgf%2BpwZGRy3fJnQRkQXCUR9HYB7RD2W2QnshMVzmANP2g1v0qN10o6ZNI%2F5ug%2BFjbKiR%2FZb41HFOHWbvwgfyIJFxhsjdvpREJ%2FUEixnS98MWCbbbvwv1qFTa9o5buBjrT7UQjtP2GA5yxKDBKA23jSjywN10ohs9cJeA7AThX3nnKgcU%2F3NmlFJxHEYfkyfMu7zpNtzOaU3taZOay%2BR8m99qR9lbz8DUdIsby1fUzscQoXs2b6ZstN2Z2cb27A4JvtxfJzC5m%2Fes%2BiQ4iqEZTbpyui8tQynfvJywVU66bGUBxCQ1AgmjDFD53uWW3UOwRjCuudMsSkSQ%2B9GJxus4mvq6%2B7yZ9BUhKM9sFNDPOf36M07wAnNKrDBAWFQyWcKpg9paAr07jnKnHNTwe6mudI3WjreJhFPV7q9j0CG%2Bmsl7%2Byl5c8IhT4uYTBSYcC0%2BIHm1p0UqPGAl29LayxU4UCtuNOahfZAOywkO59xxV8qZMtllRmOW7GBTtHejn9vDocvII57tPro2cPUDFBmi8luTiE7fJbVk9rBCZquSPX2dW7yLQmdOF8%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,57.684,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#926504559,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate De Campo La Merced 500g C/ Palo Original Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-de-campo-la-merced-500g-c-palo-original-sin-tacc/p/MLA19956928?pdp_filters=category:MLA409408#searchVariation=MLA19956928&position=12&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,4.599,TAP GROCERY,Nuevo  |  +50mil vendidos,(+20 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1280860216,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
