Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba mate Canarias Serena 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-serena-1kg/p/MLA20008630?pdp_filters=category:MLA409408#searchVariation=MLA20008630&position=4&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,8.288,OPEN25HS ,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1355571413,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Nobleza Gaucha Suave Sin Tacc X 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-nobleza-gaucha-suave-sin-tacc-x-1-kg/p/MLA21239193?pdp_filters=category:MLA409408#searchVariation=MLA21239193&position=6&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,3.431,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1318632308,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Playadito Suave 500grs.,https://www.mercadolibre.com.ar/yerba-mate-playadito-suave-500grs/p/MLA19991741?pdp_filters=category:MLA409408#searchVariation=MLA19991741&position=2&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,2.499,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1278633767,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Canarias sabor tradicional 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-sabor-tradicional-1kg/p/MLA19839481?pdp_filters=category:MLA409408#searchVariation=MLA19839481&position=5&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,6.507,VENTAS MERCADONLINE,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1455090456,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Playadito suave 1000g,https://www.mercadolibre.com.ar/yerba-mate-playadito-suave-1000g/p/MLA21017193?pdp_filters=category:MLA409408#searchVariation=MLA21017193&position=3&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,4.150,GOGO20240327112448,Nuevo  |  +50mil vendidos,(+10 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1737783574,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Sol y Lluvia Barbacuá - Barbacuá - 2000 g - Unidad - 1 - Bolsa,https://www.mercadolibre.com.ar/sol-y-lluvia-barbacua-barbacua-2000-g-unidad-1-bolsa/p/MLA23127803?pdp_filters=category:MLA409408#searchVariation=MLA23127803&position=1&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,9.025,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1443645600,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cosmico 500g,https://www.mercadolibre.com.ar/yerba-mate-cosmico-500g/p/MLA34077331?pdp_filters=category:MLA409408#searchVariation=MLA34077331&position=11&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,3.400,ASIQUEBUENOSRL,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1413006783,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Mañanita 4flex 500g,https://www.mercadolibre.com.ar/yerba-mate-mananita-4flex-500g/p/MLA20719063?pdp_filters=category:MLA409408#searchVariation=MLA20719063&position=14&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,2.175,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1284764068,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Pack X 6 Yerba Mate Sol De Acuario Orgánica X 500 Grs ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0VjXgsXiltoWFGmVROwgNCSJWXN8JMioVO1D5coTI4w0amaWq8bh%2Be4juNysmnuWXUB%2BayXJwwJqaBkcqCtO3KbQvlottBqWQTpxJKPeIZUmbDD5BJXYEt%2FmNEzdsArsyMw9VrR5L06dL8x%2BeEKgusZOaj3RMZO869qU0Ya56KYbRireoBza9c6%2B9Cf8y1%2BIqGcZQ8aI6qhJFnejTyTegBZBEd24MS8x4NinRkbT1HL%2FBVZTYjWyqG6mm8EudAesnAOwcKiWiOt7acL%2BmqmbGOZDZuxmZc7%2FuwGDcwDrAyjDwq2JEwEyeReeyTw30FtXirKIFynhgG9MPE6kvnPinWhTJsLKS69T%2FXAEEVi2ygW9KRZjMnNIwUF728ZyCB1mffBeYZwapGn%2FaaGPXSOdhHy0t3NyOaP1NJNKLD1dRBDjkCNtOYYeVyQol7fkZL7X7grx530TaGwxhm132P3DKrSshmE3HAnWXuXoB1MgTDvTFAbkOYL4te5gjM1T9%2FoRwkdKqEJ%2FnPhRTUWrLxqAIUG%2By66pENxGrGxhWsH5y88HfxRXQlOYSb3%2Ftz3v2E%2Fp%2F7%2BrWUNK%2FNvS2bIZ8JBAjP%2F3183wDPD4krLY08ANmdpVWRCJ3STkOkK5bmHGgkSivY56rfc2fl3wjKd%2Fe9RPVmPo%2BD6Xeqt%2FjXKWkXt9hUZTqTAUf0vKYrwy94RBmml4oBiswEyJQsfgORom7fsEdA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,22.999,LEONVEGANO,Nuevo  |  +50 vendidos,(+20 disponibles),Nuevo  |  +50 vendidos,No disponible,#1110951462,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Orgánica La Obereña Pack 20 X 500grs,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=7MJWcmEc4tKmLzwJwX%2BtZVWyFjK7lkgC6YCCxg%2BWwVRkzH916AVySKXhdhES8tdlBsQbEJWDkuQAuA%2FD5Xd%2BY280sPwm8%2BwNNR%2BuEA3WdILpv%2F177R4sN0Sy6C7%2BOTlEKhz7R2cXDJ24KO2SfAIphGBAZHm1v%2Fd4iuf7SoUTAFy%2BootRZPHQyn6gbhjZe62E85tOQgWOhIPsWgnKtM63gVzJvKlAQZoriDTOXVsfI%2FjccGror73icbEzsfL6cjyX6arj7LtQMSK6OwX75o%2F0Kr9y2qDpXJNedKRP89T%2BSVZGBkylq7CsWfRQWOnYdESwuIqrI9T9V2wdXf%2BScanKd2MnvTxSOOIAMb%2BdkrrWPjmrNXTnJPwwQbMTubDa1pB0wtmu5kMN2UdP7X1DUaGd428J5Y8NfFa52dwW1HgiQmp6o8h1ujPzHgdl0GzG6ICqvJpDfP%2FOjGb9Xe%2B5jj8GKqoQ1V8ujheCuPLsMVKtT4ez2CEiM5kCV2pvSi%2F9j0XfeOcAkIo4Fwzc52AB1nNBWTUV1Ih1Xc%2BTNt22gfd%2BPP9vamaYEZDHuEhn1AHwhqbpk0OAwzjCO32qAOh3wacYcT4jxFdROfVtn6YbmFVn5Qo0YHp9crBEYxLprIBJneeJem0b6i6xi%2BqXKAWKueIafT%2FMBYLYt7gxNEmBvX0LQyzBrJHm4v64Pe5I8Hn7NhypxdKRixxIM%2BQt80xETQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,79.976,SEMILLA VIVA,Nuevo  |  +25 vendidos,(3 disponibles),Nuevo  |  +25 vendidos,No disponible,#1147404911,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Organica Porongo,https://www.mercadolibre.com.ar/yerba-mate-organica-porongo/p/MLA19991738?pdp_filters=category:MLA409408#searchVariation=MLA19991738&position=7&search_layout=stack&type=product&tracking_id=c90d693e-bc60-4998-8eff-679544bf3e4e,3.729,TAP GROCERY,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1283552817,2024-04-17 17:26:14,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
