Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba Mate Playadito Suave 500grs.,https://www.mercadolibre.com.ar/yerba-mate-playadito-suave-500grs/p/MLA19991741?pdp_filters=category:MLA409408#searchVariation=MLA19991741&position=2&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,2.499,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1278633767,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Nobleza Gaucha Suave Sin Tacc X 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-nobleza-gaucha-suave-sin-tacc-x-1-kg/p/MLA21239193?pdp_filters=category:MLA409408#searchVariation=MLA21239193&position=18&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,3.626,ECOMODICO,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1370357935,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cosmico 500g,https://www.mercadolibre.com.ar/yerba-mate-cosmico-500g/p/MLA34077331?pdp_filters=category:MLA409408#searchVariation=MLA34077331&position=4&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,2.890,ASIQUEBUENOSRL,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1413006783,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Canarias sabor tradicional 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-sabor-tradicional-1kg/p/MLA19839481?pdp_filters=category:MLA409408#searchVariation=MLA19839481&position=5&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,6.507,TECWAVES,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1367380127,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Sol y Lluvia Barbacuá - Barbacuá - 2000 g - Unidad - 1 - Bolsa,https://www.mercadolibre.com.ar/sol-y-lluvia-barbacua-barbacua-2000-g-unidad-1-bolsa/p/MLA23127803?pdp_filters=category:MLA409408#searchVariation=MLA23127803&position=26&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,9.025,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1443645600,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Playadito suave 1000g,https://www.mercadolibre.com.ar/yerba-mate-playadito-suave-1000g/p/MLA21017193?pdp_filters=category:MLA409408#searchVariation=MLA21017193&position=1&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,4.150,GOGO20240327112448,Nuevo  |  +50mil vendidos,(+20 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1737783574,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Organica Porongo,https://www.mercadolibre.com.ar/yerba-mate-organica-porongo/p/MLA19991738?pdp_filters=category:MLA409408#searchVariation=MLA19991738&position=7&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,3.862,CAPSULANDIA,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1280493067,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Kurupí paraguaya menta y boldo 500g,https://www.mercadolibre.com.ar/yerba-mate-kurupi-paraguaya-menta-y-boldo-500g/p/MLA20008348?pdp_filters=category:MLA409408#searchVariation=MLA20008348&position=17&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,4.595,TELARART,Nuevo  |  +10mil vendidos,(2 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1525596440,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Barbacuá Picada Vieja 20 X 500 Gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=VLawo%2BoRCdlsahy0eLGfTipTyA9YHrYoa5iTon7R8ardsEkJsFM4EJN1qRN5NRdUQiA7mojKztr9DIHW%2BdtcV%2FE5tVW7aGo21JOqckO5ZXBnXHiTrszNPHIaxCvj8tsSCGppy0rS8gr9uUUDBn7eqpMiyroBD9ZTaepX8iRIbcYWDhOSZMYL%2BLGWhc6dIaLs%2B5xde5trSjpPrRiFqItSThyxYloetcwtg5SGGPN6NPot0Pb%2BwVFra06N5EM6w8xtn1acN7t83pOFg5qZnh0BHS%2FUDodCl5uF0D%2F1mSRwEn0404czDnO2YqrdtmIod3qjx1YEpSKEGX7dUrjabBqdGflbR%2BR%2FuOElZsw7V8p%2FZfOKtnrwxCBlOMAKgWgASnoXMYWOcQq7PRFa9QPbpuY%2FKS7aZsbOzOjYZ8i%2FGhr8lXj0sqbbTu9XDxlBfyX67K97L8EfEwtlfdBlHrxJQwb0%2BTab1jSduWWsJMFacM92H%2F2ZN6Xm0qVjOOT62YvIo0haB70hdtbITYbKPbAZVKBU6i3vUt4V6UH7qKbhHNZe2k8HtNac0hGlZZi%2BL%2Fvwm8bAzYT6Z7uBHX5JQmniwqqC9BYcBGuqOAtpTIsof3n20VwBfex1fyc9kBJpnSth7klW%2BEHMPQLymRDqwMQ2RDW8ZIJD2ZNQICeVVYRuyioiD2oXUtDCpzDxL40xsx9p%2BGH0%2FCzJSDObCg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,55.691,SEMILLA VIVA,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1171681729,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sol Y Lluvia 10 Kg (en Paquetes De 2 Kg) Floresta,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=RGmHy2bNvPRvMdo6%2B1StEjJCmC3P4bVLVjWqfHxBSctNcv0Qeom30yVesamTs7gNOcslUDJ2GP0QfX3IzR3SWjvrCdrKqw%2B8pX3X%2B%2BXR4xVKiieDABACUCwvL2d68IqcgTkk%2BFzVRjxop4cn6Mmr8nP215cD1UR9fi6%2FDBTx7%2Bbsuhl0K1Ss6P2CBRtz%2F%2BpGwcV8tO8KVmeTSGbBoC8Tf6Qg2Rfoi%2Bg97qnaOsaYVYhP7B%2BevC5W7CUrfNGLhwecRxhSdLyaFf1NUygnai62KYBK5Vu5Nx5VN6MvPYCFrFqP1eHo3Sas2hLwjIcDMa6SA9L52fR4cutnsfkmWE0OqCj1M1PoUmKNoGk9fFy7iUIpSUifdfIwOQU%2FrclkugU98CPb8HaRpLVYAOnzCQecw%2F70AmnKmVrI2zoUxhylkK8Jjt81hllaXu%2FDpOhVrU4haIjebFDw6ainUE%2B%2FStXecveSUS8IMWy9lQCLdfF10a9de606JEY2V4LNxgZMd6PzPsrLtvV9zt3%2B4XKgYPpP86Jz7SGGSyY6ylXvpNI75v%2FM1iomgP3YzxlAOGAPbodfAsWjMuQPmuVH93MPaPjQQ1u7op15B5%2FTgpN3k0EnzqPJWPPe0wjuDthmLcEKdYGtaRIw1DYhNMZJltpAAyRn9YzBitwu89g3rgagYalrNNtDjPrmvPPvwBJQB8C48hSVWg4nhEfEr6WYnfXz2%2FpT%2FgQv02Mx&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,57.684,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#926504559,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cosmico 500g,https://www.mercadolibre.com.ar/yerba-mate-cosmico-500g/p/MLA34166638?pdp_filters=category:MLA409408#searchVariation=MLA34166638&position=13&search_layout=stack&type=product&tracking_id=0747d39e-2f67-4410-9529-2b817c3fc7d8,28.900,ASIQUEBUENOSRL,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1696268690,2024-04-22 10:31:44,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
