Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Caramelos Masticables Dropsy Yogur X 700gr Frutilla Vainilla,https://www.mercadolibre.com.ar/caramelos-masticables-dropsy-yogur-x-700gr-frutilla-vainilla/p/MLA21563021#searchVariation=MLA21563021&position=6&search_layout=stack&type=product&tracking_id=054ae51f-20b3-4b2b-b5fc-5e423b339680,4.000,OPEN25HS ,Nuevo  |  +100 vendidos,(39 disponibles),Nuevo  |  +100 vendidos,No disponible,#1377034711,2024-03-26 15:31:54,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas
Caramelos Masticables Arcor Yogus X 396gr Sin Tacc Frutales,https://www.mercadolibre.com.ar/caramelos-masticables-arcor-yogus-x-396gr-sin-tacc-frutales/p/MLA21917340#searchVariation=MLA21917340&position=11&search_layout=stack&type=product&tracking_id=054ae51f-20b3-4b2b-b5fc-5e423b339680,3.299,CAPSULANDIA,Nuevo  |  +100 vendidos,(6 disponibles),Nuevo  |  +100 vendidos,No disponible,#1366956303,2024-03-26 15:31:54,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas
 Caramelos Flynn Paff Yogur Masticables Sin Tacc Caja X70,https://www.mercadolibre.com.ar/caramelos-flynn-paff-yogur-masticables-sin-tacc-caja-x70/p/MLA21127487#searchVariation=MLA21127487&position=13&search_layout=stack&type=product&tracking_id=054ae51f-20b3-4b2b-b5fc-5e423b339680,5.999,CAPSULANDIA,Nuevo  |  +50 vendidos,(8 disponibles),Nuevo  |  +50 vendidos,No disponible,#1713820878,2024-03-26 15:31:54,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas
Caramelos Billiken Yogur Paquete De 600 Grs,https://www.mercadolibre.com.ar/caramelos-billiken-yogur-paquete-de-600-grs/p/MLA19974690#searchVariation=MLA19974690&position=15&search_layout=stack&type=product&tracking_id=054ae51f-20b3-4b2b-b5fc-5e423b339680,3.090,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-03-26 15:31:54,nan,nan,nan,nan
Bebida Yogurt 500ml,https://www.mercadolibre.com.ar/bebida-yogurt-500ml/p/MLA29529040#searchVariation=MLA29529040&position=17&search_layout=stack&type=product&tracking_id=054ae51f-20b3-4b2b-b5fc-5e423b339680,3.375,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-03-26 15:31:54,nan,nan,nan,nan
Yogurtera Yelmo Yg-1700 1 Litro ,https://www.mercadolibre.com.ar/yogurtera-yelmo-yg-1700-1-litro/p/MLA17840710#searchVariation=MLA17840710&position=21&search_layout=stack&type=product&tracking_id=054ae51f-20b3-4b2b-b5fc-5e423b339680,31.320,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-03-26 15:31:54,nan,nan,nan,nan
Yogur En Polvo Con Probioticos 6 Cepas Yogur Now - 1 Sobre,https://www.mercadolibre.com.ar/yogur-en-polvo-con-probioticos-6-cepas-yogur-now-1-sobre/p/MLA19920545#searchVariation=MLA19920545&position=3&search_layout=stack&type=product&tracking_id=054ae51f-20b3-4b2b-b5fc-5e423b339680,2.500,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-03-26 15:31:54,nan,nan,nan,nan
Yogur Natural En Polvo 1.5 Kg,https://articulo.mercadolibre.com.ar/MLA-1224457158-yogur-natural-en-polvo-15-kg-_JM#position=23&search_layout=stack&type=item&tracking_id=054ae51f-20b3-4b2b-b5fc-5e423b339680,39.737,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-03-26 15:31:54,nan,nan,nan,nan
Iniciador Fermento Probioticos Para Yogurt Yogur Now Pack X5,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=1D5N2q%2FmjdmsibiLiaQNUrBcPLl1aKbQYVHuXwgJAIdEn1DRIRrcEqc4vm6KEOZ%2F4mv2rUMydJUDygJPOFYsIJkCpN0PbFggF5tvJTYzoIgVBqWNeMkELTlEDXTHwxRpaLeGpiLAFAk4mg7Y5r7x25wQ2v8HyUSewQfA%2BIaC%2FTHaCpH4JTlML2ubwz5jFmXV%2B4eX%2FEoid7L%2F6KhjT0mpxc5Yj5JD%2B%2F6vAJXtJqa6QnhTDDUDOCncLptnkz8meyeGN0NrLgDKnHVTTxG0vfXZZbAHn9%2F5C%2FP2nUmyUz34gMMyL5e7NsDYNtjsgwYSAqGMJnpokXMTbCmum4cX%2FGmjvIvV6tjj41dh7T2dP%2F2Cvz6Vxr8iA21%2F1ELZoYSB8BDcJRpG6xpCJKEoX%2BF1ZsCZnghgDqW0CYLYxcIYMABQUARssbDAy%2Fj%2BBbwTm8A8Z%2FCg9%2FhNlnO3F8y9ib4HZzfs2UucMzbprnK4UpdLj9EJI2CrzzpllZBTG8LYpv2%2FauTo%2FaoDc6MFYSv%2BG8uUklvDRU7PpL8d0SNmSXwm84GadtC1lBITD75VfWAyaaiM56SKjf4m38deBA2ACI%2F7Uh7EaWc%2BZD9OtpxpCNmI4yyBxKnePC5%2BqynFmARfdPhtPT5JcC0%2BcGrbe60EAn4BoF7TIXxC1nl%2FZ0SXRaY6TZs7blXdgrpLO85Jp02vyia%2F1Ah7dkJnQcuVDPdnW9kTzJKFXLsf9Mp9tE0%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,13.400,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-03-26 15:31:54,nan,nan,nan,nan
Mayorista Frascos De Vidrio Yogur Dahi C/ Tapa Nuevo X 20 Un,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=dWF%2FuDiMIx0gJACFNKu6ZcZazXoOMXsOeG2YPcIuqJ2WnnUH6a6sF3M9ncKOfpM6g5Wvq6ljTEa7b%2Fn6XDTWIxZH5I1E4XMFbx9%2Bmx8uZ5hZcsQuGS5MHICEjzBWY%2BbnZ445WHdR8om%2BK5X9%2F3gRUT3RUkWB%2FXfhFKcGd1llpzUbzGqorQvozq%2FZYfOD6EpwcyA8XIXbe2dlHx7Qr2x6lQ1Ft3g1CJQdtx8YaIidYK%2Fr3Dg3mPrNaxvNWk5HC4xWzbVmrhgCZ8xZ6snoXREwpH1K1nR74%2FSCxff9vlnUFWCST0aH2flVzcO4viYemprtDl94%2BNtqNPQUcXEn9FsPMuvpbq7RPp90rb4RXSSCfqL5XNLfo4%2FYxMU9o5DMDHmdAmb6Pz1GAqBthqTZv70I3Na3Y%2BaeP9oVvEGd7r8Awe6OYoZ3j%2FbzONS%2BGNJoyyfZQ4bBzvvFE20e%2BAIayR%2B%2B85nrPnQxZXpvBJzjLyFdIb4tYlPTdhWkyeFGKar4RsLKsQ%2FjNQfxTHGxht0X7PZ1Gx7bjB5LrWHUCO7YbVRnGrPaxNdivL7PV6Hz9Guv%2FW1T0KyVnIiOjtxccXNpXlWdv9o8El3S954Dx7oJgFAn6Iab%2F7uk6lAB9y%2B5ymUNWmPt0nwBVPsHzM8hVsxlRKDhQzhrde0cX19L90aqiuOXbUrj9rSxJ0xdKPr1fmOR24Y0jl5puJeWN3jWgfKICA5BMlcamby45UM%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,10.280,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,2024-03-26 15:31:54,nan,nan,nan,nan
