Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Caramelos Masticables Billiken Yogur X 150g,https://www.mercadolibre.com.ar/caramelos-masticables-billiken-yogur-x-150g/p/MLA32464653#searchVariation=MLA32464653&position=12&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,990,OPEN25HS ,Nuevo  |  +50 vendidos,(+20 disponibles),Nuevo  |  +50 vendidos,No disponible,#1665991612,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Caramelos Masticables Dropsy Yogur X 700gr Frutilla Vainilla,https://www.mercadolibre.com.ar/caramelos-masticables-dropsy-yogur-x-700gr-frutilla-vainilla/p/MLA21563021#searchVariation=MLA21563021&position=16&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,4.040,OPEN25HS ,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1377034711,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Chocolate Georgalos Sin Azúcar 30gr Pack X 12un - Cioccolato,https://www.mercadolibre.com.ar/chocolate-georgalos-sin-azucar-30gr-pack-x-12un-cioccolato/p/MLA22234000#searchVariation=MLA22234000&position=22&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,16.385,MEJORPRECIO.COM.AR,Nuevo  |  +50 vendidos,(3 disponibles),Nuevo  |  +50 vendidos,No disponible,#1370048324,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Chocolates,nan
Caramelos Billiken Yogur Paquete De 600 Grs,https://www.mercadolibre.com.ar/caramelos-billiken-yogur-paquete-de-600-grs/p/MLA19974690#searchVariation=MLA19974690&position=27&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,3.090,SWEET MARKET,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1517201524,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Bebida Yogurt 500ml,https://www.mercadolibre.com.ar/bebida-yogurt-500ml/p/MLA29529040#searchVariation=MLA29529040&position=11&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,3.375,ASIA ORIENTAL,Nuevo  |  1 vendido,(4 disponibles),Nuevo  |  1 vendido,No disponible,#1401628755,2024-04-08 15:22:12,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Yogurtera Yelmo Yg-1700 1 Litro ,https://www.mercadolibre.com.ar/yogurtera-yelmo-yg-1700-1-litro/p/MLA17840710#searchVariation=MLA17840710&position=17&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,31.499,MUNDOJW ,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1395170261,2024-04-08 15:22:12,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Yogurteras
Yogurt Griego Natural Sin Azúcar Pack 2 Und - 910ml C/u,https://articulo.mercadolibre.com.ar/MLA-1413143391-yogurt-griego-natural-sin-azucar-pack-2-und-910ml-cu-_JM#position=28&search_layout=stack&type=item&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,13.300,PANEALEJANDRA,Nuevo  |  +5 vendidos,(+5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1413143391,2024-04-08 15:22:12,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
"Yogurtera Smart-Tek YM750 Digital 7 Recip Vidrio 1,2 Litros Color Plateado 220V",https://www.mercadolibre.com.ar/yogurtera-smart-tek-ym750-digital-7-recip-vidrio-12-litros-color-plateado-220v/p/MLA26925122#searchVariation=MLA26925122&position=26&search_layout=stack&type=product&tracking_id=c16957f1-c7b7-4220-b85d-83a75887601f,65.410,Smart-Tek,Nuevo  |  +5mil vendidos,(5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1505288490,2024-04-08 15:22:12,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Yogurteras
Iniciador Fermento Probioticos Para Yogurt Yogur Now Pack X2,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=PtMYyoQy0EVPvZkgwePk8aKCV6sSqGsE3Esc2B2srk5LWf2zu0f4cKB6fyokYC%2BCsAQNpwtwOmWwm1hmbkMf6QLxWQf4Rl37CA1cs84UQFgsljLE0L6Otz1XP0nSBjeTg6eQaBC16gIQF4Vgj81snU2SHpPgNv%2FKUk0HCtjtbebIJp2MCTUVcXCxViEjR5Y2JPlQXG2tvFRG%2FOILrrczhfnvxdbuVOVLmcGSLKR6TZ8kujDHRqO9EnSqLJVdcmdJgads17aHVbtfFmtw5zdNmlhdimHIB7tfKTEKvpQF0ni98XKLs7csFvtsmR%2Be3lf7G7mRTVrBNRCd5g3WhV%2F7vPxymFnZNTF8sU70oTZYV1ahBNBIOqM3nxflgO5dIZixs%2F7SJgS9pj2r1TAzmDMRHuMRrSrdHbrIWPVO5Pugcc13FqcJHLvLxypVtUO6jEgXg5XDYmc1KlvVJwzNqQsE5j2wEyu%2FxH%2FkggF6kXGCyYEcGBPGps5jLT3TSk03Phzte3rSa69Bxl6Wiwbi6yRYVggpUhjWaTxbpImiGGSeT7Hf1LkvLW%2BTOylRYNucrDLs1LFQhfkOkODidgWtNdepGGUitYsCB7W8tRIhjMcTW5v4LOzilL1tovHHlHR5zj5mlTf5OzIszkXLoEUsLfSOvYWU133Vgzqw%2BCPBM89WIQRbVncDqDQdGqRv%2B5oB8qp3mll4fQWG6BdxVGDbjOPuh740ljWIg%2FA%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,5.900,TUTIENDASUSTENTABLE,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1570104478,2024-04-08 15:22:12,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,nan,nan
Caramelos Billiken Masticables Pack X 18u *gs*,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=EXNAJtOK0DzO%2F0DRNM65wl3gUfk3fzzQoQs7qxH8J7ultGq%2BS%2B9axAkIXASg3z4ikDgXfRx2i6UCV2LFbjLY3N%2FQIgzewTu2TTGl4UWvgtF7XDczW%2BJVmClrevfVRONbkxqfFONOG5gAd2hd%2Frai2sOaBRbVSnThcrzXFk43YJSfth7oj8DTzK3vbej4d5V2Zmd%2FCDdeSx4ZsSMQFccruJ3P02vdZpSMS1ZDTKoQONBNztO7AIWT0CxACmZZZR0WmZn3YxoupBDbYNPTbzfbTyXbiw9SHuybyJ%2BCDLiIWydhCQCObx1Z0u%2Fd5sNY5lHW9rmvZTSOrYl8OR%2BdBOGx6GdNvFI5BZIzFblrQ8EZQ%2BqoajvwQxTzdQXqi4SKeprqI9akOwkLNcwj6VBV4GCzVMzIH1V0QfYJX%2BmJ%2FZLu4aDA%2FvYHraIsKP9JLT5rSl8dkWw6J5nlnrhUpVIdRvowZxy%2FxY3P9sW%2BLm6hGUms1ZU3dBgZ6VV4VmUoAVVQpqUnpqwRBZNZljH3uBLj8zUw%2FrUP%2F0bWpXsqgikTPYHgePZLGg999%2FiWyiNFR9%2FWFFy%2F4cAcd9M4brVBwnXD9zHIGYyfL0IuZhKH7ELXpVesLAELfeoVxeJbAy7NL2BdmwFGESnSGxOOti5sOL%2Br1GRc5ANDewc4byi%2F5yxGsPF4pohI8qpe7w8oomj83CK6YmfYxQGmn1a4L7VZKZN%2FEXgTG5LYOWfEhRfzz0%2BQbKuRepKgSJHeqVuiuCdNpVHS3R3b58v%2BMXM6N1hk4Tm8Mo1Ic6UPEtvWqZM%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,3.905,GOLOSINAS SUR,Nuevo  |  +25 vendidos,(+20 disponibles),Nuevo  |  +25 vendidos,No disponible,#930575538,2024-04-08 15:22:12,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
