Titulo,Enlace,Precios
"Gaseosa Coca-cola Sabor Original 2,25 Lt",https://articulo.mercadolibre.com.ar/MLA-1137422116-gaseosa-coca-cola-sabor-original-225-lt-_JM#position=12&search_layout=stack&type=item&tracking_id=9bbb0262-dc32-4b01-b0b0-39e6ff5f7ff3,1.683
"Gaseosa Coca-cola Sabor Original 1,5 Lt",https://articulo.mercadolibre.com.ar/MLA-1144240255-gaseosa-coca-cola-sabor-original-15-lt-_JM#position=13&search_layout=stack&type=item&tracking_id=9bbb0262-dc32-4b01-b0b0-39e6ff5f7ff3,2.007
"Gaseosa Coca-cola Sin Azúcares 2,25 Lt",https://articulo.mercadolibre.com.ar/MLA-1137450091-gaseosa-coca-cola-sin-azucares-225-lt-_JM#position=14&search_layout=stack&type=item&tracking_id=9bbb0262-dc32-4b01-b0b0-39e6ff5f7ff3,1.807
"Gaseosa Coca Cola Sin Azucar 2,25 Lts Pack X8 Oferta",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=7wxyLQ7KMfiC7XTZyF9arEiZJVCIG7heFUdfPnxmhXZ0uXNY0LxYGEwR6bCqaxKKd3hukQ1%2FoGcIZBAHoKRE5B8TCZ%2B2sdNJ%2BlpU7fosyqhEE70FGAS29TdqR4PsQiWytubUY%2B%2B9594mohH%2FMBbKyNO1K3eJSzS%2Fqf2ZNVHFkpv1nqR%2FWbX33RDcVoFRe7%2FKEfZOmDCRb%2BoOQ8AuEUM3ngLkPw6fQSSOT6bNcKh04UW%2FeoKUhkEqMu7wJuN3ScQ1jtEG%2FwFpvPUq7LeHvG3XXm1i4JSAtKV20QQX7V1%2FP5j1TZgji9WX9HW21AoCx3tDO5fCT0fLF58VneglmfSwk5Et4xeH4Jjyj3LHD7o8TgWZAlPRURb5qkqCyPXZ7pU1O1dXFkf%2FT2S%2BvWTJUrYfuppAHELYiPpFHuZhjg6XbjFoWr4HPxFA4UdL%2FFiSWEdz%2BdqOqOv3Uvfr5GX5hnYGNGBjJ6Z3XPUQl%2F9KoFrx2zmDYKR95BHIcj06GEh76vSokdK2R7Uf0B3L8pVPx%2BGZlTUQBjDgN8bTuwttjNWK%2FBup9BorkUEuP2DmWXuLsXtMT%2BZXV3ig0KgMKOHSrBCri0GLCdWpEwG6vIny2bL5Aus2hQXWGpTKNjOQ2eWb4HdSQ4jbnjNa2fZ4atJdHGxymzLKlfu1PIGSvTJlgTdgVZkvFadmhJIaAM%2FT63icn%2BlDgHkcom4kPKlZXy8LHw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,16.380
"Gaseosa Coca Cola Zero Sin Azucar 2,25 Lts Pack X8 Oferta",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=r6ZZc3FjoLS%2BvA7n4yFpWktMOKgiqYCBiOE83asFcbmNoPNmtIGH3L7ehk26WLLYoWTfDYif6hwZ5qSUJMSpR4Bf3yGT0%2FzMUDOHKZczlvUvmYzZh8u5QGQL%2B2lDR8wgL%2Bj7xQ2d1Q4BSRrtC2GKbLohUAbXxKfwrLDYnQlffqNJXl7yLLGzZ4IM8%2F2CidVRNi2vPEwPE9SPSo0szDichMwuI2ZVd%2Bw2A%2FBeyGxxl%2FzKxZhOIKclRoU%2FCWAqKWSQn56P277PotSBVFsy1%2F3u30T4fMN85%2BTQTQzBOZGOEc6E%2BK5NhFzCLhSk4BbiNYgdZ6CldU4aotZBJ%2FtA79Dx1P4bcoKnEiKHtq83wtDxVhfJWg9xNJyoIY6ssQmbi%2BbHHdmHVIXTWqjSzPjQbpYE3zBn%2Bs5o%2FPHS0%2F%2BxPYl%2BaWyjC3pFsDJgWiwMr2GWU9hVaPuSbsartaRbMnlhBCqOYq%2BOl7VkDmgPAYirlPMwECa56KlER1urgMWSDIcIWAob1FLGkQGLuEoyYTDdoH8NixlQnmHwqaCsZ3MrI2%2Fpgvtoh5RJWA8TzClLooG6Ju2eDmCglGHIzHeZ8iUUM1cWnMaCCWkEXvfzuYrxNbSivOpuSeTGDU1i%2FV4E2%2F136dQLRZX5P%2BbfR2J4lIJZ00klPcdRsPWxe9noRQ4xH%2FcqwikF9VIxlcwQzY6mko%2BBmg7zV1RGVWhygkowCCS%2FkxuPqeY%2F&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,16.380
Gaseosa Coca-cola Sabor Original 500 Ml,https://www.mercadolibre.com.ar/gaseosa-coca-cola-sabor-original-500-ml/p/MLA21614194?pdp_filters=category:MLA178700#searchVariation=MLA21614194&position=7&search_layout=stack&type=product&tracking_id=9bbb0262-dc32-4b01-b0b0-39e6ff5f7ff3,880
"Coca Cola Botella 2,25l Original Pack X8 Zetta Bebidas",https://articulo.mercadolibre.com.ar/MLA-905340768-coca-cola-botella-225l-original-pack-x8-zetta-bebidas-_JM#position=15&search_layout=stack&type=item&tracking_id=9bbb0262-dc32-4b01-b0b0-39e6ff5f7ff3,13.568
Coca Cola 2.25ml Gaseosa Original Menos Azúcares Pack X8,https://articulo.mercadolibre.com.ar/MLA-904840533-coca-cola-225ml-gaseosa-original-menos-azucares-pack-x8-_JM#position=16&search_layout=stack&type=item&tracking_id=9bbb0262-dc32-4b01-b0b0-39e6ff5f7ff3,16.380
"Gaseosa Coca Cola Zero Sin Azucar 2,25 Lts X6 Botella Oferta",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=txQJbryYFAZ5%2B%2BcF3AElxnTf1JOc7kG7W9%2FT%2F%2FP7XZW4E41MSUqVAT9hS4h2v9r%2BGKlwxKZlsdIk5znbS3Jn3PVjbFPWx%2F4Pujll4nWKW7Vxbb2m5Y6LREmIGBXLirYrMQhSkttwXfNraG5JbqBD1zh9Qpd3PO9wmcN78pht5PYkjY9WvNAEY7GWEl0vshurS%2BwsU9Bz4kUuVacZy%2FQ3o53%2BlHL0kUARQw%2BcbCocyNOmhxyzVQSb6alTohzNQRfXZb0lZudBHzoqalEnyPusC6ZcFGwp68QbyB6XVuKyx0zOKKLzgUbCVoj0J9dVCclzzisP4ntsxgW95yEQWTLFsQ%2FH9nZ1%2Fne6RiRabULNlBe7Vgo7HXXwxXXYmYxKawU7NF3is92Ic3HrKRphorFMAHolOafCD2vF5bIozO6SkKkb98BAXNiz8L1Qef8ROzanPAeRWmjFDLBJESpO7XQ8OJHwUE9eGQH6SwmblHju2l8Cu0ddWaJLEfKk0Fk6lrp1WVg0ES33w6K10yYHZT4L3DgOrihmDRm5kxlqrzeyUarNZjhVm5wkg%2B7z86bFjtgrcEFLg8nCkfzT1xk%2BFCLKg5ZujfOkH69mqHpNqBUa13QqgD9DI4DuMKFjzLkMGa2vBevuwTUpiwXg%2Fq5GKAMhE7iNrv7t%2BxCouBbaJelpQP8ILDZLXgct%2FPnDRcHOFYth4Kh41rFi9Lh%2BL2ei5dLn7irQWRVp&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,13.800
"Gaseosa Coca Cola Zero Sin Azucar 2,25 Lts Botella Oferta",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=dqI%2FH3MfxOTXJsJqS%2FOEklt20sSXLes7FABBMJXCpyBrY%2FU6bB3bGZV4i1Z3O03OeNNW3wOhQBHTh5qgUA%2BPXvqaIsMxX8WpxiZjwwRbUepGMfGueZOxZpC4CUiNWgsZjUsjudFWFkHiJHzVMQMLhh%2Fgz0vCs3VWiPQyEMykw%2FeUx14MD9%2F%2BrQ3z%2FLgftep4baW7cZCdcvApFGNshe16aqnrHfZ5U41z6xku0rrjKg0wADZru4wclpqGy%2FSk6XiwDT1IgcgwfrH0EdbZYVrO%2BK%2BORt%2BXIUu5hKtRgXnUIcMGc0jiZ1aHQ0%2BQrA1xE65JKXtBYc9hwlq7rF%2FmkdWsVaKo8dpm8jkQbJrlH8mv7UG6gKK0qcZov1tetaLFHJYLHSwmG6nr%2FxFG9OzEPSt4ux7TVeucCZzRTXcajWGdNaB%2F26rDAimlouBH66kpa1YXK05BCwCJky1hyYWJbhVMTtzORDa6BdmcRNwgPG39Kx66EWR9aSlRlTQCrrsUMO8FMbA%2Fqqzoc05iH0j4SPAHm5L8BFTf0fMC4LBvcfbtjzO4IMbWNzVqXRQVuTZAGU4ewe63Eb3ojrJz7FdDaQ5crRUU4LylB10QGMDu7zfj5cSzBnQDGkiAHOKMRSHvvTq8zRPtMuU3wCzjVE3Uz0xGznC8vrIaqt5VPrzi19F4MpN4WwkTnEz26qmlas9UeRaJOozJO74p5ZTS%2FtI8CKQhHOF3POBT&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,2.800
