Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia
Fideos Tirabuzón Lucchetti 500g,https://www.mercadolibre.com.ar/fideos-tirabuzon-lucchetti-500g/p/MLA20719337?pdp_filters=category:MLA1423#searchVariation=MLA20719337&position=6&search_layout=stack&type=product&tracking_id=4e57eb1f-b173-4ebe-8f4f-40258108437e,989,TAP GROCERY,Nuevo  |  +10mil vendidos,(1691 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1286443752,2024-01-25 14:40:39,No disponible
Fideos penne rigate Matarazzo sin tacc libre de gluten 500g,https://www.mercadolibre.com.ar/fideos-penne-rigate-matarazzo-sin-tacc-libre-de-gluten-500g/p/MLA20882391?pdp_filters=category:MLA1423#searchVariation=MLA20882391&position=2&search_layout=stack&type=product&tracking_id=4e57eb1f-b173-4ebe-8f4f-40258108437e,2.599,TAP GROCERY,Nuevo  |  +5mil vendidos,(370 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1292498434,2024-01-25 14:40:39,No disponible
Fideos Spaghetti Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-matarazzo-500g/p/MLA19943735?pdp_filters=category:MLA1423#searchVariation=MLA19943735&position=4&search_layout=stack&type=product&tracking_id=4e57eb1f-b173-4ebe-8f4f-40258108437e,1.277,ECOMODICO,Nuevo  |  +10mil vendidos,(41 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1580995776,2024-01-25 14:40:39,No disponible
Fideos  Most.rayad. 500 Gr Sta.isabel,https://www.mercadolibre.com.ar/fideos-mostrayad-500-gr-staisabel/p/MLA21164899?pdp_filters=category:MLA1423#searchVariation=MLA21164899&position=3&search_layout=stack&type=product&tracking_id=4e57eb1f-b173-4ebe-8f4f-40258108437e,880,ARTICULOS MOHE,Nuevo  |  +500 vendidos,(169 disponibles),Nuevo  |  +500 vendidos,No disponible,#1395499445,2024-01-25 14:40:39,No disponible
Fideos Tirabuzon Matarazzo X500 Gr,https://www.mercadolibre.com.ar/fideos-tirabuzon-matarazzo-x500-gr/p/MLA19943667?pdp_filters=category:MLA1423#searchVariation=MLA19943667&position=1&search_layout=stack&type=product&tracking_id=4e57eb1f-b173-4ebe-8f4f-40258108437e,1.382,TAP GROCERY,Nuevo  |  +10mil vendidos,(424 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280821337,2024-01-25 14:40:39,No disponible
Giacomo Capelettini Tridicci Pasta Semola Fortificada 500 Gr,https://www.mercadolibre.com.ar/giacomo-capelettini-tridicci-pasta-semola-fortificada-500-gr/p/MLA19957818?pdp_filters=category:MLA1423#searchVariation=MLA19957818&position=9&search_layout=stack&type=product&tracking_id=4e57eb1f-b173-4ebe-8f4f-40258108437e,2.439,ECOMODICO,Nuevo  |  +1000 vendidos,(18 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1408584208,2024-01-25 14:40:39,No disponible
Fideos Tirabuzón 3 Vegetales Matarazzo X500 Gr,https://www.mercadolibre.com.ar/fideos-tirabuzon-3-vegetales-matarazzo-x500-gr/p/MLA19957824?pdp_filters=category:MLA1423#searchVariation=MLA19957824&position=12&search_layout=stack&type=product&tracking_id=4e57eb1f-b173-4ebe-8f4f-40258108437e,1.372,ECOMODICO,Nuevo  |  +10mil vendidos,(37 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1397951627,2024-01-25 14:40:39,No disponible
Fideos n°4 Spaghetti Delverde 500g,https://www.mercadolibre.com.ar/fideos-n4-spaghetti-delverde-500g/p/MLA19964514?pdp_filters=category:MLA1423#searchVariation=MLA19964514&position=13&search_layout=stack&type=product&tracking_id=4e57eb1f-b173-4ebe-8f4f-40258108437e,3.749,TAP GROCERY,Nuevo  |  +1000 vendidos,(29 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280866688,2024-01-25 14:40:39,No disponible
Fideos Giacomo Capelettini Verdura 500 Grs,https://www.mercadolibre.com.ar/fideos-giacomo-capelettini-verdura-500-grs/p/MLA19977015?pdp_filters=category:MLA1423#searchVariation=MLA19977015&position=19&search_layout=stack&type=product&tracking_id=4e57eb1f-b173-4ebe-8f4f-40258108437e,2.439,ECOMODICO,Nuevo  |  +5mil vendidos,(113 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1432346870,2024-01-25 14:40:39,No disponible
Fideos Tirabuzon Verizzia 500gr,https://articulo.mercadolibre.com.ar/MLA-1284845345-fideos-tirabuzon-verizzia-500gr-_JM#position=46&search_layout=stack&type=item&tracking_id=4e57eb1f-b173-4ebe-8f4f-40258108437e,879,GRUPO ELNENE,Nuevo  |  +10mil vendidos,(89 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1284845345,2024-01-25 14:40:39,No disponible
