Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Fideos penne rigate Matarazzo sin tacc libre de gluten 500g,https://www.mercadolibre.com.ar/fideos-penne-rigate-matarazzo-sin-tacc-libre-de-gluten-500g/p/MLA20882391?pdp_filters=category:MLA1423#searchVariation=MLA20882391&position=9&search_layout=stack&type=product&tracking_id=f73f5221-8824-4a86-9da5-61660986e41f,2.695,ECOMODICO,Nuevo  |  +10mil vendidos,(372 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1581448696,2024-03-13 18:15:10,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Spaghetti libre de gluten sin tacc Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-libre-de-gluten-sin-tacc-matarazzo-500g/p/MLA20949980?pdp_filters=category:MLA1423#searchVariation=MLA20949980&position=13&search_layout=stack&type=product&tracking_id=f73f5221-8824-4a86-9da5-61660986e41f,2.915,TAP GROCERY,Nuevo  |  +10mil vendidos,(181 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1305269963,2024-03-13 18:15:10,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Spaghetti Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-matarazzo-500g/p/MLA19943735?pdp_filters=category:MLA1423#searchVariation=MLA19943735&position=5&search_layout=stack&type=product&tracking_id=f73f5221-8824-4a86-9da5-61660986e41f,1.359,ECOMODICO,Nuevo  |  +10mil vendidos,(371 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1580995776,2024-03-13 18:15:10,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos  Most.rayad. 500 Gr Sta.isabel,https://www.mercadolibre.com.ar/fideos-mostrayad-500-gr-staisabel/p/MLA21164899?pdp_filters=category:MLA1423#searchVariation=MLA21164899&position=3&search_layout=stack&type=product&tracking_id=f73f5221-8824-4a86-9da5-61660986e41f,933,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(144 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1395499445,2024-03-13 18:15:10,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tallarín Don Vicente 500g,https://www.mercadolibre.com.ar/fideos-tallarin-don-vicente-500g/p/MLA19964512?pdp_filters=category:MLA1423#searchVariation=MLA19964512&position=7&search_layout=stack&type=product&tracking_id=f73f5221-8824-4a86-9da5-61660986e41f,1.906,TAP GROCERY,Nuevo  |  +10mil vendidos,(226 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1280840736,2024-03-13 18:15:10,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tirabuzon Matarazzo X500 Gr,https://www.mercadolibre.com.ar/fideos-tirabuzon-matarazzo-x500-gr/p/MLA19943667?pdp_filters=category:MLA1423#searchVariation=MLA19943667&position=11&search_layout=stack&type=product&tracking_id=f73f5221-8824-4a86-9da5-61660986e41f,1.314,TAP GROCERY,Nuevo  |  +10mil vendidos,(1065 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280821337,2024-03-13 18:15:10,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tallarín Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-tallarin-matarazzo-500g/p/MLA19937131?pdp_filters=category:MLA1423#searchVariation=MLA19937131&position=1&search_layout=stack&type=product&tracking_id=f73f5221-8824-4a86-9da5-61660986e41f,1.375,Ecomodico,Nuevo  |  +10mil vendidos,(579 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1410407141,2024-03-13 18:15:10,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Giacomo Capelettini Verdura 500 Grs,https://www.mercadolibre.com.ar/fideos-giacomo-capelettini-verdura-500-grs/p/MLA19977015?pdp_filters=category:MLA1423#searchVariation=MLA19977015&position=4&search_layout=stack&type=product&tracking_id=f73f5221-8824-4a86-9da5-61660986e41f,3.360,XPALLET.COM.AR,Nuevo  |  +5mil vendidos,(2 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1396329269,2024-03-13 18:15:10,Alimentos y Bebidas,Almacén,Pastas,nan
Giacomo Capelettini Carne Pasta Semola Fortificada X 500 Gr,https://www.mercadolibre.com.ar/giacomo-capelettini-carne-pasta-semola-fortificada-x-500-gr/p/MLA21851915?pdp_filters=category:MLA1423#searchVariation=MLA21851915&position=8&search_layout=stack&type=product&tracking_id=f73f5221-8824-4a86-9da5-61660986e41f,3.185,Mayorista Masivos,Nuevo  |  +1000 vendidos,(14 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1377097452,2024-03-13 18:15:10,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Terrabusi Spaghetti N°3 500g,https://www.mercadolibre.com.ar/fideos-terrabusi-spaghetti-n3-500g/p/MLA28544406?pdp_filters=category:MLA1423#searchVariation=MLA28544406&position=12&search_layout=stack&type=product&tracking_id=f73f5221-8824-4a86-9da5-61660986e41f,1.027,ECOMODICO,Nuevo  |  +1000 vendidos,(126 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1584459888,2024-03-13 18:15:10,Alimentos y Bebidas,Almacén,Pastas,nan
