Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Galletita Don Satur Bizcochos  dulce 200 g,https://www.mercadolibre.com.ar/galletita-don-satur-bizcochos-dulce-200g/p/MLA16176019?pdp_filters=category:MLA1423#searchVariation=MLA16176019&position=2&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,667,MEJORPRECIO.COM.AR,Nuevo  |  +50mil vendidos,(236 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1141296773,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Pepas Trio Membrillo Mermelada Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-pepas-trio-membrillo-mermelada-galletas-dulces/p/MLA19734071?pdp_filters=category:MLA1423#searchVariation=MLA19734071&position=3&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,1.194,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(821 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1218949523,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Frutigran Avena Y Pasas Galletas Granix,https://www.mercadolibre.com.ar/galletitas-frutigran-avena-y-pasas-galletas-granix/p/MLA19531303?pdp_filters=category:MLA1423#searchVariation=MLA19531303&position=4&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,1.258,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(100 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1156529409,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas Redondas Dulces De Arroz Integral Sin Tacc,https://www.mercadolibre.com.ar/galletas-redondas-dulces-de-arroz-integral-sin-tacc/p/MLA28978835?pdp_filters=category:MLA1423#searchVariation=MLA28978835&position=5&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,770,PURAVIDA STORE,Nuevo  |  +1000 vendidos,(72 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1600375042,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Caja Milka Oreo Bombon pack x 13 unidades - 247g,https://www.mercadolibre.com.ar/caja-milka-oreo-bombon-pack-x-13-unidades-247g/p/MLA20028578?pdp_filters=category:MLA1423#searchVariation=MLA20028578&position=6&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,3.400,OPEN25HS ML,Nuevo  |  +1000 vendidos,(1137 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1368703767,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Chocolates,nan
Galletas Redondas C/sal De Arroz Integral Sin Tacc X1u 100g,https://www.mercadolibre.com.ar/galletas-redondas-csal-de-arroz-integral-sin-tacc-x1u-100g/p/MLA28863428?pdp_filters=category:MLA1423#searchVariation=MLA28863428&position=7&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,770,PURAVIDA STORE,Nuevo  |  +1000 vendidos,(151 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1600427732,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Macrobioticas Galletas De Arroz Integral Con Sal Sesamo 102g,https://www.mercadolibre.com.ar/macrobioticas-galletas-de-arroz-integral-con-sal-sesamo-102g/p/MLA20941264?pdp_filters=category:MLA1423#searchVariation=MLA20941264&position=8&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,1.332,CAPSULANDIA,Nuevo  |  +1000 vendidos,(141 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1297548558,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas De La Fortuna A Granel X 250 U,https://www.mercadolibre.com.ar/galletas-de-la-fortuna-a-granel-x-250-u/p/MLA22939864?pdp_filters=category:MLA1423#searchVariation=MLA22939864&position=9&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,17.999,LEPOTMARKET,Nuevo  |  +1000 vendidos,(6 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1378254855,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Madalena Don Satur de vainilla 200 g,https://www.mercadolibre.com.ar/madalena-don-satur-de-vainilla-200g/p/MLA16176119?pdp_filters=category:MLA1423#searchVariation=MLA16176119&position=10&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,1.151,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(28 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1131389165,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas de arroz Molinos Del Bosque Clasica sin sal - sin TACC x 150g,https://www.mercadolibre.com.ar/galletas-de-arroz-molinos-del-bosque-clasica-sin-sal-sin-tacc-x-150g/p/MLA16176105?pdp_filters=category:MLA1423#searchVariation=MLA16176105&position=11&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,1.299,CAPSULANDIA,Nuevo  |  +1000 vendidos,(32 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1144101435,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
3 Cajas Galletas De La Fortuna X 12 Unidades C/u,https://www.mercadolibre.com.ar/3-cajas-galletas-de-la-fortuna-x-12-unidades-cu/p/MLA21830687?pdp_filters=category:MLA1423#searchVariation=MLA21830687&position=12&search_layout=stack&type=product&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,3.140,HACHI_ARG,Nuevo  |  +5mil vendidos,(3 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1363214810,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Mauri Surtido Fauna Galletas Dulces- Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1137041029-galletitas-mauri-surtido-fauna-galletas-dulces-mejor-precio-_JM#position=47&search_layout=stack&type=item&tracking_id=74759dee-0e31-4fa8-b872-e5f65eee3a52,1.195,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(148 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1137041029,2024-01-26 12:28:22,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
