Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Galletita Don Satur Bizcochos  dulce 200 g,https://www.mercadolibre.com.ar/galletita-don-satur-bizcochos-dulce-200g/p/MLA16176019?pdp_filters=category:MLA1423#searchVariation=MLA16176019&position=3&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,717,MEJORPRECIO.COM.AR,Nuevo  |  +50mil vendidos,(1257 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1141296773,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Fibra Diet Nature Sin Azucar Gullon X 170 Gr,https://www.mercadolibre.com.ar/galletitas-fibra-diet-nature-sin-azucar-gullon-x-170-gr/p/MLA21697480?pdp_filters=category:MLA1423#searchVariation=MLA21697480&position=5&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,2.950,POSITANO DISTRIBUIDORA,Nuevo  |  +5mil vendidos,(35 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1394299565,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Melitas Clasicas Con Miel Mediana,https://www.mercadolibre.com.ar/galletitas-melitas-clasicas-con-miel-mediana/p/MLA22835242?pdp_filters=category:MLA1423#searchVariation=MLA22835242&position=13&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,675,TAP GROCERY,Nuevo  |  +5mil vendidos,(25 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1387547973,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Pepas Trio Membrillo Mermelada Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-pepas-trio-membrillo-mermelada-galletas-dulces/p/MLA19734071?pdp_filters=category:MLA1423#searchVariation=MLA19734071&position=11&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,1.305,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(1133 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1218949523,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Toddy Chips Chocolate Galletas - Mejor Precio,https://www.mercadolibre.com.ar/galletitas-toddy-chips-chocolate-galletas-mejor-precio/p/MLA19860519?pdp_filters=category:MLA1423#searchVariation=MLA19860519&position=15&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,1.600,OPEN25HS!,Nuevo  |  +1000 vendidos,(419 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1405856275,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Traviata Pack Familiar Tripack Chico,https://www.mercadolibre.com.ar/galletitas-traviata-pack-familiar-tripack-chico/p/MLA22938396?pdp_filters=category:MLA1423#searchVariation=MLA22938396&position=7&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,1.293,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(117 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1446782052,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Macrobioticas Galletas De Arroz Integral Con Sal Sesamo 102g,https://www.mercadolibre.com.ar/macrobioticas-galletas-de-arroz-integral-con-sal-sesamo-102g/p/MLA20941264?pdp_filters=category:MLA1423#searchVariation=MLA20941264&position=9&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,1.190,CAPSULANDIA,Nuevo  |  +1000 vendidos,(96 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1297548558,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
3 Cajas Galletas De La Fortuna X 12 Unidades C/u,https://www.mercadolibre.com.ar/3-cajas-galletas-de-la-fortuna-x-12-unidades-cu/p/MLA21830687?pdp_filters=category:MLA1423#searchVariation=MLA21830687&position=1&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,3.640,HACHI_ARG,Nuevo  |  +5mil vendidos,(10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1363214810,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas Frutigran Avena Y Pasas Galletas Granix,https://www.mercadolibre.com.ar/galletitas-frutigran-avena-y-pasas-galletas-granix/p/MLA19531303?pdp_filters=category:MLA1423#searchVariation=MLA19531303&position=4&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,1.351,MEJORPRECIO.COM.AR,Nuevo  |  +10mil vendidos,(67 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1156529409,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Caja Milka Oreo Bombon pack x 13 unidades - 247g,https://www.mercadolibre.com.ar/caja-milka-oreo-bombon-pack-x-13-unidades-247g/p/MLA20028578?pdp_filters=category:MLA1423#searchVariation=MLA20028578&position=6&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,2.990,RISTRETTO MARKET,Nuevo  |  +5mil vendidos,(115 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1676562738,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Chocolates,nan
Galletita Cachafaz Integrales  harina integral y algarroba 225 g,https://www.mercadolibre.com.ar/galletita-cachafaz-integrales-harina-integral-y-algarroba-225g/p/MLA16175889?pdp_filters=category:MLA1423#searchVariation=MLA16175889&position=8&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,1.886,MERCADOGOURMET.ONLINE,Nuevo  |  +10mil vendidos,(91 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1144778589,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletitas De Frutilla Rellenas Smams 105gr X1u | Sin Tacc,https://www.mercadolibre.com.ar/galletitas-de-frutilla-rellenas-smams-105gr-x1u-sin-tacc/p/MLA19733794?pdp_filters=category:MLA1423#searchVariation=MLA19733794&position=10&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,1.204,PURAVIDA STORE,Nuevo  |  +1000 vendidos,(80 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1218949239,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Galletas de arroz Molinos Del Bosque Clasica sin sal - sin TACC x 150g,https://www.mercadolibre.com.ar/galletas-de-arroz-molinos-del-bosque-clasica-sin-sal-sin-tacc-x-150g/p/MLA16176105?pdp_filters=category:MLA1423#searchVariation=MLA16176105&position=2&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,1.479,CAPSULANDIA,Nuevo  |  +1000 vendidos,(35 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1144101435,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Pimienta Limon Badia X 184.3 Gr,https://www.mercadolibre.com.ar/pimienta-limon-badia-x-1843-gr/p/MLA21362422?pdp_filters=category:MLA1423#searchVariation=MLA21362422&position=18&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,10.780,Uriburu Frutos Secos,Nuevo  |  +1000 vendidos,(13 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1350449995,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Salsas y Condimentos,Especias,nan
Galletitas Celosas Tradicionales Semibañadas Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-celosas-tradicionales-semibanadas-galletas-dulces/p/MLA21237455?pdp_filters=category:MLA1423#searchVariation=MLA21237455&position=16&search_layout=stack&type=product&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,1.678,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(11 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1328791861,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Galletitas,nan,nan
Coco Rallado Fino Premium Reposteria Torta Galletas Mate 1kg,https://articulo.mercadolibre.com.ar/MLA-1339771298-coco-rallado-fino-premium-reposteria-torta-galletas-mate-1kg-_JM#position=42&search_layout=stack&type=item&tracking_id=49d2afc1-7076-4603-ba0d-742b5633317a,6.706,ELNUEVOEMPORIOSA,Nuevo  |  +500 vendidos,(92 disponibles),Nuevo  |  +500 vendidos,No disponible,#1339771298,2024-02-28 11:23:33,Alimentos y Bebidas,Almacén,Repostería y Pastelería,Repostería,Coco Rallado
