Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Leche Descremada Larga Vida X 1 L Tregar ,https://www.mercadolibre.com.ar/leche-descremada-larga-vida-x-1-l-tregar/p/MLA19939007?pdp_filters=category:MLA417098#searchVariation=MLA19939007&position=1&search_layout=stack&type=product&tracking_id=3346efae-6187-4dc9-9bb3-886737bd1ee8,1.048,TAP GROCERY,Nuevo  |  +50mil vendidos,(8013 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1272805664,2024-02-28 11:03:56,Alimentos y Bebidas,Frescos,Lácteos,Leches y Cremas,Leche
Leche Descremada Larga Vida Tregar X 12 Unidades,https://www.mercadolibre.com.ar/leche-descremada-larga-vida-tregar-x-12-unidades/p/MLA27864781?pdp_filters=category:MLA417098#searchVariation=MLA27864781&position=2&search_layout=stack&type=product&tracking_id=3346efae-6187-4dc9-9bb3-886737bd1ee8,12.653,TAP GROCERY,Nuevo  |  +5mil vendidos,(154 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1550210076,2024-02-28 11:03:56,Alimentos y Bebidas,Frescos,Lácteos,Leches y Cremas,Leche
Leche En Polvo Sobres Descremada Ilolay X 30u 5g Sin Tacc,https://www.mercadolibre.com.ar/leche-en-polvo-sobres-descremada-ilolay-x-30u-5g-sin-tacc/p/MLA24750643?pdp_filters=category:MLA417098#searchVariation=MLA24750643&position=3&search_layout=stack&type=product&tracking_id=3346efae-6187-4dc9-9bb3-886737bd1ee8,2.964,Ecomodico,Nuevo  |  +5mil vendidos,(56 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1495963960,2024-02-28 11:03:56,Alimentos y Bebidas,Bebidas,Leche,nan,nan
Leche Parcialmente Descremada Ilolay Larga Vida 1 Lt X 12 Un,https://articulo.mercadolibre.com.ar/MLA-1380323275-leche-parcialmente-descremada-ilolay-larga-vida-1-lt-x-12-un-_JM#position=15&search_layout=stack&type=item&tracking_id=3346efae-6187-4dc9-9bb3-886737bd1ee8,11.014,Ecomodico,Nuevo  |  +500 vendidos,(110 disponibles),Nuevo  |  +500 vendidos,No disponible,#1380323275,2024-02-28 11:03:56,Alimentos y Bebidas,Frescos,Lácteos,Leches y Cremas,Leche
Leche Descremada Larga Vida X 1 L Tregar X 2 Unidades,https://articulo.mercadolibre.com.ar/MLA-1398749337-leche-descremada-larga-vida-x-1-l-tregar-x-2-unidades-_JM#position=16&search_layout=stack&type=item&tracking_id=3346efae-6187-4dc9-9bb3-886737bd1ee8,2.054,TAP GROCERY,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1398749337,2024-02-28 11:03:56,Alimentos y Bebidas,Frescos,Lácteos,Leches y Cremas,Leche
Leche La Suipachense Descremada 1 Litro,https://www.mercadolibre.com.ar/leche-la-suipachense-descremada-1-litro/p/MLA29911624?pdp_filters=category:MLA417098#searchVariation=MLA29911624&position=6&search_layout=stack&type=product&tracking_id=3346efae-6187-4dc9-9bb3-886737bd1ee8,1.348,Mayorista Masivos,Nuevo  |  +500 vendidos,(43 disponibles),Nuevo  |  +500 vendidos,No disponible,#1404320075,2024-02-28 11:03:56,Alimentos y Bebidas,Frescos,Lácteos,Leches y Cremas,Leche
Leche La Serenisima Descremada Zero Lactosa 1l X 18u Botella,https://articulo.mercadolibre.com.ar/MLA-1387358841-leche-la-serenisima-descremada-zero-lactosa-1l-x-18u-botella-_JM#position=17&search_layout=stack&type=item&tracking_id=3346efae-6187-4dc9-9bb3-886737bd1ee8,41.000,JUMBALAY,Nuevo  |  +100 vendidos,(24 disponibles),Nuevo  |  +100 vendidos,No disponible,#1387358841,2024-02-28 11:03:56,Alimentos y Bebidas,Frescos,Lácteos,Leches y Cremas,Leche
Caja leche en polvo descremada en sobrecitos por 100 unidades,https://www.mercadolibre.com.ar/caja-leche-en-polvo-descremada-en-sobrecitos-por-100-unidades/p/MLA21268135?pdp_filters=category:MLA417098#searchVariation=MLA21268135&position=5&search_layout=stack&type=product&tracking_id=3346efae-6187-4dc9-9bb3-886737bd1ee8,15.000,LENTEI,Nuevo  |  +500 vendidos,(5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1390107977,2024-02-28 11:03:56,Alimentos y Bebidas,Frescos,Lácteos,Leches y Cremas,Leche
Leche De Cabra En Polvo Semidescremada La Primera 250g X6,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=QIhIcobDkQaJ%2Fx1QyR05MQZWpL%2BipjN9feufjROxuJugaysO1UuTl1tNyC8xwoLhcaWYkAcJSMUrodeDhXoF9V8Cjdf2vFoCOGfageEM%2FnfAS3KG1pq0SdtoaywzYY%2Fv84Pi0jzn0hzD%2FNwM8iofZxlv%2BMxj8Ae6AXuFUUbyhyJ05g6goXmEeaValq5ocYonmhgugjq69ybDPvbLdhaFpcfY%2B11BkPGiPjozBLuJ0XEcznb%2FZR6Wat1oSbewX0lpGkTPwmWuTK1sD0SRf6l4t2ewfC1Nh1OWXZRLzR1QJMkZ2VehWXoWSLTrp2rVWiIROKTpuXr%2FcnWaCqEMF9q4m1kjFgRzKK0pU%2BkCtKxfkel17owFnSEoMfLd%2BwAbj5cnC2cwdkqP3chK%2Fvxv6FQ4yddyq2RJa25ruKH5Wls4KHesTERmdBSGB7opE%2Ftk%2BllD4GmSF%2BII4E27XqPH2HVQNG65D%2Fs0tAgVPpI%2Fmymf0kR5KnYPtLMx9Ewl59VlRtMHRs6oDzJYjMk5Wvk8uX4v1QRh1lB6Z1jm2EOORP433CFpvqoPSjUEOEvJHEK%2FGqjUsJY2HWOiyVanTqqk2fm4GjUyWB9pMJQIwvd7jy2baqDpDyr8TxOo2CgBVxBhqY1U30%2FSRbspzuqc9dBIFLJibReZEWJedODzm6Xr5q2eqoVaP4YdyaAZXbJO5O1JJrcqkpc9jrYnRObbdj3DRwy%2B1BYJ&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,66.913,OLIVADONMATEO,Nuevo  |  +5 vendidos,(18 disponibles),Nuevo  |  +5 vendidos,No disponible,#1363210365,2024-02-28 11:03:56,Alimentos y Bebidas,Frescos,Lácteos,Leches y Cremas,Leche
Leche Veronica Descremada Larga Vida 12u X 1lt Mataderos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=CMq9VoxjJs36MkVPbdkbxTFBTSTtfgVe1sEpn3Qpn2wzBWd%2BMeHO8YZawZuCEUWkz4G48amrlrutExbQRgwRNSnth8lO%2BIu9UxT8eKZIzalh9dhR2AFxZ9HENS%2B3OY8ubMZIuVGiX6Gj7aN%2BwC1hmGNWrkhbZO3upBiv9T9wnHFEiNhOAc68oAJMzA4NBo7A%2FADSRUuz2xqDOB%2FdlFeVFEvy8xtD1WtR6%2FmYLkCxtX7yZTuL6Ko4y3205eVhGxHFkL0iFOMr4kueWvoYb%2B1LR1CE5pjDF9ZJPSL9pt%2FKdjTXsn5%2B4Xp4KLVgPfzIQcF0TX4FbdTqz89ixaFod9patdDg8nTWglM53ivIz6tAObwAQsrtV7ZKFosw6Jnh7Vht%2FNMwF1kz5gsWVJAf%2BgLDMf41Pv9pWH%2FEkQEfSHuTbUOeewzKGu%2Ba34ysPPMPlZNO7aP8yPhPvsD8bKy4vjLiuUNoo9odiCQa0HQgNdOXRLTvxluElxsVXlevSD1w1bk9DGyDM6INxXEOlKut7W%2FMtqKXUJePjsQGpOn4WHDUBmwd97SPsK5ZRlqeDE3lYmAC7qDLkU3r3JC74ux1KgBBI%2Fsf99RCPkzhZGMbWvc%2BksL5vnh7q9LF6oGnCRkZCjvo88k%2BsJo%2BsGLRwDM0n4zTRugGKQ2f5w5VroNSZGyGzeOuyqGpm4abfiO5usNokKISpUhhhwmW7BKiJJ8pWx8Vh5ZD&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,13.995,ROXYRO68,Nuevo  |  +500 vendidos,(8 disponibles),Nuevo  |  +500 vendidos,No disponible,#848372419,2024-02-28 11:03:56,Alimentos y Bebidas,Frescos,Lácteos,Leches y Cremas,Leche
