Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion
Pure De Tomate Marolio Tetra 200g,https://articulo.mercadolibre.com.ar/MLA-1402287307-pure-de-tomate-marolio-tetra-200g-_JM#position=21&search_layout=stack&type=item&tracking_id=a586517f-95e8-42b1-9f58-76f4e8a68acb,608,ARTICULOS MOHE,Nuevo  |  +50 vendidos,(25 disponibles),Nuevo  |  +50 vendidos,No disponible,#1402287307,2024-01-25 12:02:40
Fideos Tirabuzon 500 Gramos Marolio,https://www.mercadolibre.com.ar/fideos-tirabuzon-500-gramos-marolio/p/MLA20719341?pdp_filters=category:MLA1423#searchVariation=MLA20719341&position=7&search_layout=stack&type=product&tracking_id=a586517f-95e8-42b1-9f58-76f4e8a68acb,1.110,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(36 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1394610601,2024-01-25 12:02:40
Azucar Comun Tipo A Marolio 1 Kilo,https://articulo.mercadolibre.com.ar/MLA-1452546392-azucar-comun-tipo-a-marolio-1-kilo-_JM#position=22&search_layout=stack&type=item&tracking_id=a586517f-95e8-42b1-9f58-76f4e8a68acb,1.799,ARTICULOS MOHE,Nuevo  |  +500 vendidos,(220 disponibles),Nuevo  |  +500 vendidos,No disponible,#1452546392,2024-01-25 12:02:40
Arvejas Marolio T.recart 340 Gr ,https://www.mercadolibre.com.ar/arvejas-marolio-trecart-340-gr/p/MLA20028007?pdp_filters=category:MLA1423#searchVariation=MLA20028007&position=12&search_layout=stack&type=product&tracking_id=a586517f-95e8-42b1-9f58-76f4e8a68acb,1.235,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(747 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1279452716,2024-01-25 12:02:40
Pan Rallado Marolio 1 Kilo,https://articulo.mercadolibre.com.ar/MLA-1630681818-pan-rallado-marolio-1-kilo-_JM#position=23&search_layout=stack&type=item&tracking_id=a586517f-95e8-42b1-9f58-76f4e8a68acb,1.290,ARTICULOS MOHE,Nuevo  |  +25 vendidos,(9 disponibles),Nuevo  |  +25 vendidos,No disponible,#1630681818,2024-01-25 12:02:40
Marolio Fideo Dedales X 500 Gr,https://www.mercadolibre.com.ar/marolio-fideo-dedales-x-500-gr/p/MLA19939588?pdp_filters=category:MLA1423#searchVariation=MLA19939588&position=6&search_layout=stack&type=product&tracking_id=a586517f-95e8-42b1-9f58-76f4e8a68acb,932,Mayorista Masivos,Nuevo  |  +100 vendidos,(29 disponibles),Nuevo  |  +100 vendidos,No disponible,#1543766086,2024-01-25 12:02:40
Marolio Pulpa De Tomate X 520 Gr,https://www.mercadolibre.com.ar/marolio-pulpa-de-tomate-x-520-gr/p/MLA20725820?pdp_filters=category:MLA1423#searchVariation=MLA20725820&position=3&search_layout=stack&type=product&tracking_id=a586517f-95e8-42b1-9f58-76f4e8a68acb,784,ARTICULOS MOHE,Nuevo  |  +25 vendidos,(39 disponibles),Nuevo  |  +25 vendidos,No disponible,#1402326737,2024-01-25 12:02:40
Pan Rallado Marolio 500 Gramos,https://www.mercadolibre.com.ar/pan-rallado-marolio-500-gramos/p/MLA20024857?pdp_filters=category:MLA1423#searchVariation=MLA20024857&position=5&search_layout=stack&type=product&tracking_id=a586517f-95e8-42b1-9f58-76f4e8a68acb,735,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1463437752,2024-01-25 12:02:40
Pure De Tomate Marolio Tetra 520g,https://articulo.mercadolibre.com.ar/MLA-1402299543-pure-de-tomate-marolio-tetra-520g-_JM#position=24&search_layout=stack&type=item&tracking_id=a586517f-95e8-42b1-9f58-76f4e8a68acb,850,ARTICULOS MOHE,Nuevo  |  +5 vendidos,(75 disponibles),Nuevo  |  +5 vendidos,No disponible,#1402299543,2024-01-25 12:02:40
Fideos Tallespin 500 Gr Marolio,https://www.mercadolibre.com.ar/fideos-tallespin-500-gr-marolio/p/MLA29283203?pdp_filters=category:MLA1423#searchVariation=MLA29283203&position=10&search_layout=stack&type=product&tracking_id=a586517f-95e8-42b1-9f58-76f4e8a68acb,1.750,ARTICULOS MOHE,Nuevo  |  4 vendidos,(16 disponibles),Nuevo  |  4 vendidos,No disponible,#1640363880,2024-01-25 12:02:40
