Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Oferta! Te Green Hills Clásico 100 Saquitos En Sobres,https://www.mercadolibre.com.ar/oferta-te-green-hills-clasico-100-saquitos-en-sobres/p/MLA19878263#searchVariation=MLA19878263&position=2&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,3.999,CAPSULANDIA,Nuevo  |  +1000 vendidos,(50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1258819032,2024-01-26 12:11:42,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Combo La Virginia Te Negro Clasico 3 Cajas X25 Sobres C/u,https://www.mercadolibre.com.ar/combo-la-virginia-te-negro-clasico-3-cajas-x25-sobres-cu/p/MLA27022950#searchVariation=MLA27022950&position=3&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,1.876,ECOMODICO,Nuevo  |  +100 vendidos,(27 disponibles),Nuevo  |  +100 vendidos,No disponible,#1510273240,2024-01-26 12:11:42,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Nespresso 4 Capsulas Recargables Cafe Caffettino Ret.,https://www.mercadolibre.com.ar/nespresso-4-capsulas-recargables-cafe-caffettino-ret/p/MLA23532308#searchVariation=MLA23532308&position=4&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,8.349,LEVYSBAZAR,Nuevo  |  +10mil vendidos,(7301 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1511727148,2024-01-26 12:11:42,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Remera Lisa Algodón Jersey Peinado Premium,https://articulo.mercadolibre.com.ar/MLA-619208970-remera-lisa-algodon-jersey-peinado-premium-_JM#position=35&search_layout=stack&type=item&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,7.690,TEES FACTORY,Nuevo  |  +100mil vendidos,(579 disponibles),Nuevo  |  +100mil vendidos,No disponible,#619208970,2024-01-26 12:11:42,Ropa y Accesorios,"Remeras, Musculosas y Chombas",nan,na,nan
Metabolic Max Reduce Grasa Corporal X 60 Caps. Blandas,https://www.mercadolibre.com.ar/metabolic-max-reduce-grasa-corporal-x-60-caps-blandas/p/MLA19700947#searchVariation=MLA19700947&position=5&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,10.350,La Franco,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1233240454,2024-01-26 12:11:42,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,na,nan
Suplemento Keto Plus Diet - Dieta Avanzada !!! 60 Cápsulas Sabor Neutro,https://www.mercadolibre.com.ar/suplemento-keto-plus-diet-dieta-avanzada-60-capsulas-sabor-neutro/p/MLA25908710#searchVariation=MLA25908710&position=6&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,6.997,TIENDASUPRALIFE_SUPLEMENTSTORE,Nuevo  |  +1000 vendidos,(18 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384152713,2024-01-26 12:11:42,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,na,nan
Ripped X Ena Sport Quemador De Grasas - Descenso De Peso Sabor Sin Sabor,https://www.mercadolibre.com.ar/ripped-x-ena-sport-quemador-de-grasas-descenso-de-peso-sabor-sin-sabor/p/MLA19544985#searchVariation=MLA19544985&position=7&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,7.369,TECNOFAST_,Nuevo  |  +10mil vendidos,(6 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1470397762,2024-01-26 12:11:42,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,na,nan
Pump V8 Pre Workout Star Nutrition 285 Gr Cafeína Taurina Sabor Grape,https://www.mercadolibre.com.ar/pump-v8-pre-workout-star-nutrition-285-gr-cafeina-taurina-sabor-grape/p/MLA24200541#searchVariation=MLA24200541&position=1&search_layout=stack&type=product&tracking_id=a63dbe43-df23-485a-b8cd-cbaa2684b4bb,18.135,STIDIGITAL.,Nuevo  |  +500 vendidos,(58 disponibles),Nuevo  |  +500 vendidos,OFERTA DEL DÍA,#1514812022,2024-01-26 12:11:42,Deportes y Fitness,Suplementos y Shakers,Suplementos Deportivos,na,nan
Hibiscus En Flor Premium Deshidratado 1kg | Sir Neko,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=2md2yHj7vuLcFlQQhBeOKN2OH6Zug4QdA0bbuUSeWCFQIOV3GkJAQLI4s4rdmQMGQEjagRwwG7mqwOZ4w0QR2sPApQTuOvP95ONLQrtglH2aUxY%2FDUJj6CSplonwz3IMoztw2ksMahD%2Bl46vU2hy4NvJhUmyhzVfXCV63KokYNTaEzhcAlkAemm2%2Be3vcm9pVYhGoOM1HVZvnC95yi0FVOiFoBCKmqZA0dI8J%2FRu%2BspqpQCrlWkSkYiiju9sfBr7jM9Qu%2FBIvn0NVQFSwmCIAel1tjChFW%2BekyzG8f2rV8D%2B%2FZdyL5p0hdtsUFHRFI0CocOYa2QsnvVqjKRVqJtggYYl%2BRvcb01HmzKSQMbWkSq69kI8f1dh%2BviGAjWCGQ6cPun5GC%2FO9B6igDfqiX%2BxYsPPNZrAq%2BmBWAbQLO6gA4xW6JnI9Vu5wBueBNYMSGREoiYdlw0XdksBtLghv9RXPJ%2Fez1RgdbYFw%2FCCJq%2BnxciN51JZaiR06X1kQtCiwCxqurKHcs36qFVArNaMTEcfiGaa%2F9%2FilSDMhxzHCcgFUu5kJVLNWZmQSrut5sGF86U4FuwaTuKZ1CLLhuAdIulXxyr1JdPB93HeW2RXvT6Lb2Dzpt1IEVW55zQolmr6LeybVMpHLrpNb4nh%2B7m6haS8J5eG%2Bpulw6DBA0e06knXjxXm4e%2BcutOI3jD3vi1KRn%2FDbFqtu%2FFiwbMJLw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,29.457,SIR NEKO,Nuevo  |  +100 vendidos,(12 disponibles),Nuevo  |  +100 vendidos,No disponible,#918534304,2024-01-26 12:11:42,Alimentos y Bebidas,Almacén,Infusiones,Té,nan
Remera Lisa Algodón Jersey Peinado Premium,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=LWw6OeYgaC8ksg%2BYUaOTj6jl5bY9D8ifbzbCqNQSgXH%2FwjXvFmHnswsJPSoaEdGh1dR96mGvHIqf3z2J9EgCpQNIMXqCNshIfM7T3wuw1C07Yh1JATULsYJZ1XDSH1E2l%2Bp0aQRjuNeDWKbLULgDDp59To2QuXykUkzhjig9mzBS6JsTvgfPdL6M%2BQXDKiCvolcVhQUWbGxDy8CCdiGrb5GadwNs8QoczytyJasn6NzhTicL84I7Z%2BmEZkomUWH0PE%2BU18cCivU%2FOL4LXskF7kc7rnzeWQA9pn5p%2FkAwhc1Z1I%2Bl4v79W5lfSKTqa85zsDlLDXL%2F3KuqSvnF9BfRckTGgmXN3jxSi98e2d231kxkE8UIhfdCvuwRFpobhucR6YhHEfxeAYhmhwxr3wIoW7%2BF7dZE0m3L3LJdpKLa9wNE1gW%2BnBhWMjBSV3ZmlXl3yZq2VnSS3HicYRISNA%2BXE%2FL65eSWo05dBUvhemOIpYDYHtaCdx%2BB8Pfx%2FA%2BqCRxVUzxpiZaxUP%2F0Sjlrs5Jgi7nZja3LwGx%2BSFpmV5sobWGe4Pry4ZGEaeKQPFENS7dZ8%2FtlR%2Fae%2BWuqcngijxZIhEMejVmztcIB1hRBdTJINx%2BSgyTIymxqkmOQCOEQrBz%2F4I86tYOGR85u21Jc6gtRh8sHZMyksZpXrIZscMjhWoW5badskrPn2bIniUc168NBy%2Fa4gQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,7.690,TEES FACTORY,Nuevo  |  +100mil vendidos,(579 disponibles),Nuevo  |  +100mil vendidos,No disponible,#619208970,2024-01-26 12:11:42,Ropa y Accesorios,"Remeras, Musculosas y Chombas",nan,na,nan
