Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia
Yerba mate Playadito suave 1000g,https://www.mercadolibre.com.ar/yerba-mate-playadito-suave-1000g/p/MLA21017193?pdp_filters=category:MLA409408#searchVariation=MLA21017193&position=3&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.699,TGWSTORE,Nuevo  |  +50mil vendidos,(2590 disponibles),Nuevo  |  +50mil vendidos,OFERTA DEL DÍA,#1301673208,2024-01-25 15:19:01,No disponible
Yerba mate Kurupí paraguaya menta y boldo 500g,https://www.mercadolibre.com.ar/yerba-mate-kurupi-paraguaya-menta-y-boldo-500g/p/MLA20008348?pdp_filters=category:MLA409408#searchVariation=MLA20008348&position=1&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.599,TGWSTORE,Nuevo  |  +10mil vendidos,(671 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1283532174,2024-01-25 15:19:01,No disponible
Yerba Mate Nobleza Gaucha Suave Sin Tacc X 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-nobleza-gaucha-suave-sin-tacc-x-1-kg/p/MLA21239193?pdp_filters=category:MLA409408#searchVariation=MLA21239193&position=4&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,2.530,TAP GROCERY,Nuevo  |  +10mil vendidos,(288 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1318632308,2024-01-25 15:19:01,No disponible
Yerba mate Canarias sabor tradicional 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-sabor-tradicional-1kg/p/MLA19839481?pdp_filters=category:MLA409408#searchVariation=MLA19839481&position=2&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,6.885,OPEN25HS ML,Nuevo  |  +50mil vendidos,(2204 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1362453418,2024-01-25 15:19:01,No disponible
Yerba Mate De Campo La Merced 500g C/ Palo Original Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-de-campo-la-merced-500g-c-palo-original-sin-tacc/p/MLA19956928?pdp_filters=category:MLA409408#searchVariation=MLA19956928&position=5&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,2.957,TAP GROCERY,Nuevo  |  +50mil vendidos,(379 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1280860216,2024-01-25 15:19:01,No disponible
Yerba Mate Grapia Milenaria 1 Kg. Estacionamiento Natural,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-1-kg-estacionamiento-natural/p/MLA21361701?pdp_filters=category:MLA409408#searchVariation=MLA21361701&position=6&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,4.370,Alma Nativa,Nuevo  |  +5mil vendidos,(443 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1324550609,2024-01-25 15:19:01,No disponible
Yerba Mate Canarias 500g Sab. Tradicional Original Importada,https://www.mercadolibre.com.ar/yerba-mate-canarias-500g-sab-tradicional-original-importada/p/MLA19957013?pdp_filters=category:MLA409408#searchVariation=MLA19957013&position=8&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.950,OPEN25HS ML,Nuevo  |  +10mil vendidos,(1915 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1362363578,2024-01-25 15:19:01,No disponible
Yerba mate Canarias Serena 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-serena-1kg/p/MLA20008630?pdp_filters=category:MLA409408#searchVariation=MLA20008630&position=7&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,7.695,OPEN25HS ML,Nuevo  |  +5mil vendidos,(315 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1355571413,2024-01-25 15:19:01,No disponible
Yerba Mate Sol Y Lluvia 10 Kg (en Paquetes De 2 Kg) Floresta,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Hc4mrzU9%2FhF%2FYVzBk7hvyze1KEViw2xmb2aMCmn5lAbcc3GLE7Tu%2BLY2UPRH%2BmSZOc%2BnUOoVo5YbAMxYYvderAGtBh91phWoJi7cMRawTaAyz9BfSiOwGetdzfUeuX3E5e5H3uxRzUr8kPtTzL8gkUmSoUpJQ8LXsJWBI9OAMph%2ByuqVFbhrRtDwU15%2FwC%2BpRhpbfVkCNIAV2QMJfS5ln8q%2FhacJX%2F9wDaJFznvPxjBCIKuqisTMaWbgBZrf0GvN3ZAhOxLnzAA2BdXancmbPOsxDUdNOTUeYWz%2B4lO5P2v%2FGaLYkrKOuHp5JnerJOEqUq55wbgC24E1xKgD3%2Far5j568nxly%2Bs8FRHhlGnCJStDtwyY4lip%2FHlTZDI6gdhuIy%2F8%2FQ2g6CLCKocHGjULLN%2BIMDU6JXWdFgujX5S24p5o%2FvlGX2MhQEqQInasNYNXtKGpINHspQN0uoD6CfNpw%2FWFLeeZZ8CBUDemz%2FAD%2B4yiufsuZNcw0JFbbSCkmlArNoh9Uexm0RoVmCZ%2B4PvH3W78tLBbe8jFXNXE1uf7DvG2M7LcWslDGmw%2BDYOxgruH4cuY%2BgGgemcCeTOZ1GL26KK2udHwUwkalCO2ZGjrrbW1kIiB55ewm05hcZca8ZyLQiPlmXlBQyv4BTmCVN%2FFCftMAE7sXYmM3dXoZmkdN91JC0qbEcO7tTOdgu9omkELKWsHzpzrpBZsess0T0zsr90vku0%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,49.950,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +100 vendidos,(8 disponibles),Nuevo  |  +100 vendidos,No disponible,#926504559,2024-01-25 15:19:01,No disponible
Yerba Mate Verdeflor Menta Y Jengibre  500g Pack X12 Unid,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=j6B5ECcn6tWpDBUaZj8gzh6VTrZiCqanDZOsRTQHqa6L3WTChziK5SfmBqBbHMJE41EQFGLXY7U7VkYjz3CiZ3s%2FR%2FbvdvCuZL%2BrcSwKotCUiQTbMTBMA4gIXVLXVvMjuSmV9E4LTXbtpQFwjy5ZgUPLENwvN%2B%2FAGFxzX%2BXcPkV421fblq2%2BZQz3Vkno1dFzKt9RuNTNIEdz8I0k3XkwAb%2B43%2B2gNpbdymnXm6yBZz9RzrpRzif%2FDnbfdRFiHxrwnx6KVo7mb1j9Nkp8Nt1ZG9sLhXuGQlGOUBoaT0TWM4ULk4hnoqbh5PdbzZKNCgF35WDbvmhWSj6Kc9eFU54%2BmFsSJ8gU078HdfpJi%2BBAGnDTZEDwDPC7nbM5r4MG0%2BYB6EbROKbexEMoPhdvBEqPDOLp3L6%2B62aqeCMgwOT7S2MVeEKrMz6XlwxhXXv%2FrcfyuBGMRK4PX5YBG8EacS6YzB1IDHzcjh4p%2FUVSlikSd3%2Fsta%2Ff8MTcmI6vS1XavBMm5CT%2B%2B9UdgOV3bUrJ7fGe1EDzdodjSQzddQiVDpNiGndiKiu4z9Oxa7iu9rteyFiXzW0BrRSu%2Fx9hS6H8OQl34yYroS6p3gT1M51pC%2BIAnFo53y80W0UuYqtZL8B8s2E0ZqPjBr5YrpU2GVHsFFl%2BOcmkM%2Bsxv4Y5Ytwb%2BCR6vKacNlpaB1wyWpCYgqaI3%2FGipFoRwLjDBu2%2Fpg%2BIMvjL%2BpkuSVQ%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,23.613,YERBA VERDEFLOR,Nuevo  |  1 vendido,(9 disponibles),Nuevo  |  1 vendido,No disponible,#1402921297,2024-01-25 15:19:01,No disponible
Yerba Mate Tradicional Tucanguá 1kg. Suave Y Natural,https://articulo.mercadolibre.com.ar/MLA-710073058-yerba-mate-tradicional-tucangua-1kg-suave-y-natural-_JM#position=47&search_layout=stack&type=item&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.375,TIENDA.ANDALHUE,Nuevo  |  +5mil vendidos,(337 disponibles),Nuevo  |  +5mil vendidos,No disponible,#710073058,2024-01-25 15:19:01,No disponible
Yerba Mate Convencional Tucanguá 2kg suave y natural,https://www.mercadolibre.com.ar/yerba-mate-convencional-tucangua-2kg-suave-y-natural/p/MLA22766461?pdp_filters=category:MLA409408#searchVariation=MLA22766461&position=11&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,7.050,TIENDA.ANDALHUE,Nuevo  |  +1000 vendidos,(285 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376609595,2024-01-25 15:19:01,No disponible
Yerba Tucangua Misionera X5kg,https://www.mercadolibre.com.ar/yerba-tucangua-misionera-x5kg/p/MLA22308446?pdp_filters=category:MLA409408#searchVariation=MLA22308446&position=15&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,15.130,TOMI BUTELER,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1552550576,2024-01-25 15:19:01,No disponible
Yerba Mate Grapia Milenaria Pack X 5 Unidades.,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-pack-x-5-unidades/p/MLA22285174?pdp_filters=category:MLA409408#searchVariation=MLA22285174&position=17&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,21.850,Alma Nativa,Nuevo  |  +100 vendidos,(55 disponibles),Nuevo  |  +100 vendidos,No disponible,#1377971468,2024-01-25 15:19:01,No disponible
Yerba Canarias Para Mate Sabor Tradicional 1 Kg Original,https://articulo.mercadolibre.com.ar/MLA-1194000912-yerba-canarias-para-mate-sabor-tradicional-1-kg-original-_JM#position=48&search_layout=stack&type=item&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,6.950,OPEN25HS ML,Nuevo  |  +1000 vendidos,(2212 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1194000912,2024-01-25 15:19:01,No disponible
Yerba mate Mañanita 4flex 500g,https://www.mercadolibre.com.ar/yerba-mate-mananita-4flex-500g/p/MLA20719063?pdp_filters=category:MLA409408#searchVariation=MLA20719063&position=12&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,2.360,OPEN25HS ML,Nuevo  |  +10mil vendidos,(1970 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1631079952,2024-01-25 15:19:01,No disponible
Yerba Grapia Milenaria Pack 10 X 1 Kg,https://www.mercadolibre.com.ar/yerba-grapia-milenaria-pack-10-x-1-kg/p/MLA22667959?pdp_filters=category:MLA409408#searchVariation=MLA22667959&position=14&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,43.700,Alma Nativa,Nuevo  |  +1000 vendidos,(48 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1403945934,2024-01-25 15:19:01,No disponible
Sol y Lluvia Barbacuá - Barbacuá - 2000 g - Unidad - 1 - Bolsa,https://www.mercadolibre.com.ar/sol-y-lluvia-barbacua-barbacua-2000-g-unidad-1-bolsa/p/MLA23127803?pdp_filters=category:MLA409408#searchVariation=MLA23127803&position=13&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,9.025,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +1000 vendidos,(23 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1443645600,2024-01-25 15:19:01,No disponible
