Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba mate Playadito suave 1000g,https://www.mercadolibre.com.ar/yerba-mate-playadito-suave-1000g/p/MLA21017193?pdp_filters=category:MLA409408#searchVariation=MLA21017193&position=3&search_layout=stack&type=product&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,3.699,TGWSTORE,Nuevo  |  +50mil vendidos,(2364 disponibles),Nuevo  |  +50mil vendidos,OFERTA DEL DÍA,#1301673208,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Nobleza Gaucha Suave Sin Tacc X 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-nobleza-gaucha-suave-sin-tacc-x-1-kg/p/MLA21239193?pdp_filters=category:MLA409408#searchVariation=MLA21239193&position=1&search_layout=stack&type=product&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,2.503,TAP GROCERY,Nuevo  |  +10mil vendidos,(476 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1318632308,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Kurupí paraguaya menta y boldo 500g,https://www.mercadolibre.com.ar/yerba-mate-kurupi-paraguaya-menta-y-boldo-500g/p/MLA20008348?pdp_filters=category:MLA409408#searchVariation=MLA20008348&position=2&search_layout=stack&type=product&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,3.599,TGWSTORE,Nuevo  |  +10mil vendidos,(647 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1283532174,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias sabor tradicional 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-sabor-tradicional-1kg/p/MLA19839481?pdp_filters=category:MLA409408#searchVariation=MLA19839481&position=4&search_layout=stack&type=product&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,6.885,OPEN25HS ML,Nuevo  |  +50mil vendidos,(2007 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1362453418,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate De Campo La Merced 500g C/ Palo Original Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-de-campo-la-merced-500g-c-palo-original-sin-tacc/p/MLA19956928?pdp_filters=category:MLA409408#searchVariation=MLA19956928&position=6&search_layout=stack&type=product&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,2.957,TAP GROCERY,Nuevo  |  +50mil vendidos,(323 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1280860216,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Grapia Milenaria 1 Kg. Estacionamiento Natural,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-1-kg-estacionamiento-natural/p/MLA21361701?pdp_filters=category:MLA409408#searchVariation=MLA21361701&position=5&search_layout=stack&type=product&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,4.370,Alma Nativa,Nuevo  |  +5mil vendidos,(432 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1324550609,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias Serena 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-serena-1kg/p/MLA20008630?pdp_filters=category:MLA409408#searchVariation=MLA20008630&position=7&search_layout=stack&type=product&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,7.695,OPEN25HS ML,Nuevo  |  +5mil vendidos,(298 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1355571413,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Tradicional Tucanguá 1kg. Suave Y Natural,https://articulo.mercadolibre.com.ar/MLA-710073058-yerba-mate-tradicional-tucangua-1kg-suave-y-natural-_JM#position=49&search_layout=stack&type=item&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,3.375,TIENDA.ANDALHUE,Nuevo  |  +5mil vendidos,(315 disponibles),Nuevo  |  +5mil vendidos,No disponible,#710073058,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sol Y Lluvia 10 Kg (en Paquetes De 2 Kg) Floresta,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=8CQtBTo6NwIrXLf1Kcz6pgakbXKJBMpy4Dxe%2FxC6f1dac0bCoWR7AlaPg%2Fw3vfufF92SdymMLKYZFbuz0IC6VRku2R5oCOXtyPWl1CPmuUEVx557261hvjl8BIcRZ%2FXNwBRRLTAyEHnIPo8ovPLxtbOswl4z8CWgVDlMydvblxxNnmeSNxvP70j%2FMiQ5o%2FZGdPbL4q0gDSiZ%2Bxge%2FjG%2F2uZ6Q8SB6Y7IRudL386sUxZEqS0uXTnb4gY0UUuJYhK3%2BCFrJbosig%2Bn6pjl7l%2FnjToQSacqtuUGQz1jzChcK%2BNkBTwidwp3TphTe7fJMLfKizTX%2BDG%2BfK%2FucxWgXISOPHGIRNxYCGEUSO2llSMlwcOO2Yzb3Qiw6fjyiDAaucsklevYMY87APhMZTXa9eUN9N1b%2BECbN7BvQnApHcqvBt3XlKlWLg6jlDGfKJN0bkQAbOa0CfsAUX5cpfQo06MOnOlri0nY%2BFz2MIYuHzERzG6Cm8OiNZ3cVTY6LSz53mgK2cYeRNsS2ceOCihePCvUCH2y79e%2BcLd9ic%2F%2F8tevYyGE7ger%2F1q9IXujnN0IcAhL%2Bh%2FyBWkGybaDBmVcxwePc%2Bi5usYbbXU4gm7BYvMcO0ovax2tMTxmWC9GVxNTuUFpuWFte8OHyXD1xf4ieW49N%2FRMRJDuuERViwUCY%2Bfj9znfx1uIOGmm9yf7ktYuMnrJ2gIBqM3ydbiMg%2FrsA8AFDfdydyI%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,55.500,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +100 vendidos,(7 disponibles),Nuevo  |  +100 vendidos,No disponible,#926504559,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Arapeguá Canchada Orgánica 20 Unid,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=x18thOvf4CuHgXktviOaqMo2qWCP1FrxqYZ%2F4d2TvS5O2ADXGtB%2FVL14oPRudyVamJFBGvmknPUn5hzCoYE4ptVU8Snyuk%2FO%2F3qetG39A0%2FTb2F6FsEtdNk4%2FJooTO4NVjxBQL5D3Ie%2BHC4VE9ccp6nnuvieumyA9bjQ44FUtNYGXybgYjp%2FepFu7UDD0D7ju8B99CD5U9xVZGJMIqOeplsO%2B84J5QZbu0%2FhbSyRiJdL576MmJ2N%2FbZb5ndfUNHBK2QEiysbWaueBbJskdPnA5qUDlNtvSuRO1U72hofpBE%2FaFJu9TfM1hoQTXuR%2FVDuMPVRfhCnok6Dt0%2BHnxb2R1vNmE4SZDR%2BnzJwxAGvXkoMIlpSCsEyVO5rDoBgz1tHnz9c45EXwJTMaOv9REX5QHzHlOc6C7IVSr3MbYMR4K1nZEucfmsaO55YYPJEA7GB9HD85a7RFpg2wcuWANiQUF60TW6%2FD3TybgTJCelqmwEQo%2FQkm5vUWc1QMkIibyvXMNK%2BmvanVljfvdoNrvuaSQd2DihPnQue8vL6CTa6Upnhv9%2FUKlRQgrOHM0IFsOkcPSJiTkyKbpdyB%2FIhBUzpjJmSVanej33eyG8o09rzJPwYSSgLNz4urmKTRsu8Ao%2B2RCPMR%2F7%2Fkl4kD19mLxEfqCXHpXSFIuT6V2GtLwqlxfX7aDK5IGi0B%2FEjHFkMTKwkVP6UO9qXRQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,104.206,MANGIACHETIFABENE M,Nuevo  |  +50 vendidos,(2 disponibles),Nuevo  |  +50 vendidos,No disponible,#904636327,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Convencional Tucanguá 2kg suave y natural,https://www.mercadolibre.com.ar/yerba-mate-convencional-tucangua-2kg-suave-y-natural/p/MLA22766461?pdp_filters=category:MLA409408#searchVariation=MLA22766461&position=8&search_layout=stack&type=product&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,7.050,TIENDA.ANDALHUE,Nuevo  |  +1000 vendidos,(278 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376609595,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Mañanita 4flex 500g,https://www.mercadolibre.com.ar/yerba-mate-mananita-4flex-500g/p/MLA20719063?pdp_filters=category:MLA409408#searchVariation=MLA20719063&position=11&search_layout=stack&type=product&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,2.360,OPEN25HS ML,Nuevo  |  +10mil vendidos,(1964 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1631079952,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Tradicional Sin Tacc Cruz De Malta X 1kg,https://www.mercadolibre.com.ar/yerba-tradicional-sin-tacc-cruz-de-malta-x-1kg/p/MLA20068481?pdp_filters=category:MLA409408#searchVariation=MLA20068481&position=12&search_layout=stack&type=product&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,2.924,TAP GROCERY,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280860321,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Canarias Para Mate Sabor Tradicional 1 Kg Original,https://articulo.mercadolibre.com.ar/MLA-1194000912-yerba-canarias-para-mate-sabor-tradicional-1-kg-original-_JM#position=50&search_layout=stack&type=item&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,6.950,OPEN25HS ML,Nuevo  |  +1000 vendidos,(2021 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1194000912,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Grapia Milenaria Pack X 5 Unidades.,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-pack-x-5-unidades/p/MLA22285174?pdp_filters=category:MLA409408#searchVariation=MLA22285174&position=13&search_layout=stack&type=product&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,21.850,Alma Nativa,Nuevo  |  +100 vendidos,(54 disponibles),Nuevo  |  +100 vendidos,No disponible,#1377971468,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Tradicional Misionera Aguantadora 1 Kg. Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-tradicional-misionera-aguantadora-1-kg-sin-tacc/p/MLA20040361?pdp_filters=category:MLA409408#searchVariation=MLA20040361&position=15&search_layout=stack&type=product&tracking_id=90a3de4b-aa64-454c-97e9-4e4a28d7995a,3.613,TIENDA.ANDALHUE,Nuevo  |  +1000 vendidos,(61 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1292461340,2024-01-26 11:56:30,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
