Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Caramelos Billiken Yogur Paquete De 600 Grs,https://www.mercadolibre.com.ar/caramelos-billiken-yogur-paquete-de-600-grs/p/MLA19974690#searchVariation=MLA19974690&position=2&search_layout=stack&type=product&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,3.000,OPEN25HS!,Nuevo  |  +5mil vendidos,(75 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1400029774,2024-02-28 11:19:29,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
 Barras de cereal Georgalos Flow Cereal sabor frutos del bosque 20 unidades de 27g,https://www.mercadolibre.com.ar/barras-de-cereal-georgalos-flow-cereal-sabor-frutos-del-bosque-20-unidades-de-27g/p/MLA20951641#searchVariation=MLA20951641&position=3&search_layout=stack&type=product&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,7.500,OPEN25HS!,Nuevo  |  +500 vendidos,(24 disponibles),Nuevo  |  +500 vendidos,No disponible,#1370209916,2024-02-28 11:19:29,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal,nan
Caramelos Masticables Dropsy Yogur X 700gr Frutilla Vainilla,https://www.mercadolibre.com.ar/caramelos-masticables-dropsy-yogur-x-700gr-frutilla-vainilla/p/MLA21563021#searchVariation=MLA21563021&position=4&search_layout=stack&type=product&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,2.849,OPEN25HS!,Nuevo  |  +100 vendidos,(70 disponibles),Nuevo  |  +100 vendidos,OFERTA DEL DÍA,#1377034711,2024-02-28 11:19:29,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Yogur En Polvo Con Probioticos 6 Cepas Yogur Now - 1 Sobre,https://www.mercadolibre.com.ar/yogur-en-polvo-con-probioticos-6-cepas-yogur-now-1-sobre/p/MLA19920545#searchVariation=MLA19920545&position=5&search_layout=stack&type=product&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,2.477,DIETETICA CALLLAO,Nuevo  |  +1000 vendidos,(246 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1267115004,2024-02-28 11:19:29,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,nan,nan
Yogurt Griego Natural Sin Azúcar Pack X3 - 500gr C/u,https://articulo.mercadolibre.com.ar/MLA-1402566120-yogurt-griego-natural-sin-azucar-pack-x3-500gr-cu-_JM#position=22&search_layout=stack&type=item&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,10.000,HANSHOP BA,Nuevo  |  +1000 vendidos,(178 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1402566120,2024-02-28 11:19:29,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Yogurtera Electrica Yoggy Daewoo 2lt Yogurt Griego Recetario Color Beige Frecuencia 50,https://www.mercadolibre.com.ar/yogurtera-electrica-yoggy-daewoo-2lt-yogurt-griego-recetario-color-beige-frecuencia-50/p/MLA28203695#searchVariation=MLA28203695&position=6&search_layout=stack&type=product&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,48.363,FERRESHOPFERRETERIA,Nuevo  |  +1000 vendidos,(591 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1570114968,2024-02-28 11:19:29,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Yogurteras
Yogurt Griego Natural Sin Azúcar Pack X2 - 500gr C/u,https://articulo.mercadolibre.com.ar/MLA-1402502536-yogurt-griego-natural-sin-azucar-pack-x2-500gr-cu-_JM#position=23&search_layout=stack&type=item&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,7.400,HANSHOP BA,Nuevo  |  +500 vendidos,(584 disponibles),Nuevo  |  +500 vendidos,No disponible,#1402502536,2024-02-28 11:19:29,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
Yogurtera Yelmo Yg-1700 1 Litro ,https://www.mercadolibre.com.ar/yogurtera-yelmo-yg-1700-1-litro/p/MLA17840710#searchVariation=MLA17840710&position=7&search_layout=stack&type=product&tracking_id=99f298f3-9792-4d7e-b6ae-627dc39cfc5b,33.199,PHOTOSTORE,Nuevo  |  +10mil vendidos,(158 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1381384131,2024-02-28 11:19:29,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Yogurteras
Caramelos Masticables Yogurt Fr. Taponazo Marengo 30 X 250 G,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=upHbngLv1471FKsjbPKuhCYJykC8%2FIgo%2FchxhB56FR%2BOnpjwISesLNOAsUbO3Ckelc%2FIuC03bVNqit63R6jk9N%2Fb8yjYC7WoFSk4Sja5AyOUy1X%2Bin5eNSf5OynvJSG64DCVVuOBYWx4C7iQ1Ksr%2FotnSS%2FlzIVQnNTAV0Acb9AeTocYKQ1Po8gs5UJShzVZidmIM3NLt2jAzxKPVLDXa2wlhOVYi0gRrf2Eu3ao95FVDkiKbt2cDcxfavs2h3HrOzPtD%2F%2B12MF634zk42pzf0JL0n6EFtPWq19l4h7Fmzqs%2Bmco%2F5nfrm42EKaWOir47pcEShZwpqoHWzuDOT6N6Cr5eFZenGSFPpLqa%2BrYV38rpfDzdng6EeZ4bIarOK3htwG%2BQlupGaVGOlSNnzI0R6prlHJliBYUokanA%2Bntv9gN7cEvsF%2FSIU4OrXJERVWMbZo3bp6xUvhFDUvbiSYn8ZqZBHYW1wBkuQKeKRf%2FctAAKXKGc067JXAP33deIVw7LGLQf8soGGlpDIZEbvZc4DSI6jy0kA4bh6U3ushydrao7%2FoD62RB8b7xtRLD4yXaDvigMAKI7bzMJea8qVdeHNfaoO%2FnSt89z7apX3A8z6%2BII9%2FSz9HQlIdri7g4qL7aiF%2FNcCz1voGiD%2BY5mX9NO9blUN%2FyZxj0eVNoO2xEqXvgXcWTjhHW2r7390uTked58U7WslEsUaYqJUWaOcuOmTQCF98o1FQ%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,102.900,EWHISKY,Nuevo,No disponible,Nuevo,No disponible,#1640759020,2024-02-28 11:19:29,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,nan
Yogurt Griego 1 Litro Natural Artesanal Probiótico Sin Azucr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ov7fWOO7hc5ze602lcPHuBL59eleaVeccy4cV8dDd6J5FsyP%2FKBUdQ1d2mgEk8EmokW9lw%2FnRmt3DX%2BZ%2F0NqJYHSYQ%2F26t4gjdAzflFo1qXVTOMOGfdY8%2BpssyEavBefESfSnebd4UYWJjupLcGpaizBcmlFDUerVlJC4wcN7uxyyHHm3IKx83pXP6UgI9D14u%2BCQc6xUIF6luASnB9BKjygSVHOV1dLg4O8izYIwn6n9ArPcXO8bQnmgK9wEeuDS4%2FS1NVoHk7bqgfHVu%2Fpn7ehxOB0hFKpZq972znqmpk4ElE0oltCIQ7PlfuXJu7iGKpNwqvzLsJpEd5ilUhSmmXW1%2Bt4htzcl8XkEDsqXsIT8gTfKs8EOKjRygz3ovMPIiENusUHT2ZCHNO1th%2B30mjUzH8688BKKdh5WySGQ4%2BMk5wV29VOGGYY%2FWUah9KJyTToZ2b2y3yzRDkHxAyVGlfelhhDz7b%2FGEuUPE%2BizJp0ptkdoz5dEFu0WqHAcBV1fuR9L6vpRCGzWVqOswulKxp%2B7QwFBHafUJ1Eg2BqzqrCbErL7iAoTQ1OPQmq9tGUfaqgO40PquSZT1GDAOBl8oeMFgZu%2Bh18RyFBdT0UNy3Zs5%2BZ48pR3HoRxOFdwFMEGdolQK7GsqU2%2F0CImFMmQckUnc4rt1CuSXiQOwuVxiFpXuouED4lZMRMZFqpnV4hbQNaSZu9gAfdeyPQraU2h6hpqkgV6Q%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,4.868,PANEALEJANDRA,Nuevo  |  +50 vendidos,(2954 disponibles),Nuevo  |  +50 vendidos,No disponible,#1144369413,2024-02-28 11:19:29,Alimentos y Bebidas,Frescos,Lácteos,Yogures,nan
